mode,max_lead_hours,split,accepted_events,covered_events,coverage_rate,exact_matches,source_total_r,source_mean_r,source_win_rate,covered_accepted_total_r,covered_accepted_mean_r,median_lead_min
exact_future_key,1,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,1,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,1,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,4,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,4,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,4,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,24,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,24,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,24,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,120,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,120,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
exact_future_key,120,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,1,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,1,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,1,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,4,train_pre_2026,72,1,0.013888888888888888,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop,4,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,4,all,101,1,0.009900990099009901,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop,24,train_pre_2026,72,1,0.013888888888888888,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop,24,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,24,all,101,1,0.009900990099009901,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop,120,train_pre_2026,72,1,0.013888888888888888,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop,120,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop,120,all,101,1,0.009900990099009901,0,-1.1,-1.1,0.0,-1.1,-1.1,65.0
same_future_loop_regime,1,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,1,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,1,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,4,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,4,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,4,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,24,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
