record_type,period,model,log_loss,brier_score,auc,average_precision,accuracy,balanced_accuracy,matthews_correlation_coefficient,up_base_rate,predicted_up_rate,calibration_intercept,calibration_slope,expected_calibration_error,episodes,sessions,stocks,months,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,accuracy_improvement,balanced_accuracy_improvement
model,development_oof,D0,0.748990820411357,0.2716930831526408,0.5049295774647887,0.4936999999461746,0.5035460992907801,0.5036217303822937,0.007244918641378898,0.49645390070921985,0.5106382978723404,-0.016013743756656887,-0.06449296893159909,0.11178517331598137,282.0,145.0,19.0,12.0,,,,,,
model,development_oof,D1,0.7575810505821985,0.2745734742569377,0.5016599597585513,0.48982306917747315,0.5283687943262412,0.528420523138833,0.0568453355744696,0.49645390070921985,0.5070921985815603,-0.016029975419642885,-0.04951190316510498,0.10815638382743689,282.0,145.0,19.0,12.0,,,,,,
model,development_oof,D2,0.7832732199325515,0.2854034012533976,0.4744466800804829,0.47114543126711766,0.48226950354609927,0.4823943661971831,-0.035232541155619426,0.49645390070921985,0.5177304964539007,-0.02125337726189858,-0.15134732207421478,0.14545631225813888,282.0,145.0,19.0,12.0,,,,,,
model,retrospective_assessment,D0,0.7377996481070396,0.2698082422299786,0.47869087123430276,0.5494701554674639,0.508,0.49095582015745987,-0.018599425652250236,0.564,0.632,0.29839763669602704,-0.3621050402820114,0.09012062389832502,250.0,105.0,20.0,8.0,,,,,,
model,retrospective_assessment,D1,0.7368476649085888,0.26881496088463014,0.5022447784501268,0.5732363065773634,0.532,0.5153555859197085,0.03157888096353278,0.564,0.632,0.27236051772814796,-0.12729397329269457,0.07998905724222506,250.0,105.0,20.0,8.0,,,,,,
model,retrospective_assessment,D2,0.7429569842233484,0.2702242449162785,0.5003578632311796,0.5879788853423555,0.504,0.4915739475567701,-0.017030332910974277,0.564,0.596,0.2650334370316651,-0.0727925379169799,0.12144610362639598,250.0,105.0,20.0,8.0,,,,,,
increment,retrospective_assessment,D1_minus_D0,,,,,,,,,,,,,,,,,0.0009519831984508009,0.0009932813453484846,0.023553907215824066,0.023766151109899436,0.02400000000000002,0.02439976576224867
increment,retrospective_assessment,D2_minus_D1,,,,,,,,,,,,,,,,,-0.006109319314759665,-0.0014092840316483612,-0.0018869152189472382,0.014742578764992187,-0.028000000000000025,-0.02378163836293845
increment,retrospective_assessment,D2_minus_D0,,,,,,,,,,,,,,,,,-0.005157336116308864,-0.0004160026862998767,0.021666991996876828,0.03850872987489162,-0.0040000000000000036,0.0006181273993102199
