scope,group,horizon_minutes,descriptive_only,episodes,actions,action_coverage,abstention_rate,call_count,put_count,call_put_balance,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_aligned_return_rate,trimmed_mean_aligned_return,mean_favourable_excursion,mean_adverse_excursion,favourable_adverse_excursion_ratio,percent_total_absolute_movement_captured,development_q75_boundary
previous_close_iv_expectation,realised_iv_excess,5,True,144,75,0.5208333333333334,0.47916666666666663,52,23,2.260869565217391,0.5733333333333334,0.5208333333333334,0.0017077874477479927,0.006042314455962662,0.5733333333333334,0.0020616328579868663,0.009792168226021341,0.008451024020450299,1.1586960588830015,0.5741168137280721,
previous_close_iv_expectation,non_iv_excess,5,True,109,59,0.5412844036697247,0.45871559633027525,31,28,1.1071428571428572,0.5172413793103449,0.5105590062111801,-6.454004142810075e-05,0.0003491010926780266,0.5084745762711864,1.9399603282023243e-05,0.0053779626706785,0.005815001454677718,0.924842876239067,0.4879396199283359,
largest_absolute_movement_quartile,top_2024_frozen_quartile,5,True,66,35,0.5303030303030303,0.4696969696969697,25,10,2.5,0.6285714285714286,0.532051282051282,0.0035518261187749856,0.011790443752286509,0.6285714285714286,0.004191063767866782,0.013372968031171505,0.010218556126237933,1.308694483444101,0.6081561095394857,0.010663549229164734
previous_close_iv_expectation,realised_iv_excess,10,True,127,67,0.5275590551181102,0.4724409448818898,42,25,1.68,0.4925373134328358,0.4576190476190476,-6.331890051705285e-05,-0.0074716349686373505,0.4925373134328358,0.00018620935925234484,0.012813742639509027,0.01249642291575942,1.0253928444874758,0.49804949751611677,
previous_close_iv_expectation,non_iv_excess,10,True,126,67,0.5317460317460317,0.46825396825396826,41,26,1.5769230769230769,0.5230769230769231,0.5,0.00035762282011221613,0.0004082465866049452,0.5074626865671642,0.0004570649987647372,0.008641683273868413,0.007870239027476853,1.0980204341568618,0.5509841741985055,
largest_absolute_movement_quartile,top_2024_frozen_quartile,10,True,48,23,0.4791666666666667,0.5208333333333333,15,8,1.875,0.5652173913043478,0.4901960784313726,0.0018251117588544362,0.016451973749904925,0.5652173913043478,0.0030677295175433,0.01906402868963228,0.016368303540809575,1.1646917862991544,0.5348382816795075,0.014739384757341087
previous_close_iv_expectation,realised_iv_excess,15,True,124,67,0.5403225806451613,0.45967741935483875,47,20,2.35,0.5074626865671642,0.4533333333333333,-9.729649380067255e-05,0.006022890492065523,0.5074626865671642,0.00017051396263879933,0.014557706897720641,0.015272548143681388,0.9531943694506215,0.4976318743767697,
previous_close_iv_expectation,non_iv_excess,15,True,129,67,0.5193798449612403,0.48062015503875966,36,31,1.1612903225806452,0.5151515151515151,0.5165441176470589,0.00040804478467895553,0.00018427795065112455,0.5074626865671642,0.0005519590713298961,0.010650380529373005,0.008936521620555308,1.191781431477273,0.5522338915530275,
largest_absolute_movement_quartile,top_2024_frozen_quartile,15,True,61,33,0.5409836065573771,0.4590163934426229,23,10,2.3,0.5757575757575758,0.49782608695652175,0.0023501211700808705,0.02027358967685673,0.5757575757575758,0.003179354480933918,0.018567316844918906,0.018610117729250003,0.9977001282338034,0.541132316778227,0.017926474666118162
previous_close_iv_expectation,realised_iv_excess,30,True,129,75,0.5813953488372093,0.41860465116279066,50,25,2.0,0.5466666666666666,0.5357142857142857,0.003185454772626327,0.013069232345236749,0.5466666666666666,0.0029522164249355374,0.020909463589858186,0.01862241408352044,1.1228116556790362,0.5605423929400818,
previous_close_iv_expectation,non_iv_excess,30,True,124,59,0.47580645161290325,0.5241935483870968,33,26,1.2692307692307692,0.4915254237288136,0.5093984962406015,-0.0004356255674847924,-1.0157491912211134e-05,0.4915254237288136,-8.935387907787448e-05,0.013150981772925847,0.01453743175100004,0.9046289604779182,0.4636964173784476,
largest_absolute_movement_quartile,top_2024_frozen_quartile,30,True,60,35,0.5833333333333334,0.41666666666666663,26,9,2.888888888888889,0.5428571428571428,0.47902097902097907,0.004344752931079458,0.024097526777473028,0.5428571428571428,0.005643526515450659,0.026239363937796523,0.024557466143586396,1.0684882464817886,0.5575202405387011,0.022208083960148582
