horizon_minutes,model,mean_favourable_excursion,mean_adverse_excursion,favourable_adverse_excursion_ratio
5,D2,0.007848600108370388,0.0072903872191026715,1.0765683457533033
10,D2,0.010727712956688718,0.010183330971618137,1.05345814513815
15,D2,0.012604043713546823,0.012104534882118347,1.0412662556878898
30,D2,0.017493415625686484,0.016823802459500263,1.039801535223572
