scope,stock,episodes,actions,direction_accuracy,mean_aligned_return,median_aligned_return,call_count,put_count,call_put_balance,contribution_to_total_positive_aligned_return,contribution_to_total_negative_aligned_return
stock,AAL,15,8,1.0,0.0028086017106443255,0.0015066327695265913,3.0,5.0,0.6,0.03348041521418888,0.0
stock,AAOI,10,8,0.75,0.013107441053669235,0.00822596187622805,8.0,0.0,,0.1602279480935139,0.004098897663553217
stock,APLD,12,7,0.2857142857142857,-0.01314428882825841,-0.008278508364140255,4.0,3.0,1.3333333333333333,0.02035028524608263,0.16221925613927735
stock,ASTS,18,11,0.2727272727272727,-0.006757107568402302,-0.006751382519508482,9.0,2.0,4.5,0.031079966608350315,0.1461287447723402
stock,CIFR,12,6,0.16666666666666666,-0.009824249841373284,-0.010632368819447905,1.0,5.0,0.2,0.001194217218106633,0.09172295529842746
stock,HIMS,10,6,0.8333333333333334,0.008781392224776299,0.011261193903219434,5.0,1.0,5.0,0.08762375240370485,0.009389575401681904
stock,IONQ,28,12,0.6666666666666666,0.0010657322610878063,0.0032214117990543717,9.0,3.0,3.0,0.07519758816198963,0.05784069984308463
stock,IREN,7,4,0.25,0.0035063829667989674,-0.0018454608909830804,3.0,1.0,3.0,0.03476650235482107,0.01428706736652951
stock,MARA,14,3,0.6666666666666666,0.013008680622604464,0.0009659415296385862,1.0,2.0,0.5,0.058880086668011894,0.0007500520514222522
stock,MP,16,10,0.4,-0.0005477720316749556,-0.00040457468552664553,3.0,7.0,0.42857142857142855,0.029766586333694275,0.03907700981949767
stock,MRNA,6,3,0.3333333333333333,-0.00039783993650927755,-0.0016604007441718505,1.0,2.0,0.5,0.018757582465401483,0.021157682283405515
stock,MSTR,12,4,0.25,-0.008304397087728075,-0.013086254560367971,3.0,1.0,3.0,0.02181183453952532,0.07346744615400254
stock,NVTS,9,4,1.0,0.004034196903399519,0.0042071123618442376,4.0,0.0,,0.024045165761617564,0.0
stock,QBTS,8,7,0.7142857142857143,0.007461676314604837,0.006074808156813476,6.0,1.0,6.0,0.08509311535354804,0.007483329811063523
stock,RGTI,17,9,0.5555555555555556,-0.0022189555682312198,0.0004082465866049452,7.0,2.0,3.5,0.07116589468846546,0.10397887083529851
stock,RIOT,13,5,0.4,0.00045526363148657746,-0.000402495477359719,3.0,2.0,1.5,0.03547545995930673,0.03305477085050503
stock,RIVN,8,5,0.2,-0.003802440222618238,-0.008169980752252887,2.0,3.0,0.6666666666666666,0.020151558450716412,0.04994893141205778
stock,SMCI,12,7,0.5714285714285714,0.0016409719685557638,0.004984558420700002,4.0,3.0,1.3333333333333333,0.05398196305050297,0.0379816398795533
stock,SOFI,12,4,0.5,0.007846426411720918,0.006203839785561221,2.0,2.0,1.0,0.07388658286527978,0.027940190446442515
stock,WULF,14,11,0.36363636363636365,-0.0032273372105051236,-0.0013465323713386078,5.0,6.0,0.8333333333333334,0.06306349456317217,0.11947287997185708
leave_one_stock_out,AAL,238,126,0.48,-2.1828976764116155e-05,-0.0003589018568174407,,,,,
leave_one_stock_out,AAOI,243,126,0.49193548387096775,-0.0006757235382260155,-2.776269992932191e-05,,,,,
leave_one_stock_out,APLD,241,127,0.52,0.0008797510583518489,0.0004267121891076115,,,,,
leave_one_stock_out,ASTS,235,123,0.5289256198347108,0.0007646060639455389,0.0005717062500220685,,,,,
leave_one_stock_out,CIFR,241,128,0.5238095238095238,0.0006145614192274659,0.0004992092195648401,,,,,
leave_one_stock_out,HIMS,243,128,0.49206349206349204,-0.00025757805262329576,-2.776269992932191e-05,,,,,
leave_one_stock_out,IONQ,225,122,0.49166666666666664,5.6799799014936716e-05,-2.776269992932191e-05,,,,,
leave_one_stock_out,IREN,246,130,0.515625,4.37910057360008e-05,0.00041747938785627835,,,,,
leave_one_stock_out,MARA,239,131,0.5038759689922481,-0.00014738686454150723,0.0,,,,,
leave_one_stock_out,MP,237,124,0.5163934426229508,0.00020319421717439906,0.00041747938785627835,,,,,
leave_one_stock_out,MRNA,247,131,0.5116279069767442,0.0001596326902473571,0.0004082465866049452,,,,,
leave_one_stock_out,MSTR,241,130,0.515625,0.00040719962279837105,0.00041747938785627835,,,,,
leave_one_stock_out,NVTS,244,130,0.49612403100775193,2.7550576917521994e-05,-2.776269992932191e-05,,,,,
leave_one_stock_out,QBTS,245,127,0.496,-0.00025601079991620384,0.0,,,,,
leave_one_stock_out,RGTI,236,125,0.5040650406504065,0.0003175117018156556,0.0,,,,,
leave_one_stock_out,RIOT,240,129,0.5118110236220472,0.00013520964694141904,0.0004082465866049452,,,,,
leave_one_stock_out,RIVN,245,129,0.5196850393700787,0.0003002369281082725,0.0004267121891076115,,,,,
leave_one_stock_out,SMCI,241,127,0.504,6.481542388177625e-05,0.0,,,,,
leave_one_stock_out,SOFI,241,130,0.5078125,-8.974879256929018e-05,0.0002041232933024726,,,,,
leave_one_stock_out,WULF,239,123,0.5206611570247934,0.00044893554413359617,0.0004267121891076115,,,,,
