stock,session,checkpoint,action,return_realised_before_signal,return_signal_to_entry,return_after_entry_10m,return_after_entry_30m,fraction_eventual_10m_move_after_entry,fraction_eventual_30m_move_after_entry,mean_absolute_remaining_fraction_10m,late_direction_problem,signal_timestamp,prospective_entry_timestamp,predicted_side,time_of_maximum_favourable_excursion_10m,time_of_maximum_adverse_excursion_10m,time_of_maximum_favourable_excursion_30m,time_of_maximum_adverse_excursion_30m
MSTR,2025-03-18,14,CALL,0.01871493191167877,0.0003465211519956535,-0.015079371069256385,-0.007301861625674732,0.4416815191848709,0.27697054455086034,,,2025-03-18 14:40:00+00:00,2025-03-18 14:40:00+00:00,1.0,5.0,10.0,5.0,30.0
MSTR,2025-03-24,6,CALL,0.016283391142304156,0.0003734590428093686,0.014637991890623795,0.020934394433774404,0.46774455212773003,0.5568954857976637,,,2025-03-24 14:00:00+00:00,2025-03-24 14:00:00+00:00,1.0,5.0,5.0,25.0,5.0
MSTR,2025-03-25,6,CALL,0.006054490806390551,0.0011022911088761395,-0.011093138051479557,0.008957064779794865,0.6078458465402978,0.5558613625472778,,,2025-03-25 14:00:00+00:00,2025-03-25 14:00:00+00:00,1.0,5.0,10.0,30.0,10.0
MSTR,2025-04-04,16,PUT,-0.06393049643141901,-0.00029934159345268224,0.021683071120800153,0.048011335022125984,0.25238431961412067,0.42775154356256284,,,2025-04-04 14:50:00+00:00,2025-04-04 14:50:00+00:00,-1.0,5.0,10.0,5.0,30.0
NVTS,2025-05-09,6,CALL,0.023530509714863892,0.0,0.007722562889909601,-0.005284743447468459,0.24709771700111438,0.1834009029071013,,,2025-05-09 14:00:00+00:00,2025-05-09 14:00:00+00:00,1.0,10.0,5.0,20.0,30.0
NVTS,2025-05-12,6,CALL,0.06531899773645798,0.0,0.004859836884788453,-0.035760680931924665,0.06924932440125119,0.3537870460515272,,,2025-05-12 14:00:00+00:00,2025-05-12 14:00:00+00:00,1.0,10.0,5.0,10.0,30.0
NVTS,2025-07-07,6,CALL,-0.023609707661238214,0.0004364736459998004,0.0,-0.0032388697526578992,0.0,0.11870491814539616,,,2025-07-07 14:00:00+00:00,2025-07-07 14:00:00+00:00,1.0,5.0,5.0,5.0,15.0
NVTS,2025-07-28,6,CALL,-0.05224880806533268,0.0,0.003554387838900023,0.02635572909841926,0.06369505870237122,0.3352952647442477,,,2025-07-28 14:00:00+00:00,2025-07-28 14:00:00+00:00,1.0,10.0,5.0,30.0,5.0
QBTS,2025-04-11,6,PUT,0.01904819497069441,0.0,-0.009478880008974755,-0.02042290318545231,0.332276618466149,0.5174141115775344,,,2025-04-11 14:00:00+00:00,2025-04-11 14:00:00+00:00,-1.0,5.0,5.0,25.0,5.0
QBTS,2025-04-11,14,CALL,0.014834477969444558,-0.0005144241946960485,0.006074808156813476,-0.014333790132828162,0.283555372333047,0.4829006071761201,,,2025-04-11 14:40:00+00:00,2025-04-11 14:40:00+00:00,1.0,10.0,5.0,10.0,30.0
QBTS,2025-06-10,6,CALL,0.004709857846494448,-0.0033222621919777365,-0.001626446739722312,-0.019037529043531978,0.16839421179902517,0.7032794915759762,,,2025-06-10 14:00:00+00:00,2025-06-10 14:00:00+00:00,1.0,5.0,5.0,15.0,20.0
QBTS,2025-06-11,6,CALL,-0.0363643057462743,-0.0010232858491574844,0.010657295104982506,0.02846018863455379,0.22181954911115667,0.4322118154196133,,,2025-06-11 14:00:00+00:00,2025-06-11 14:00:00+00:00,1.0,10.0,5.0,20.0,5.0
QBTS,2025-07-21,6,CALL,0.0012383903147816916,0.0008828935292218584,0.027738989612187688,0.0020502826774827215,0.928959664514937,0.4914898676366388,,,2025-07-21 14:00:00+00:00,2025-07-21 14:00:00+00:00,1.0,10.0,5.0,10.0,25.0
QBTS,2025-07-23,6,CALL,0.04107770044391459,0.00033720122619367547,0.003156288868477845,0.0015741029983210007,0.07081455151496092,0.03661640948567966,,,2025-07-23 14:00:00+00:00,2025-07-23 14:00:00+00:00,1.0,10.0,5.0,10.0,20.0
QBTS,2025-08-05,6,CALL,0.05809858503659204,0.0,-0.0032480808094800914,-0.01773357756330714,0.05294632992166203,0.23385298474041827,,,2025-08-05 14:00:00+00:00,2025-08-05 14:00:00+00:00,1.0,5.0,10.0,5.0,30.0
RGTI,2025-02-28,6,CALL,0.04177524153575553,-0.0012040940648045638,0.01850234927477318,0.04706739591545034,0.30094082997709787,0.522699659643745,,,2025-02-28 15:00:00+00:00,2025-02-28 15:00:00+00:00,1.0,10.0,5.0,30.0,5.0
RGTI,2025-03-21,6,CALL,0.034725715393817594,-0.000147792507552941,0.008644021299122761,0.005254300347776263,0.19863309011176067,0.13093913116692538,,,2025-03-21 14:00:00+00:00,2025-03-21 14:00:00+00:00,1.0,10.0,5.0,10.0,5.0
RGTI,2025-03-24,6,CALL,0.01472100750760775,6.279023780537496e-05,-0.022129863853652426,-0.015315747772958145,0.599503351740447,0.5088365126181116,,,2025-03-24 14:00:00+00:00,2025-03-24 14:00:00+00:00,1.0,5.0,10.0,5.0,15.0
RGTI,2025-05-14,22,PUT,0.11756979441879181,0.00019140589339757284,0.02830377859060115,0.031234026919244845,0.19377525539121832,0.20963105664270068,,,2025-05-14 15:20:00+00:00,2025-05-14 15:20:00+00:00,-1.0,5.0,10.0,5.0,10.0
RGTI,2025-05-20,6,CALL,-0.07383265906285597,-0.0004281738451198668,0.019508592385541555,0.01908019316586972,0.20804854380279808,0.2044137928243329,,,2025-05-20 14:00:00+00:00,2025-05-20 14:00:00+00:00,1.0,10.0,5.0,25.0,5.0
RGTI,2025-05-21,6,PUT,0.007569422180044534,0.0,0.002786144418020906,-0.011384202931355095,0.26904799381439887,0.6006345944084377,,,2025-05-21 14:00:00+00:00,2025-05-21 14:00:00+00:00,-1.0,10.0,5.0,30.0,5.0
RGTI,2025-05-27,6,CALL,-0.05182456953882921,5.637034317626079e-05,0.0006964498925540026,-0.012391803545611466,0.013246186156068793,0.1928002895903602,,,2025-05-27 14:00:00+00:00,2025-05-27 14:00:00+00:00,1.0,5.0,10.0,5.0,20.0
RGTI,2025-06-03,6,CALL,-0.047240057411074364,0.0008420974500278619,0.0004082465866049452,0.012405956213400682,0.00841912160791667,0.20509743142946432,,,2025-06-03 14:00:00+00:00,2025-06-03 14:00:00+00:00,1.0,5.0,5.0,30.0,5.0
RGTI,2025-08-05,6,CALL,0.057723229798924275,-0.0006001200480175086,-0.014510472690402934,-0.02584117115987591,0.19922711983107647,0.3070316429149839,,,2025-08-05 14:00:00+00:00,2025-08-05 14:00:00+00:00,1.0,5.0,10.0,5.0,30.0
RIOT,2025-01-03,6,CALL,0.04693960734604365,-0.0006778895299702823,0.02323598834162149,0.055398693846585405,0.32794418327128466,0.53776686419868,,,2025-01-03 15:00:00+00:00,2025-01-03 15:00:00+00:00,1.0,10.0,5.0,30.0,5.0
RIOT,2025-06-03,6,CALL,0.023122417420854212,-0.0005717062500219896,0.0005717062500220685,0.0034246612723079013,0.023560135873601524,0.12628372840017812,,,2025-06-03 14:00:00+00:00,2025-06-03 14:00:00+00:00,1.0,5.0,10.0,5.0,10.0
RIOT,2025-07-03,6,PUT,0.015007461343434964,0.0,0.000402495477359719,-0.006364899052877264,0.026119182684313486,0.2978098317102831,,,2025-07-03 14:00:00+00:00,2025-07-03 14:00:00+00:00,-1.0,5.0,5.0,30.0,5.0
RIOT,2025-07-07,6,CALL,-0.03491378480920287,0.0,-0.011855244171521697,-0.015838431910389916,0.25348493286888063,0.312073697152927,,,2025-07-07 14:00:00+00:00,2025-07-07 14:00:00+00:00,1.0,5.0,10.0,5.0,30.0
RIOT,2025-08-20,6,PUT,-0.04931804091380674,-0.00044346864525710185,0.009273636785329253,0.01628190055564701,0.1570867078270574,0.24653331085367888,,,2025-08-20 14:00:00+00:00,2025-08-20 14:00:00+00:00,-1.0,5.0,5.0,5.0,5.0
RIVN,2025-01-02,6,PUT,0.021186445677413752,-0.0009567650196962151,0.011201933675798447,-0.013490680734740664,0.3359389766175242,0.3785912846634059,,,2025-01-02 15:00:00+00:00,2025-01-02 15:00:00+00:00,-1.0,5.0,10.0,25.0,15.0
RIVN,2025-01-03,6,CALL,0.09818175402707671,0.0003257859615065166,0.013523775299619421,0.022455998670527184,0.12071424194948759,0.18564270621919263,,,2025-01-03 15:00:00+00:00,2025-01-03 15:00:00+00:00,1.0,10.0,5.0,10.0,20.0
RIVN,2025-01-06,14,PUT,-0.04167913280098226,-0.00031530823627515535,0.00031530823627516245,-0.007597377954943911,0.007452377801548631,0.15319821110289691,,,2025-01-06 15:40:00+00:00,2025-01-06 15:40:00+00:00,-1.0,10.0,5.0,30.0,5.0
RIVN,2025-01-07,6,CALL,-0.009466779441289996,-0.0006343165452138862,-0.012848753748384114,-0.01921904127045708,0.5598622168253957,0.6554894713493963,,,2025-01-07 15:00:00+00:00,2025-01-07 15:00:00+00:00,1.0,5.0,10.0,5.0,25.0
RIVN,2025-04-03,6,PUT,0.03545731479520658,-0.0008200083132720795,0.008169980752252887,-0.005346424635175399,0.1838127409899193,0.12844649809291891,,,2025-04-03 14:00:00+00:00,2025-04-03 14:00:00+00:00,-1.0,5.0,10.0,25.0,10.0
SMCI,2025-01-06,6,CALL,0.06748479356408366,0.0,-0.010485349599678574,-0.004828434213162136,0.1344790348487111,0.06677110622188905,,,2025-01-06 15:00:00+00:00,2025-01-06 15:00:00+00:00,1.0,5.0,10.0,5.0,20.0
SMCI,2025-01-13,6,CALL,-0.011100342874921423,-0.0003283204811682992,0.008827881571481578,0.002459993080829013,0.43580391439143695,0.1771224662372579,,,2025-01-13 15:00:00+00:00,2025-01-13 15:00:00+00:00,1.0,10.0,5.0,25.0,5.0
SMCI,2025-03-21,6,CALL,0.01063575512337799,0.0005036766600604795,0.012758096751419416,0.013751910510157629,0.5338667859653331,0.5524776586152865,,,2025-03-21 14:00:00+00:00,2025-03-21 14:00:00+00:00,1.0,10.0,5.0,30.0,5.0
SMCI,2025-06-25,6,PUT,0.058258663774155756,0.0005013023689158011,0.011052274168431478,-0.0008720515335307986,0.15831427438965,0.014623881054304204,,,2025-06-25 14:00:00+00:00,2025-06-25 14:00:00+00:00,-1.0,5.0,10.0,20.0,10.0
SMCI,2025-06-25,14,PUT,0.05723341472838788,0.00010913852495022031,-0.009656931236743048,-0.013069232345236749,0.1441344110367401,0.1856114318666174,,,2025-06-25 14:40:00+00:00,2025-06-25 14:40:00+00:00,-1.0,10.0,5.0,30.0,5.0
SMCI,2025-06-30,10,PUT,0.03830239908894164,-0.00019488952788597588,-0.004984558420700002,-0.006977308248668244,0.11463538833568888,0.1534330973687492,,,2025-06-30 14:20:00+00:00,2025-06-30 14:20:00+00:00,-1.0,5.0,10.0,30.0,10.0
SMCI,2025-08-07,6,CALL,0.02801647612847788,0.00023109746161618596,-0.0032030404323436443,-0.011848334515082801,0.10184349437688275,0.2954998421286046,,,2025-08-07 14:00:00+00:00,2025-08-07 14:00:00+00:00,1.0,5.0,5.0,5.0,30.0
SOFI,2025-01-27,6,CALL,0.016821889840307302,-0.0006058733171966178,-0.0086956534967126,0.008921134026031088,0.33286815472160125,0.338577131478799,,,2025-01-27 15:00:00+00:00,2025-01-27 15:00:00+00:00,1.0,5.0,10.0,30.0,25.0
SOFI,2025-03-31,6,PUT,0.00109537873967784,-0.0006535850111053056,0.009504162828339888,-0.004870410551602526,0.8445797495935176,0.7357811069616041,,,2025-03-31 14:00:00+00:00,2025-03-31 14:00:00+00:00,-1.0,5.0,10.0,30.0,10.0
SOFI,2025-04-04,6,PUT,-0.029768036362630878,-0.0007221334942310288,-0.028482188904101112,-0.05512443064172357,0.4829752362382189,0.6438671712616861,,,2025-04-04 14:00:00+00:00,2025-04-04 14:00:00+00:00,-1.0,10.0,5.0,30.0,5.0
SOFI,2025-07-30,6,CALL,0.0016788588511658855,0.0,0.02110333306783504,0.030203099913335876,0.9263082824894616,0.9473414145107304,,,2025-07-30 14:00:00+00:00,2025-07-30 14:00:00+00:00,1.0,10.0,5.0,30.0,5.0
WULF,2025-01-13,6,CALL,0.0,0.0001553277418468519,0.014302564045804945,-0.004046383234813651,0.9892565427845079,0.9630322640682188,,,2025-01-13 15:00:00+00:00,2025-01-13 15:00:00+00:00,1.0,10.0,5.0,10.0,30.0
WULF,2025-02-12,6,PUT,0.02444842059190146,0.0007895119979613849,-0.008342071317395347,-0.002099814698925136,0.24842377447109948,0.07681008521818958,,,2025-02-12 15:00:00+00:00,2025-02-12 15:00:00+00:00,-1.0,5.0,5.0,15.0,5.0
WULF,2025-03-24,6,CALL,0.013463481373158694,0.0,0.011816682818985099,0.02922665920459943,0.46742903761112903,0.6846231661234382,,,2025-03-24 14:00:00+00:00,2025-03-24 14:00:00+00:00,1.0,10.0,5.0,25.0,5.0
WULF,2025-03-25,6,CALL,-0.04445206560118279,0.0030257218320365498,-0.00284361714679187,-0.01829289093247609,0.05650909728226104,0.2781314012114138,,,2025-03-25 14:00:00+00:00,2025-03-25 14:00:00+00:00,1.0,5.0,5.0,5.0,25.0
WULF,2025-04-15,6,CALL,-0.04602291220802614,0.0,-0.013974396370347383,-0.04033194430329348,0.2329170541390678,0.46704894122551943,,,2025-04-15 14:00:00+00:00,2025-04-15 14:00:00+00:00,1.0,5.0,5.0,5.0,20.0
WULF,2025-05-16,6,PUT,0.04690543195957641,0.0,0.0013465323713386078,0.016149220008040248,0.02790627055313238,0.25611464823141195,,,2025-05-16 14:00:00+00:00,2025-05-16 14:00:00+00:00,-1.0,10.0,5.0,10.0,30.0
WULF,2025-06-12,10,PUT,0.0293297523615837,0.0,-0.00786079462943149,-0.020339460523451112,0.21136539431190857,0.40949834599813706,,,2025-06-12 14:20:00+00:00,2025-06-12 14:20:00+00:00,-1.0,5.0,5.0,30.0,5.0
WULF,2025-08-11,8,PUT,0.11800373142498292,0.0,0.010842248496275998,-0.006274058876209366,0.08414890788910895,0.050484152164308106,,,2025-08-11 14:10:00+00:00,2025-08-11 14:10:00+00:00,-1.0,5.0,10.0,30.0,10.0
WULF,2025-08-14,6,CALL,0.027385464335220603,-0.0006623905320820527,-0.0006897578674241791,0.06175829880652456,0.02400191949801969,0.687684487978725,,,2025-08-14 14:00:00+00:00,2025-08-14 14:00:00+00:00,1.0,5.0,10.0,30.0,20.0
WULF,2025-08-15,6,PUT,-0.0036168952953346124,0.0011522499540594922,0.038610385026466014,0.03180366522337839,0.8900600071262633,0.8695986119813075,,,2025-08-15 14:00:00+00:00,2025-08-15 14:00:00+00:00,-1.0,5.0,10.0,5.0,20.0
WULF,2025-08-15,14,PUT,0.04105171845404539,0.00016874314521011995,0.009515884848529187,-0.0050747219140645705,0.18755557927929353,0.10961662810137619,,,2025-08-15 14:40:00+00:00,2025-08-15 14:40:00+00:00,-1.0,5.0,10.0,30.0,10.0
