scope,group,episodes,sessions,stocks,months,log_loss,brier_score,auc,average_precision,accuracy,balanced_accuracy,matthews_correlation_coefficient,up_base_rate,predicted_up_rate,calibration_intercept,calibration_slope,expected_calibration_error,selective_horizon_minutes,selective_episodes,selective_actions,selective_action_coverage,selective_abstention_rate,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_favourable_excursion,selective_mean_adverse_excursion,selective_favourable_adverse_excursion_ratio,selective_percent_total_absolute_movement_captured
checkpoint,6,209,102,20,8,0.7164437987410994,0.26039666750475027,0.5093432007400556,0.568509966168015,0.5119617224880383,0.4943570767807586,-0.011983480431122974,0.5502392344497608,0.6746411483253588,0.1972079202931128,0.020702169249025053,0.1071549203188969,10,212,104,0.49056603773584906,0.5094339622641509,76,28,2.7142857142857144,0.5294117647058824,0.48260695721711316,0.0012993290323104396,0.0006340780712880355,0.5192307692307693,0.0013606381353610374,0.01163552418065076,0.010053061342538793,1.1574110397014978,0.5617258824915001
checkpoint,8,6,5,5,3,0.7787934037054703,0.2906969273620678,0.3333333333333333,0.6333333333333333,0.5,0.5,0.0,0.5,0.3333333333333333,-0.04825175268631166,-0.407748710351674,0.5183806306341285,10,6,4,0.6666666666666666,0.33333333333333337,2,2,1.0,0.25,0.16666666666666666,-0.0073126932216953265,-0.009560378430208127,0.25,-0.0073126932216953265,0.008431282604374203,0.013915289045425782,0.605900644740522,0.05768080992492895
checkpoint,10,6,6,6,3,0.5835232015887782,0.19652628529214025,1.0,1.0,0.6666666666666666,0.6666666666666666,0.4472135954999579,0.5,0.16666666666666666,147.955635533063,472.37581946464866,0.296204269275195,10,6,3,0.5,0.5,1,2,0.5,1.0,1.0,0.004593180923633862,0.004984558420700002,1.0,0.004593180923633862,0.009659925717048858,0.003346477090366465,2.8865955021347602,1.0
checkpoint,14,21,21,13,8,0.9702584187959201,0.35496133753022585,0.4423076923076923,0.5916467697844215,0.38095238095238093,0.47596153846153844,-0.07953559537197222,0.6190476190476191,0.09523809523809523,0.32151770847063976,-0.20760913982208032,0.31473826501255786,10,21,16,0.7619047619047619,0.23809523809523814,2,14,0.14285714285714285,0.375,0.4666666666666667,-0.0036400642587923904,-0.002222861131732526,0.375,-0.0035285506744305306,0.0070704724831949185,0.009881883291972529,0.7154984808349804,0.22781973568185043
checkpoint,16,1,1,1,1,1.6697170056424926,0.6588563282472091,,,0.0,0.0,0.0,1.0,0.0,,,0.81169965396519,10,1,1,1.0,0.0,0,1,0.0,0.0,0.0,-0.021683071120800153,-0.021683071120800153,0.0,-0.021683071120800153,0.00738984517470874,0.03040227635233442,0.243068811330679,0.0
checkpoint,18,1,1,1,1,0.1603300744481824,0.02194469979937383,,,1.0,1.0,0.0,1.0,1.0,,,0.14813743550964364,10,1,1,1.0,0.0,1,0,inf,1.0,1.0,0.013902905168991434,0.013902905168991434,1.0,0.013902905168991434,0.024107075343233104,0.0,,1.0
checkpoint,20,1,1,1,1,1.1088307443168979,0.44897433940205794,,,0.0,0.0,0.0,1.0,0.0,,,0.6700554748691021,10,1,1,1.0,0.0,0,1,0.0,0.0,0.0,-5.552539985864382e-05,-5.552539985864382e-05,0.0,-5.552539985864382e-05,0.0007928799952873258,0.0041332227570034805,0.19183093723749622,0.0
checkpoint,22,2,2,2,2,1.5990061626230538,0.6198006400523022,,,0.0,0.0,0.0,1.0,0.0,,,0.7834113147092951,10,2,2,1.0,0.0,0,2,0.0,0.0,0.0,-0.01806913098683415,-0.01806913098683415,0.0,-0.01806913098683415,0.004809825795835494,0.02373947359715506,0.20260878052544115,0.0
checkpoint,26,2,2,2,2,0.41055249390125714,0.11686882321866054,,,1.0,1.0,0.0,1.0,1.0,,,0.3314561260343859,10,2,1,0.5,0.5,1,0,inf,1.0,1.0,0.0009850172802300828,0.0009850172802300828,1.0,0.0009850172802300828,0.0058834106761481205,0.011864183788416473,0.49589679164380057,1.0
checkpoint,30,1,1,1,1,0.49517055501131213,0.15251606252625732,,,1.0,1.0,0.0,0.0,0.0,,,0.3905330492112765,10,1,1,1.0,0.0,0,1,0.0,1.0,1.0,0.0012893375542538344,0.0012893375542538344,1.0,0.0012893375542538344,0.0037936913277989938,0.001358620356368512,2.7923115607801137,1.0
checkpoint_group,early_6_14,242,105,20,8,0.7367193403445025,0.2677703755064166,0.5028330569375346,0.5690509507488146,0.5041322314049587,0.49295190713101156,-0.01432365480384565,0.5537190082644629,0.6033057851239669,0.22125834808819356,-0.04761511011005423,0.11660436369469629,10,245,127,0.5183673469387755,0.4816326530612245,81,46,1.7608695652173914,0.512,0.4833333333333334,0.000483605992942738,0.0004082465866049452,0.5039370078740157,0.0003960625547857314,0.010912810882578273,0.009994717320853521,1.091857881744108,0.5245980025355882
checkpoint_group,late_26_34,3,3,3,3,0.4387585142712755,0.1287512363211928,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.9852632440989737,21.722824857510904,0.3511484337600161,10,3,2,0.6666666666666666,0.33333333333333337,1,1,1.0,1.0,1.0,0.0011371774172419585,0.0011371774172419585,1.0,0.0011371774172419585,0.004838551001973557,0.006611402072392493,0.7318494547742144,1.0
checkpoint_group,middle_16_24,5,5,5,4,1.2273780299307362,0.47387532951064903,,,0.2,0.2,0.0,1.0,0.2,,,0.6393430387525053,10,5,5,1.0,0.0,1,4,0.25,0.2,0.2,-0.008794790665067132,-0.007834483383067149,0.2,-0.008794790665067134,0.008381890420980032,0.0164028892607296,0.5110008540414425,0.19368836646220677
previous_close_atm_iv,high,116,70,17,8,0.7412017289211145,0.27086063203735955,0.47733580018501387,0.6099827920356732,0.5,0.4813444341658958,-0.03731113166820845,0.5948275862068966,0.5948275862068966,0.41252567453804956,-0.14270959630346305,0.15282614289790392,10,116,68,0.5862068965517241,0.4137931034482759,48,20,2.4,0.5,0.4487179487179487,-0.0005552963635252,0.00032046224634767943,0.5,-0.00016916274117193122,0.01287307506486537,0.012345587669693072,1.0427267951340393,0.4769036448618142
previous_close_atm_iv,low,134,72,19,8,0.7444764589625957,0.2696733426323576,0.512768817204301,0.5822268397006176,0.5074626865671642,0.5002240143369175,0.00045543460818330065,0.5373134328358209,0.5970149253731343,0.15111144798740841,-0.06284438655673402,0.0987880625256598,10,137,66,0.48175182481751827,0.5182481751824817,35,31,1.1290322580645162,0.515625,0.5092307692307692,0.0008708865959483266,0.0002041232933024726,0.5,0.0002342194589639787,0.008517339875537018,0.007955551343298506,1.070615914346621,0.5569049446461446
m1_probability_tail,high,118,75,20,8,0.7553834910238179,0.2783409208975755,0.4672413793103448,0.5272951589448812,0.4491525423728814,0.45114942528735635,-0.10055915333529931,0.4915254237288136,0.6186440677966102,0.011330181132553064,-0.27083510435750235,0.15983450267625104,10,118,57,0.4830508474576271,0.5169491525423728,38,19,2.0,0.43859649122807015,0.416875,-0.0029610218627650993,-0.0013465323713386078,0.43859649122807015,-0.0019159911439338866,0.011212055058709952,0.012855575232011817,0.8721550655151302,0.3584309114921034
m1_probability_tail,low,132,76,20,8,0.731848440265353,0.2629684285087555,0.5406933857880502,0.6654804890564177,0.553030303030303,0.5358986968281289,0.0701851052635263,0.6287878787878788,0.5757575757575758,0.5229498818217961,0.10787647876851796,0.14882024416857595,10,135,77,0.5703703703703704,0.4296296296296296,45,32,1.40625,0.56,0.5368916797488226,0.0024480079063699564,0.0008575051996508409,0.5454545454545454,0.0015838892073232456,0.010369173998049624,0.00820517612950853,1.2637356998052292,0.6297489872473726
transition_probability,high,115,73,20,8,0.7531951275700555,0.27376013049456716,0.479047619047619,0.6256004792202419,0.48695652173913045,0.4396825396825397,-0.12901682550767418,0.6086956521739131,0.7043478260869566,0.5127109609040369,-0.3254311898329304,0.1643741831410091,10,118,63,0.5338983050847458,0.4661016949152542,44,19,2.3157894736842106,0.5081967213114754,0.40891472868217055,0.0018311843152968002,0.0,0.49206349206349204,0.0009285552900889513,0.010836273853792799,0.009419855393283537,1.1503652021578998,0.5934557379242632
transition_probability,low,135,75,20,8,0.7342356028539312,0.26721219423847714,0.5162852112676056,0.5539612222555652,0.5185185185185185,0.5183758802816901,0.03670332861539439,0.5259259259259259,0.5037037037037037,0.10287971149940284,0.05112665938641403,0.09915980368367375,10,135,71,0.5259259259259259,0.4740740740740741,39,32,1.21875,0.5070422535211268,0.5035885167464115,-0.0013471302711383448,0.0004267121891076115,0.5070422535211268,-0.00040252450662625676,0.010631384273342846,0.0108607811326756,0.9788784198364339,0.43219201793018425
predicted_side,CALL,82,50,20,8,0.6886062420304417,0.24637167692039277,0.5473098330241187,0.6395985065509511,0.5975609756097561,0.5,0.0,0.5975609756097561,1.0,0.03475894292585306,0.4791680687532003,0.10754475720416308,10,83,83,1.0,0.0,83,0,inf,0.5975609756097561,0.5,0.0031434940146834517,0.00197336028517529,0.5903614457831325,0.0026665209716384927,0.013006113487854964,0.00879669990207749,1.4785219039680266,0.6550681643960793
predicted_side,PUT,50,37,18,8,0.9370948271321845,0.3509143854774962,0.4548611111111111,0.6881305377989675,0.36,0.5,0.0,0.64,0.0,0.1959583299257752,-0.47928727501300983,0.3212190456660611,10,51,51,1.0,0.0,0,51,0.0,0.36,0.5,-0.004729247855016677,-0.0014440435722336239,0.35294117647058826,-0.003505127729681164,0.007019727778516205,0.012440005065184289,0.564286569156008,0.2493919250991278
