baseline,definition,log_loss,brier_score,auc,average_precision,accuracy,balanced_accuracy,matthews_correlation_coefficient,up_base_rate,predicted_up_rate,calibration_intercept,calibration_slope,expected_calibration_error,episodes,side_eligible_episodes,directional_accuracy,mean_aligned_return_10m,median_aligned_return_10m,positive_aligned_return_rate
B0,frozen_2024_up_rate,0.6940801474723163,0.25046647552939993,0.5,0.564,0.436,0.5,0.0,0.564,0.0,0.25732742255522933,-0.0036500955623668305,0.06754609929078009,250,250,0.436,-0.0026405858156361922,-0.000968078499710624,0.4308300395256917
B1,always_long,12.047134851722065,0.43599999999912803,0.5,0.564,0.564,0.5,0.0,0.564,1.0,0.0003367175563326011,0.009303857357983562,0.4359999999990001,250,250,0.564,0.0026405858156361922,0.000968078499710624,0.5573122529644269
B2,recent_completed_10m_stock_return_sign,13.483943348381619,0.487999999999024,0.508035656191034,0.5680040526849037,0.512,0.508035656191034,0.015971856389936603,0.564,0.532,0.25539957014396913,0.0011675501176704264,0.4879999999990001,250,250,0.512,0.0008194881123540799,0.0003029238109189643,0.5059288537549407
B3,recent_completed_5m_stock_return_sign,12.942413015488434,0.471999999999064,0.5206910013663869,0.5788858800773694,0.516,0.5105406988092914,0.02098941454612207,0.564,0.544,0.2520165302055898,0.0029153340264132426,0.47599999999901604,250,246,0.524390243902439,2.343293699135662e-05,0.0003029238109189643,0.5098814229249012
B4,recent_completed_10m_market_proxy_return_sign,12.268178330792948,0.443999999999112,0.548083805062138,0.589393666966337,0.556,0.548083805062138,0.09627102124085107,0.564,0.568,0.2330185205938311,0.007092588521387405,0.44399999999900014,250,250,0.556,0.002067083293232974,0.000968078499710624,0.549407114624506
