entity_type,entity,count,denominator,share,maximum_allowed_share,passed
stock_candidate_rows,AAL,301,3750,0.080266666666666667,0.125,True
stock_candidate_rows,AAOI,160,3750,0.042666666666666665,0.125,True
stock_candidate_rows,APLD,166,3750,0.044266666666666669,0.125,True
stock_candidate_rows,ASTS,166,3750,0.044266666666666669,0.125,True
stock_candidate_rows,CIFR,193,3750,0.051466666666666668,0.125,True
stock_candidate_rows,HIMS,161,3750,0.04293333333333333,0.125,True
stock_candidate_rows,IONQ,162,3750,0.043200000000000002,0.125,True
stock_candidate_rows,IREN,177,3750,0.047199999999999999,0.125,True
stock_candidate_rows,MARA,186,3750,0.049599999999999998,0.125,True
stock_candidate_rows,MP,214,3750,0.057066666666666668,0.125,True
stock_candidate_rows,MRNA,224,3750,0.059733333333333333,0.125,True
stock_candidate_rows,MSTR,230,3750,0.06133333333333333,0.125,True
stock_candidate_rows,NVTS,139,3750,0.037066666666666664,0.125,True
stock_candidate_rows,QBTS,168,3750,0.0448,0.125,True
stock_candidate_rows,RGTI,155,3750,0.041333333333333333,0.125,True
stock_candidate_rows,RIOT,197,3750,0.052533333333333335,0.125,True
stock_candidate_rows,RIVN,214,3750,0.057066666666666668,0.125,True
stock_candidate_rows,SMCI,186,3750,0.049599999999999998,0.125,True
stock_candidate_rows,SOFI,173,3750,0.046133333333333332,0.125,True
stock_candidate_rows,WULF,178,3750,0.047466666666666664,0.125,True
loop_positive_completions,loop_p_0-1-0,13,155,0.08387096774193549,0.29999999999999999,True
loop_positive_completions,loop_p_0-2-0,10,155,0.064516129032258063,0.29999999999999999,True
loop_positive_completions,loop_p_0-4-0,2,155,0.012903225806451613,0.29999999999999999,True
loop_positive_completions,loop_p_1-2-1,8,155,0.051612903225806452,0.29999999999999999,True
loop_positive_completions,loop_p_2-4-2,1,155,0.0064516129032258064,0.29999999999999999,True
loop_positive_completions,loop_p_2-5-6-2,31,155,0.20000000000000001,0.29999999999999999,True
loop_positive_completions,loop_p_2-6-2,22,155,0.14193548387096774,0.29999999999999999,True
loop_positive_completions,loop_p_2-6-5-2,7,155,0.045161290322580643,0.29999999999999999,True
loop_positive_completions,loop_p_4-5-4,13,155,0.08387096774193549,0.29999999999999999,True
loop_positive_completions,loop_p_4-6-4,29,155,0.18709677419354839,0.29999999999999999,True
loop_positive_completions,loop_p_6-7-6,19,155,0.12258064516129032,0.29999999999999999,True
