signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
short__range_to_cost_bin__high__f688bcc266,SHORT,univariate,1,2262,251,20,-11.4338827257,-0.0134136683428,0.893872034308,0.999955450325,-0.160606011294,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""movement_permission"",""feature"":""range_to_cost_bin"",""operator"":""=="",""value"":""high""}]"
short__realised_volatility_bin__high__4f3a7b61f5,SHORT,univariate,1,7237,252,20,-11.2319089124,0.00814595129042,0.933776297424,0.999955450325,-0.15663095776,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""high""}]"
short__realised_volatility_bin__low__c1a2d5b1af,SHORT,univariate,1,266,174,12,-11.2438586065,-0.0815481956425,1,1,-0.372635904657,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""low""}]"
short__realised_volatility_bin__middle__489bb70895,SHORT,univariate,1,2277,250,20,-10.6428026327,-0.0163638249661,0.966091371499,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""}]"
short__return_12_bin__above_plus_one_scale__a7a516cb2c,SHORT,univariate,1,3222,250,20,-19.9984356223,-0.00873347728233,0.702517549398,0.999955450325,-0.160997056281,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__return_12_bin__below_minus_one_scale__132ef22bee,SHORT,univariate,1,3345,249,20,-3.28472450633,0.0131920181206,0.956506221895,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
short__return_12_bin__minus_one_to_zero__b55b4546f2,SHORT,univariate,1,1527,247,20,-17.0516656293,-0.0165847063692,0.986977089406,0.999955450325,-0.160659860748,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__return_12_bin__zero_to_plus_one__351045d24f,SHORT,univariate,1,1686,251,20,-4.1812552305,0.00553784686593,0.730806676677,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
short__return_12_cross_sectional_rank_bin__bottom_20__020120bd14,SHORT,univariate,1,1960,247,20,-9.08757845784,0.0183443929719,0.875207190771,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""}]"
short__return_12_cross_sectional_rank_bin__middle_60__e831b56448,SHORT,univariate,1,5842,250,20,-10.1111388906,-0.00438335612156,0.953591508166,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""middle_60""}]"
short__return_12_cross_sectional_rank_bin__top_20__c968ba5023,SHORT,univariate,1,1957,249,20,-17.0053998775,-0.00646972276125,0.969634672995,0.999955450325,-0.165615121848,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_12_cross_sectional_rank_bin"",""operator"":""=="",""value"":""top_20""}]"
short__return_1_bin__above_plus_one_scale__d4f40fea3c,SHORT,univariate,1,473,173,20,-10.4606244517,-0.00458782431246,0.706444253643,0.999955450325,-0.184480559627,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__return_1_bin__below_minus_one_scale__3f3a2c5aed,SHORT,univariate,1,532,194,20,-15.5581187304,-0.0232775189508,0.851179431376,0.999955450325,-0.184357365807,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
short__return_1_bin__minus_one_to_zero__56d456d990,SHORT,univariate,1,4302,251,20,-13.228536764,-0.00796989843503,0.986829250707,0.999955450325,-0.151145850268,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__return_1_bin__zero_to_plus_one__a6e2b96012,SHORT,univariate,1,4473,252,20,-8.57945296101,0.0109188875585,0.722954631256,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
