neutral_veto_id,condition_count,conditions_json,rows,sessions,stocks,neutral_rate,base_neutral_rate,neutral_lift,mean_long_net_bps,mean_short_net_bps,raw_p_value,fdr_q_value,neutral_score,neutral_discovery_eligible,rejection_reasons_json
neutral_veto__000a041faebb,3,"[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""bullish""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]",186,100,20,0.0860215053763,0.0975460122699,-0.0115245068936,-1.58317025086,-18.4168297491,0.640877618424,0.99296470509,-0.00357259713701,False,"[""neutral_lift_not_positive"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000aaffa73b5,3,"[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>0""}]",44,40,13,0.159090909091,0.0975460122699,0.061544896821,1.59050491479,-21.5905049148,1,1,0.00676993865031,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000ad77111be,2,"[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""loop"",""feature"":""top_parent_loop"",""operator"":""=="",""value"":""cycle_06""}]",49,38,16,0.0204081632653,0.0975460122699,-0.0771378490046,6.75304756211,-26.7530475621,1,1,-0.00157489775051,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000c9acb8f6a,3,"[{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":4.0},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>6""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]",0,0,0,,0.0975460122699,,,,1,1,,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""insufficient_months"",""insufficient_directional_outcomes"",""fdr_not_passed""]"
neutral_veto__000d08b59a1b,3,"[{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":true},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""65""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""6>5""}]",44,37,18,0.0681818181818,0.0975460122699,-0.0293641940881,-81.6108391188,61.6108391188,1,1,-0.00176185164529,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000d12e52f19,2,"[{""family"":""movement_permission"",""feature"":""movement_permission"",""operator"":""=="",""value"":false},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""1>0>1""}]",55,49,11,0.163636363636,0.0975460122699,0.0660903513664,-16.9401075326,-3.05989246737,1,1,0.00971849437628,False,"[""insufficient_rows"",""stock_concentration"",""insufficient_directional_outcomes"",""fdr_not_passed""]"
neutral_veto__000d7bfc697f,3,"[{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""zero_to_plus_one""},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""loop"",""feature"":""top_parent_loop"",""operator"":""=="",""value"":""cycle_07""}]",29,29,14,0.0344827586207,0.0975460122699,-0.0630632536492,-117.140662118,97.1406621177,1,1,-0.000762014314928,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000ddabc5b51,3,"[{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""7_plus""},{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""top_20""},{""family"":""price_location"",""feature"":""typical_price_distance_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]",112,90,19,0.0714285714286,0.0975460122699,-0.0261174408414,1.41075703118,-21.4107570312,1,1,-0.00365644171779,False,"[""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__000f064ec4c8,3,"[{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""7_plus""},{""family"":""loop"",""feature"":""top_loop_score_bin"",""operator"":""=="",""value"":""middle""}]",0,0,0,,0.0975460122699,,,,1,1,,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""insufficient_months"",""insufficient_directional_outcomes"",""fdr_not_passed""]"
neutral_veto__000f46e59870,2,"[{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""6>4""}]",45,38,17,0.0666666666667,0.0975460122699,-0.0308793456033,-18.2202638502,-1.77973614977,1,1,-0.00173696319018,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
