signature_id,direction,stage,condition_count,conditions,feature_support_rows,rejection_reasons,source,conditions_json,rows,sessions,stocks,months,long_count,short_count,neutral_count,long_rate,short_rate,neutral_rate,base_long_rate,base_short_rate,base_neutral_rate,long_lift,short_lift,directional_lift,opposite_direction_excess,mean_directional_net_bps,mean_opposite_net_bps,median_directional_net_bps,directional_economic_advantage_bps,total_net_bps,total_cost_bps,positive_payoff_rate,profit_factor,maximum_drawdown_bps,coverage,abstention,positive_month_fraction,top_stock_absolute_contribution_share,top_five_stock_absolute_contribution_share,stock_contribution_hhi,top_month_absolute_contribution_share,top_five_month_absolute_contribution_share,month_contribution_hhi,twice_cost_mean_net_bps,raw_p_value,neighbourhood_stability,discovery_score,fdr_q_value,discovery_supported_effect,discovery_eligible,rejection_reasons_json,tree_leaf_mean_directional_net_bps
long__state_motif_3__6gt4gt2__f82a978025,LONG,univariate,1,"[{'feature': 'state_motif_3', 'operator': '==', 'value': '6>4>2', 'family': 'state_history'}]",100,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""6>4>2""}]",100,75,20,12,46,43,11,0.46,0.43,0.11,0.441206543967,0.461247443763,0.0975460122699,0.0187934560327,-0.0312474437628,0.0187934560327,-0.0312474437628,22.992885732,-42.992885732,2.69606600417,65.9857714639,2299.2885732,1000,0.51,1.40380006755,1630.00479391,0.0102249488753,0.989775051125,0.666666666667,0.192328549105,0.549758177592,0.0877789108992,0.237682289181,0.705714253899,0.13061603317,12.992885732,0.42628327638,1,0.951613668278,0.999955450325,True,False,"[""fdr_not_passed""]",
long__compression_bin__normal__state_motif_2__2gt4__70d963f09d,LONG,pairwise,2,"[{'feature': 'compression_bin', 'operator': '==', 'value': 'normal', 'family': 'range'}, {'feature': 'state_motif_2', 'operator': '==', 'value': '2>4', 'family': 'state_history'}]",230,['fdr_not_passed'],pairwise,"[{""family"":""range"",""feature"":""compression_bin"",""operator"":""=="",""value"":""normal""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>4""}]",230,116,20,12,121,78,31,0.526086956522,0.339130434783,0.134782608696,0.441206543967,0.461247443763,0.0975460122699,0.0848804125545,-0.12211700898,0.0848804125545,-0.12211700898,38.9665344591,-58.9665344591,38.7280114495,97.9330689182,8962.30292559,2300,0.573913043478,1.59919173409,1550.10976623,0.0235173824131,0.976482617587,0.666666666667,0.183158613115,0.619250810365,0.0997700675166,0.36786308023,0.726181404207,0.182196331033,28.9665344591,0.352725975174,0.5,1.03760834344,0.999955450325,True,False,"[""fdr_not_passed""]",
long__current_state__4.0__opening_range_position_bin__below_range__6ed901c91f,LONG,pairwise,2,"[{'feature': 'current_state', 'operator': '==', 'value': 4.0, 'family': 'structural_state'}, {'feature': 'opening_range_position_bin', 'operator': '==', 'value': 'below_range', 'family': 'price_location'}]",119,['fdr_not_passed'],pairwise,"[{""family"":""structural_state"",""feature"":""current_state"",""operator"":""=="",""value"":4.0},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""below_range""}]",119,70,18,12,60,51,8,0.504201680672,0.428571428571,0.0672268907563,0.441206543967,0.461247443763,0.0975460122699,0.062995136705,-0.0326760151914,0.062995136705,-0.0326760151914,32.2261507165,-52.2261507165,14.8508946322,84.4523014331,3834.91193527,1190,0.504201680672,1.37734282729,1806.17974006,0.0121676891616,0.987832310838,0.666666666667,0.24300507799,0.713369151775,0.136121965179,0.248644110744,0.865447473042,0.172593218484,22.2261507165,0.122931972282,1,1.42199223968,0.999955450325,True,False,"[""fdr_not_passed""]",
long__decision_clock__clock_12__historical_activity_bin__high__89d34ff865,LONG,pairwise,2,"[{'feature': 'decision_clock', 'operator': '==', 'value': 'clock_12', 'family': 'clock'}, {'feature': 'historical_activity_bin', 'operator': '==', 'value': 'high', 'family': 'liquidity_cost'}]",919,['fdr_not_passed'],pairwise,"[{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_12""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""high""}]",919,228,20,12,441,417,61,0.479869423286,0.453754080522,0.0663764961915,0.441206543967,0.461247443763,0.0975460122699,0.0386628793189,-0.00749336324047,0.0386628793189,-0.00749336324047,33.4846414736,-53.4846414736,-1.77376454707,86.9692829472,30772.3855142,9190,0.497279651795,1.2890332386,4952.35674389,0.0939672801636,0.906032719836,0.583333333333,0.181092340536,0.666116565837,0.105569161072,0.266756757177,0.807230265434,0.164479800658,23.4846414736,0.0135103234573,1,1.69837744516,0.999955450325,True,False,"[""fdr_not_passed""]",
long__state_motif_2__2gt4__a19823d587,LONG,univariate,1,"[{'feature': 'state_motif_2', 'operator': '==', 'value': '2>4', 'family': 'state_history'}]",357,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>4""}]",357,157,20,12,176,142,39,0.49299719888,0.397759103641,0.109243697479,0.441206543967,0.461247443763,0.0975460122699,0.0517906549123,-0.0634883401213,0.0517906549123,-0.0634883401213,26.7142286723,-46.7142286723,9.26369863014,73.4284573446,9536.97963601,3570,0.532212885154,1.37016709633,2885.02396909,0.0365030674847,0.963496932515,0.666666666667,0.170666804494,0.586162851469,0.0916657036481,0.315372761147,0.783951491003,0.169167012195,16.7142286723,0.344749558968,1,1.7000027847,0.999955450325,True,False,"[""fdr_not_passed""]",
long__state_motif_2__2gt6__911cbf2957,LONG,univariate,1,"[{'feature': 'state_motif_2', 'operator': '==', 'value': '2>6', 'family': 'state_history'}]",93,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>6""}]",93,73,20,12,51,36,6,0.548387096774,0.387096774194,0.0645161290323,0.441206543967,0.461247443763,0.0975460122699,0.107180552807,-0.0741506695692,0.107180552807,-0.0741506695692,30.9946966461,-50.9946966461,31.7719676163,81.9893932922,2882.50678809,930,0.58064516129,1.40011793064,1801.67690342,0.00950920245399,0.990490797546,0.833333333333,0.121386989079,0.536518465784,0.0812815082716,0.178718774271,0.695654055853,0.118646940622,20.9946966461,0.113453803127,1,1.73310942322,0.999955450325,True,False,"[""fdr_not_passed""]",
long__state_motif_4__6gt4gt2gt4__991bf70c9a,LONG,univariate,1,"[{'feature': 'state_motif_4', 'operator': '==', 'value': '6>4>2>4', 'family': 'state_history'}]",89,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_4"",""operator"":""=="",""value"":""6>4>2>4""}]",89,66,19,12,46,35,8,0.516853932584,0.393258426966,0.0898876404494,0.441206543967,0.461247443763,0.0975460122699,0.075647388617,-0.0679890167965,0.075647388617,-0.0679890167965,53.1363797533,-73.1363797533,22.9439952081,126.272759507,4729.13779804,890,0.539325842697,1.73358100238,1194.31069707,0.00910020449898,0.990899795501,0.583333333333,0.179903485635,0.579927237235,0.0937542797502,0.30111845406,0.793725433672,0.195470578213,43.1363797533,0.077510855791,1,1.97657949343,0.999955450325,True,False,"[""fdr_not_passed""]",
long__previous_state__5.0__stock_vs_universe_return_bin__above_plus_one_scale__0015179b40,LONG,pairwise,2,"[{'feature': 'previous_state', 'operator': '==', 'value': 5.0, 'family': 'structural_state'}, {'feature': 'stock_vs_universe_return_bin', 'operator': '==', 'value': 'above_plus_one_scale', 'family': 'cross_sectional'}]",99,['fdr_not_passed'],pairwise,"[{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":5.0},{""family"":""cross_sectional"",""feature"":""stock_vs_universe_return_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]",99,80,20,12,49,38,12,0.494949494949,0.383838383838,0.121212121212,0.441206543967,0.461247443763,0.0975460122699,0.0537429509822,-0.0774090599244,0.0537429509822,-0.0774090599244,62.3643102999,-82.3643102999,6.78640510167,144.7286206,6174.06671969,990,0.545454545455,1.72051630455,1721.57802713,0.0101226993865,0.989877300613,0.583333333333,0.16113929868,0.632985601304,0.0996629342569,0.285473704464,0.716820304166,0.143959323934,52.3643102999,0.354479622365,1,2.30361569621,0.999955450325,True,False,"[""fdr_not_passed""]",
long__state_motif_3__4gt2gt4__427c3a9b1f,LONG,univariate,1,"[{'feature': 'state_motif_3', 'operator': '==', 'value': '4>2>4', 'family': 'state_history'}]",235,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>2>4""}]",235,125,20,12,121,90,24,0.514893617021,0.382978723404,0.102127659574,0.441206543967,0.461247443763,0.0975460122699,0.073687073054,-0.0782687203585,0.073687073054,-0.0782687203585,35.9829841224,-55.9829841224,21.8066157761,91.9659682449,8456.00126877,2350,0.544680851064,1.53099654412,2030.36516383,0.0240286298569,0.975971370143,0.666666666667,0.137804682791,0.535265761225,0.0791461460883,0.364979035062,0.797024401949,0.192617277314,25.9829841224,0.0624739949137,1,2.33213600384,0.999955450325,True,False,"[""fdr_not_passed""]",
long__state_motif_3__7gt5gt7__a8f904db4a,LONG,univariate,1,"[{'feature': 'state_motif_3', 'operator': '==', 'value': '7>5>7', 'family': 'state_history'}]",149,['fdr_not_passed'],univariate,"[{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""7>5>7""}]",149,93,17,12,75,68,6,0.503355704698,0.456375838926,0.0402684563758,0.441206543967,0.461247443763,0.0975460122699,0.0621491607307,-0.00487160483661,0.0621491607307,-0.00487160483661,50.2834802317,-70.2834802317,12.2638579271,120.566960463,7492.23855453,1490,0.510067114094,1.37715626573,2754.8535275,0.0152351738241,0.984764826176,0.666666666667,0.290190944955,0.64114998152,0.135219784133,0.289418970949,0.763760057287,0.155200553247,40.2834802317,0.0697363606632,1,2.73456700925,0.999955450325,True,False,"[""fdr_not_passed""]",
