signature_id,rejection_reasons_json
long__opening_range_position_bin__above_range__bdd5c49b30,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__opening_range_position_bin__above_range__previous_state__6.0__1b90e11fc9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__above_range__previous_state__6.0__return_12_bin__minus_one_to_zero__0af2a852fa,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__above_range__previous_state__6.0__top_parent_loop__cycle_11__ae62a2fb6f,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__opening_range_position_bin__above_range__prior_completed_dwell_bin__missing__ab0cb93788,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__opening_range_position_bin__above_range__prior_completed_dwell_bin__missing__return_6_cross_sectional_rank_bin__bottom_2__991502d045,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__opening_range_position_bin__above_range__realised_volatility_bin__high__8fa269f820,"[""fdr_not_passed""]"
long__opening_range_position_bin__above_range__return_12_bin__below_minus_one_scale__0f96ffeb45,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__above_range__return_1_bin__below_minus_one_scale__3c2c9d4560,"[""fdr_not_passed""]"
long__opening_range_position_bin__above_range__return_3_bin__minus_one_to_zero__a918a42992,"[""fdr_not_passed""]"
long__opening_range_position_bin__above_range__state_age_bin__7_plus__9b74f2e919,"[""fdr_not_passed""]"
long__opening_range_position_bin__above_range__state_motif_3__1gt2gt1__2fc673c9af,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__above_range__top_parent_loop__cycle_01__9018b00a78,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__below_range__eda05db2ce,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__below_range__realised_volatility_bin__middle__36ecf59926,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__below_range__return_6_cross_sectional_rank_bin__middle_60__8495f4b925,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__below_range__return_6_cross_sectional_rank_bin__top_20__afb47965e6,"[""fdr_not_passed"",""non_positive_discovery_lift""]"
long__opening_range_position_bin__below_range__state_age_bin__7_plus__top_loop_score_bin__middle__22a239223e,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__opening_range_position_bin__below_range__state_motif_2__2gt0__ab52ef7899,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""stock_concentration""]"
long__opening_range_position_bin__below_range__state_motif_4__6gt4gt2gt4__8284d7d933,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks""]"
long__opening_range_position_bin__below_range__top_loop_score_bin__middle__337867dce6,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__below_range__top_parent_loop__cycle_07__5235530928,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__043da7f4c0,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__prior_completed_dwell_bin__3_6__43921523f4,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__return_1_bin__zero_to_plus_one__state_motif_2__4gt3__a1212ebdb1,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__state_motif_2__1gt2__6fc67b9ef7,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows""]"
long__opening_range_position_bin__lower_half__state_motif_2__4gt3__ea13bb5cea,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__state_motif_3__6gt4gt2__618dd9bb25,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift""]"
long__opening_range_position_bin__lower_half__stock_vs_market_return_bin__below_minus_one_scale__4ab7aca59d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__stock_vs_universe_return_bin__zero_to_plus_one__top_second_margin_bin__middle__4bc1815bde,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__lower_half__universe_breadth_bin__strong__739d53cd11,"[""fdr_not_passed""]"
long__opening_range_position_bin__upper_half__e57fd299a4,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__upper_half__prior_completed_dwell_bin__3_6__09468efeae,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__upper_half__state_age_bin__1__wick_asymmetry_bin__upper_dominant__925be4c5c5,"[""fdr_not_passed"",""non_positive_discovery_lift""]"
long__opening_range_position_bin__upper_half__state_motif_2__2gt5__dce66f80db,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__opening_range_position_bin__upper_half__state_motif_2__2gt6__ac0a23ba8e,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__parent_loop_family__transition_length_2__c3cb57b38a,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__parent_loop_family__transition_length_2__prior_completed_dwell_bin__7_plus__typical_price_distance_bin__zero_to_plus_one__ea2fa8f0fc,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__parent_loop_family__transition_length_2__prior_completed_dwell_bin__missing__a941f25039,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__parent_loop_family__transition_length_2__state_motif_2__4gt6__0bc1741369,"[""fdr_not_passed""]"
long__parent_loop_family__transition_length_2__state_motif_2__5gt4__e59c13be8c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__parent_loop_family__transition_length_2__state_motif_2__5gt6__154e2b927e,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__parent_loop_family__transition_length_2__state_motif_4__6gt4gt2gt4__ba175f8ea2,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__parent_loop_family__transition_length_2__state_motif_4__6gt5gt6gt5__01bd5ec2cf,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__parent_loop_family__transition_length_2__typical_price_distance_bin__below_minus_one_scale__1f9dded9b5,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__085786e6a3,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__realised_volatility_bin__middle__top_loop_orientation__bidirectional__916908f685,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__return_12_bin__below_minus_one_scale__dd1da121d1,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__state_motif_2__0gt1__9efc3bba29,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__state_motif_2__4gt3__8dd6ad3c5e,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__state_motif_2__5gt4__59d2fa9f8f,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__predicted_absolute_movement_bin__high__stock_vs_universe_return_bin__minus_one_to_zero__76bc73cfb9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__top_loop_orientation__bidirectional__12c6db3972,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_absolute_movement_bin__high__top_second_margin_bin__low__wick_asymmetry_bin__upper_dominant__c1fbe83190,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__d72c9a04da,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__return_1_bin__below_minus_one_scale__1379f4c868,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__session_return_bin__minus_one_to_zero__f437cca5ba,"[""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__state_motif_2__5gt2__82d38c176c,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__state_motif_4__1gt3gt1gt3__0705dfe777,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows""]"
long__predicted_future_range_bin__high__top_parent_loop__cycle_04__ea1b473362,"[""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__predicted_future_range_bin__high__universe_breadth_bin__weak__f4f60cadfa,"[""fdr_not_passed""]"
long__previous_state__0.0__b7af304e09,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__0.0__scheduled_bars_remaining_bin__41__ee9527f50b,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__0.0__state_motif_2__2gt4__283d5d1b0c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__0.0__state_motif_2__3gt4__9b67d5bc6f,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__0.0__state_motif_2__4gt5__101cb05a30,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__0.0__state_motif_2__5gt4__universe_breadth_bin__weak__d4c1ac394a,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__0.0__state_motif_2__6gt5__5a85165087,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__0.0__state_motif_3__1gt0gt1__12a0b426ba,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__previous_state__0.0__top_parent_loop__cycle_04__afcdd46098,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""stock_concentration""]"
long__previous_state__0.0__top_second_margin_bin__low__3b1c262772,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__previous_state__0.0__universe_breadth_bin__weak__73d59f2028,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__bd250db141,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__range_to_cost_bin__high__16ea36aec6,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__range_to_cost_bin__high__state_motif_3__4gt3gt4__d6a5e1aebc,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__return_3_bin__below_minus_one_scale__stock_vs_market_return_bin__above_plus_one_scale__7c905db16c,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__previous_state__1.0__rolling_high_low_location_bin__middle__ae805a218d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__rolling_high_low_location_bin__middle__stock_vs_market_return_bin__above_plus_one_scale__03b76fb0c9,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows""]"
long__previous_state__1.0__same_orientation_repeat_bin__2_plus__top_second_margin_bin__middle__4ad4c31ed5,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""stock_concentration""]"
long__previous_state__1.0__session_return_bin__minus_one_to_zero__9b64bb2ad8,"[""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__session_return_bin__minus_one_to_zero__state_motif_3__4gt6gt4__b9a4624dc6,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__state_motif_2__2gt1__016010a44c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__state_motif_3__1gt2gt1__55fc9f9389,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__state_motif_3__3gt0gt3__760bdb62f8,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__state_motif_3__6gt5gt6__7922ac5a36,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__1.0__stock_vs_market_return_bin__above_plus_one_scale__184ef8baf2,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__stock_vs_universe_return_bin__below_minus_one_scale__119ba5ec48,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__top_loop_orientation__bidirectional__03ef4b0cce,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__top_parent_loop__cycle_03__e0f1071f41,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__1.0__top_second_margin_bin__middle__8a01b3085f,"[""fdr_not_passed""]"
long__previous_state__1.0__typical_price_distance_bin__below_minus_one_scale__c47f3836aa,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__2.0__40706bf538,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__2.0__realised_volatility_bin__middle__225816d69b,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__2.0__return_1_bin__zero_to_plus_one__bb1ee1a46c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__2.0__return_3_bin__minus_one_to_zero__41e28a85d3,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__2.0__state_motif_2__1gt0__e4266b9c35,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__2.0__state_motif_2__1gt3__844a8e98f0,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__2.0__state_motif_2__1gt4__8b343b388a,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__2.0__state_motif_2__4gt5__f88da75ae0,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__2.0__state_motif_3__1gt2gt3__65e36edf1e,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__2.0__state_motif_3__4gt2gt1__9c9cfa6dc4,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__2.0__state_motif_3__5gt6gt5__6dc5723128,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__2.0__top_parent_loop__cycle_11__0409186d62,"[""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions""]"
long__previous_state__2.0__universe_breadth_bin__weak__73e98c041c,"[""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__3.0__d91b1c27c8,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__3.0__state_motif_3__0gt1gt0__475311526e,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__3.0__state_motif_3__4gt1gt3__top_loop_score_bin__middle__8bed2554fb,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__3.0__state_motif_4__4gt6gt4gt6__ac97ec3ba9,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__3.0__top_loop_score_bin__middle__15b84fa47c,"[""fdr_not_passed""]"
long__previous_state__4.0__75eb70d09c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__4.0__return_1_bin__minus_one_to_zero__same_orientation_repeat_bin__1__260cbb0b98,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__4.0__rolling_high_low_location_bin__low__same_orientation_repeat_bin__1__3f08537718,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__4.0__same_orientation_repeat_bin__1__3138f4f8ec,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__4.0__state_motif_2__0gt3__b1c62ae15e,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__state_motif_2__2gt1__stock_vs_market_return_bin__below_minus_one_scale__f5ee414fa3,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__state_motif_2__2gt6__stock_vs_market_return_bin__below_minus_one_scale__a4e6d42e8b,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__state_motif_2__3gt6__d0387319ef,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__state_motif_2__5gt4__c3074cf3cc,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__state_motif_3__3gt1gt0__ddbde9c019,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__4.0__stock_vs_market_return_bin__below_minus_one_scale__a68ec3a2b6,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__4.0__top_parent_loop__cycle_09__98408c5dbe,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""stock_concentration""]"
long__previous_state__4.0__typical_price_distance_bin__below_minus_one_scale__62b8a7e55d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__5.0__c7f865f569,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__5.0__range_to_cost_bin__high__realised_volatility_bin__high__8ae916ca81,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__5.0__state_motif_2__1gt3__5f07eb08c5,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__5.0__state_motif_3__1gt0gt1__d023dd80df,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__5.0__stock_vs_universe_return_bin__above_plus_one_scale__0015179b40,"[""fdr_not_passed""]"
long__previous_state__5.0__top_parent_loop__cycle_01__703817b2a1,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__5.0__top_parent_loop__cycle_04__e2b9202e2c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
long__previous_state__5.0__top_parent_loop__cycle_05__ae10b7c1f4,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__5.0__top_second_margin_bin__middle__universe_breadth_bin__weak__4830cb7562,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions""]"
long__previous_state__6.0__ea319f272a,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__previous_state__6.0__state_motif_2__0gt3__e7cd0a6e98,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__6.0__state_motif_2__5gt6__stock_vs_market_return_bin__below_minus_one_scale__fa9868f93f,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__6.0__state_motif_3__6gt4gt3__98ab4b7b37,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__6.0__state_motif_4__6gt4gt2gt4__efcfd64c15,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__6.0__stock_vs_market_return_bin__below_minus_one_scale__22ae163911,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__6.0__wick_asymmetry_bin__lower_dominant__dee6671bd7,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__7.0__b8e8c9f660,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__7.0__return_12_bin__minus_one_to_zero__7ffbf8811f,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__previous_state__7.0__return_3_bin__minus_one_to_zero__6a26861e42,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__previous_state__7.0__return_3_bin__minus_one_to_zero__state_motif_2__4gt5__d373ac551a,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__7.0__return_3_bin__minus_one_to_zero__top_parent_loop__cycle_11__6c6917ebdf,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__previous_state__7.0__return_6_bin__zero_to_plus_one__universe_breadth_bin__strong__1ba29be184,"[""fdr_not_passed"",""insufficient_rows""]"
long__previous_state__7.0__session_return_bin__zero_to_plus_one__fb33832d3d,"[""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions""]"
long__previous_state__7.0__state_motif_2__2gt3__3a2c51fa81,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
