signature_id,direction,period,stress,removed,rows,sessions,stocks,mean_directional_net_bps,median_directional_net_bps,directional_lift,positive_payoff_rate,profit_factor,maximum_drawdown_bps,positive_month_fraction,twice_cost_mean_net_bps,top_stock_absolute_contribution_share,top_month_absolute_contribution_share
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,AAL,183,99,16,-23.0601688389,-31.9517073171,0.00594334828548,0.464480874317,0.864627051604,7270.35502221,0.181818181818,-33.0601688389,0.204116624301,0.257958188444
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,AAOI,181,98,16,-19.7611535482,-31.9517073171,0.00952920114765,0.46408839779,0.882661801039,6627.11291692,0.272727272727,-29.7611535482,0.21135002691,0.267571234423
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,APLD,169,97,16,-2.55463655191,-31.8435109718,0.012804012804,0.467455621302,0.983771430478,4433.08078912,0.363636363636,-12.5546365519,0.203058077009,0.361111721333
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,ASTS,182,98,16,-25.5874897885,-44.2362023285,0.00706874411135,0.461538461538,0.850717480315,7707.2672662,0.0909090909091,-35.5874897885,0.207886951596,0.248598942077
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,CIFR,172,95,16,-16.5181377538,-29.8191856547,0.0147141342976,0.470930232558,0.899831998507,5891.46381834,0.272727272727,-26.5181377538,0.220277544836,0.31878592802
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,HIMS,167,94,16,-29.6578030744,-42.6627640448,-0.00111279586749,0.455089820359,0.830936657636,8003.19723812,0.181818181818,-39.6578030744,0.211275017259,0.160326462221
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,IONQ,175,99,16,-32.968970702,-48.022230946,-0.00430716430716,0.451428571429,0.809910887446,8819.91399754,0.181818181818,-42.968970702,0.221225455306,0.242043389879
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,IREN,177,97,16,-10.3952299085,-27.7948603375,0.0240562754751,0.480225988701,0.936097486514,6190.23519376,0.272727272727,-20.3952299085,0.233712784262,0.340784677542
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,MARA,184,100,17,-23.1958322199,-37.3072356809,0.00471515609194,0.461956521739,0.863297145583,7318.37725316,0.181818181818,-33.1958322199,0.203596414747,0.256577774195
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,MP,155,90,16,-27.3199107087,-71.6268245457,-0.0118268032673,0.438709677419,0.852538061976,6190.23519376,0.272727272727,-37.3199107087,0.203958454358,0.22907348204
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,MRNA,178,98,16,-27.208886259,-46.9159357791,-0.00762306318733,0.449438202247,0.84420750582,7318.37725316,0.181818181818,-37.208886259,0.21000660098,0.22393465057
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,MSTR,184,100,17,-23.1958322199,-37.3072356809,0.00550768182815,0.461956521739,0.863297145583,7318.37725316,0.181818181818,-33.1958322199,0.203596414747,0.256577774195
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,NVTS,155,89,16,-47.194821619,-42.6627640448,-0.00792181959699,0.451612903226,0.725700579379,7318.37725316,0.0909090909091,-57.194821619,0.242872891044,0.258454507031
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,QBTS,162,97,16,-33.0727823047,-31.8976091444,0.0138104205901,0.469135802469,0.804588513287,7318.37725316,0.0909090909091,-43.0727823047,0.21609412596,0.252968167203
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,RGTI,166,97,16,-16.1515748886,-31.8976091444,0.00744065849183,0.463855421687,0.901326453578,7318.37725316,0.272727272727,-26.1515748886,0.222319479826,0.234953160704
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,RIOT,183,100,16,-22.1739317923,-31.9517073171,0.00986839215659,0.464480874317,0.869148873759,7318.37725316,0.181818181818,-32.1739317923,0.20589330375,0.262731963717
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,RIVN,184,100,17,-23.1958322199,-37.3072356809,0.00572842866731,0.461956521739,0.863297145583,7318.37725316,0.181818181818,-33.1958322199,0.203596414747,0.256577774195
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,SMCI,176,96,16,-23.8755594047,-37.3072356809,0.00889129247188,0.465909090909,0.861348894451,7318.37725316,0.181818181818,-33.8755594047,0.204311345464,0.248377000399
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,SOFI,183,99,16,-23.0077197785,-31.9517073171,0.00733774922939,0.464480874317,0.86489335069,7318.37725316,0.181818181818,-33.0077197785,0.204220917237,0.258235874099
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2025,leave_one_stock_out_recomputed,WULF,180,99,16,-17.2074286152,-31.8976091444,0.00973339051499,0.466666666667,0.895841478287,7318.37725316,0.272727272727,-27.2074286152,0.217083846144,0.290203727551
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,AAOI,28,24,12,95.7263674066,112.864868225,0.174876847291,0.642857142857,1.96958042796,977.325365216,0.666666666667,85.7263674066,0.188696008022,0.37655020354
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,APLD,39,33,12,62.5494436475,98.266051591,0.16705753596,0.641025641026,1.50464272759,2235.73555301,0.666666666667,52.5494436475,0.181077116128,0.285905704541
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,ASTS,38,32,12,52.1909535722,94.2445928045,0.159969374398,0.631578947368,1.41011289821,2235.73555301,0.666666666667,42.1909535722,0.178682063447,0.266310882119
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,CIFR,40,34,13,54.2838564162,94.2445928045,0.154922553391,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,HIMS,38,32,12,28.7090151357,90.1999612393,0.13260415766,0.605263157895,1.21382456817,2391.99202331,0.5,18.7090151357,0.201173686452,0.234986234204
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,IONQ,37,31,12,30.6609641313,90.1767884606,0.124392811394,0.594594594595,1.22235312828,2391.99202331,0.5,20.6609641313,0.207861070303,0.310966742997
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,IREN,36,31,12,48.1181913394,90.1999612393,0.142368427899,0.611111111111,1.37580127023,2391.99202331,0.5,38.1181913394,0.18642065213,0.295545260371
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,MARA,40,34,13,54.2838564162,94.2445928045,0.155971374941,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,MP,40,34,13,54.2838564162,94.2445928045,0.155171401737,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,MRNA,38,33,12,71.1155126291,108.843409438,0.157857689743,0.631578947368,1.60419054351,2391.99202331,0.5,61.1155126291,0.189425539533,0.322879209809
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,MSTR,38,33,12,49.2107542976,94.2445928045,0.131319495923,0.605263157895,1.36652139537,2391.99202331,0.5,39.2107542976,0.182092521394,0.28206630389
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,NVTS,32,29,12,46.7339235893,147.252904418,0.187221374941,0.65625,1.31702408534,2391.99202331,0.5,36.7339235893,0.194360996158,0.387453017615
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,QBTS,39,33,12,52.4074505587,90.2231340181,0.146135789094,0.615384615385,1.40060222129,2391.99202331,0.5,42.4074505587,0.176908045947,0.288037973748
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,RGTI,39,33,12,71.3685390729,98.266051591,0.169820231839,0.641025641026,1.61990127929,2391.99202331,0.5,61.3685390729,0.192153858547,0.327754884238
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,RIOT,40,34,13,54.2838564162,94.2445928045,0.153142589118,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,RIVN,39,33,12,58.5357356728,98.266051591,0.166564535121,0.641025641026,1.45744737642,2391.99202331,0.5,48.5357356728,0.176447965302,0.307117319945
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,SMCI,39,33,12,46.6034393135,90.2231340181,0.142490928457,0.615384615385,1.35623639596,2391.99202331,0.5,36.6034393135,0.183717327399,0.277735931313
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,SOFI,40,34,13,54.2838564162,94.2445928045,0.151538280883,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,2026,leave_one_stock_out_recomputed,WULF,40,34,13,54.2838564162,94.2445928045,0.155569219958,0.625,1.42558508289,2391.99202331,0.5,44.2838564162,0.173291271122,0.294182692375
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,AAL,183,106,17,47.7671182719,9.12860562474,0.0524884269471,0.508196721311,1.36524008173,2215.58756863,0.666666666667,37.7671182719,0.261671494682,0.265166969055
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,AAOI,179,104,16,46.4545041851,9.12860562474,0.0552135915559,0.508379888268,1.35120317484,2215.58756863,0.666666666667,36.4545041851,0.279639467714,0.261091339804
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,APLD,169,100,16,50.2060553692,16.1282015721,0.0682470390313,0.520710059172,1.40982000858,2215.58756863,0.666666666667,40.2060553692,0.266278982942,0.287224666041
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,ASTS,169,98,16,27.9346305305,-2.25669984324,0.0491311480003,0.491124260355,1.2009534256,2559.3405022,0.416666666667,17.9346305305,0.249057740466,0.257772511349
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,CIFR,181,105,16,54.3558036045,12.2638579271,0.0616650667649,0.513812154696,1.43082413203,2215.58756863,0.75,44.3558036045,0.28257852976,0.260227908233
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,HIMS,177,104,16,51.6641655315,9.12860562474,0.0581060754095,0.508474576271,1.39820184379,2215.58756863,0.666666666667,41.6641655315,0.268985611314,0.269092683513
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,IONQ,174,104,16,48.4122359979,6.08623335207,0.054739785122,0.505747126437,1.3594771387,2259.8924577,0.583333333333,38.4122359979,0.267400181239,0.269306397114
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,IREN,182,105,16,47.2931176046,6.08623335207,0.0520590640113,0.505494505495,1.35963970432,2215.58756863,0.666666666667,37.2931176046,0.264058529783,0.26301048788
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,MARA,183,106,17,47.7671182719,9.12860562474,0.0581934861506,0.508196721311,1.36524008173,2215.58756863,0.666666666667,37.7671182719,0.261671494682,0.265166969055
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,MP,182,105,16,48.0710292935,10.6962317759,0.0591942260045,0.510989010989,1.36567059399,2215.58756863,0.727272727273,38.0710292935,0.261804711278,0.265289406648
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,MRNA,179,104,16,44.0862028264,-1.53905785502,0.0432517346462,0.497206703911,1.32972663106,2792.19121541,0.666666666667,34.0862028264,0.27758361325,0.266298199083
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,MSTR,145,90,16,71.1004788176,16.1282015721,0.0639516640518,0.51724137931,1.53387780956,2125.715963,0.666666666667,61.1004788176,0.283639231951,0.297700689857
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,NVTS,176,105,16,48.7245001134,10.6962317759,0.0574792988493,0.511363636364,1.37218551243,2381.45819243,0.666666666667,38.7245001134,0.264631900732,0.268738519739
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,QBTS,154,98,16,41.684508574,10.6962317759,0.0588899645047,0.512987012987,1.35205854912,2880.90504591,0.583333333333,31.684508574,0.310258427858,0.326064063987
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,RGTI,156,100,16,55.9241479792,14.1960297496,0.0653223183324,0.519230769231,1.47258952139,2215.58756863,0.75,45.9241479792,0.261975668406,0.291897138246
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,RIOT,183,106,17,47.7671182719,9.12860562474,0.0565058957944,0.508196721311,1.36524008173,2215.58756863,0.666666666667,37.7671182719,0.261671494682,0.265166969055
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,RIVN,181,105,16,48.9879933534,12.2638579271,0.0612123771179,0.513812154696,1.37243357861,2215.58756863,0.666666666667,38.9879933534,0.263904225553,0.264335532082
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,SMCI,157,97,16,39.0544173964,-1.53905785502,0.0436630409367,0.496815286624,1.26963253388,2215.58756863,0.666666666667,29.0544173964,0.317568846896,0.236557600351
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,SOFI,182,105,16,46.8291631097,6.08623335207,0.0523571789313,0.505494505495,1.35611157029,2215.58756863,0.666666666667,36.8291631097,0.265584806912,0.268758817426
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2024,leave_one_stock_out_recomputed,WULF,181,105,16,48.579315401,9.12860562474,0.0563808259761,0.508287292818,1.3708785557,2215.58756863,0.666666666667,38.579315401,0.262583063679,0.258854223565
long__cross_sectional_dispersion_bin__high__state_motif_2__5gt7__67592836f9,LONG,2025,leave_one_stock_out_recomputed,AAL,215,117,18,34.9097936226,23.4561737523,0.067857187401,0.544186046512,1.27880414768,2953.85065639,0.416666666667,24.9097936226,0.172368768526,0.324546478348
