model_id,policy_id,horizon_minutes,total_episodes,actions,abstentions,action_coverage,call_count,put_count,call_put_balance,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_aligned_return_rate,trimmed_mean_aligned_return,mean_winning_aligned_return,mean_losing_aligned_return,payoff_ratio,mean_maximum_favourable_excursion,mean_maximum_adverse_excursion,favourable_adverse_excursion_ratio
Q0,frozen_development_oof_35pct,5,253,72,181,0.284584980237154,40,32,0.555555555555556,0.416666666666667,0.409375,-0.00258819880777021,-0.001577307295434,0.416666666666667,-0.00196019562956805,0.00701330711479391,-0.00944641732388743,0.742430370618833,0.00650686116202224,0.00966814670910179,0.673020523767658
Q0,frozen_development_oof_35pct,10,253,72,181,0.284584980237154,40,32,0.555555555555556,0.402777777777778,0.387730553327987,-0.00197340009775208,-0.00159893218972665,0.402777777777778,-0.00278672332928803,0.0105000740941398,-0.0103857431574001,1.01100845023866,0.00931372545245975,0.0126449787819161,0.736555245610974
Q0,frozen_development_oof_35pct,15,253,72,181,0.284584980237154,40,32,0.555555555555556,0.486111111111111,0.477970102281668,-0.00174920577223136,-0.000483511509268731,0.486111111111111,-0.00198566635039328,0.0120040346038785,-0.0147590277496326,0.813335052112584,0.0110993826151508,0.0147048157132272,0.754812765532773
Q0,frozen_development_oof_35pct,30,253,72,181,0.284584980237154,40,32,0.555555555555556,0.513888888888889,0.515444015444015,0.000352141029792884,0.00257710509394773,0.513888888888889,-0.000788891958600326,0.0193744405497072,-0.0197571470341165,0.980629466200334,0.0165633720172123,0.0186902144740682,0.886205561749609
QS,frozen_development_oof_35pct,5,253,71,182,0.280632411067194,37,34,0.52112676056338,0.436619718309859,0.431707317073171,-0.00116468748146774,-0.00128340592706696,0.436619718309859,-0.0017825732374948,0.00850878805889179,-0.00866163102524638,0.982354020171363,0.00829725353351258,0.0088782411370181,0.934560506463034
QS,frozen_development_oof_35pct,10,253,71,182,0.280632411067194,37,34,0.52112676056338,0.450704225352113,0.44896331738437,-0.000855541122400171,-0.00123123350729862,0.450704225352113,-0.00181922959223368,0.0101496651603079,-0.00988545396975035,1.0267272693157,0.0106730698001408,0.0123713660066658,0.862723630873914
QS,frozen_development_oof_35pct,15,253,71,182,0.280632411067194,37,34,0.52112676056338,0.485714285714286,0.48221670802316,-0.000671373387162947,-0.000353471153077018,0.47887323943662,-0.000697596647308459,0.0130613075543047,-0.0136597768704147,0.956187474964822,0.0128054598295888,0.01434355983859,0.892767205191061
QS,frozen_development_oof_35pct,30,253,71,182,0.280632411067194,37,34,0.52112676056338,0.47887323943662,0.483333333333333,-0.00129431488387728,-0.00160674759173386,0.47887323943662,-0.00195548356578674,0.0157202696676983,-0.0169293385258656,0.928581447153409,0.016972821085498,0.0186155438267358,0.911755318215387
Q1,frozen_development_oof_35pct,5,253,77,176,0.304347826086957,45,32,0.584415584415584,0.493506493506494,0.485714285714286,-0.00123028806830535,-0.000220929813573321,0.493506493506494,-0.000683687210986205,0.00713546260721441,-0.00938153231624767,0.76058604998425,0.00749284415707464,0.00866486010474042,0.864739195613257
Q1,frozen_development_oof_35pct,10,253,77,176,0.304347826086957,45,32,0.584415584415584,0.454545454545455,0.438541666666667,-0.00135807581039539,-0.00078950414338748,0.454545454545455,-0.00137934891604496,0.00937117330326748,-0.0102991167384478,0.909900678014827,0.0105611500088669,0.0114370093599386,0.923418848100307
Q1,frozen_development_oof_35pct,15,253,77,176,0.304347826086957,45,32,0.584415584415584,0.519480519480519,0.503155680224404,-0.00122857006619737,0.00113669699869503,0.519480519480519,-0.000660070353552992,0.0107906436902017,-0.0142223146677098,0.758712202782336,0.0122309484306465,0.0134974791596073,0.906165387330175
Q1,frozen_development_oof_35pct,30,253,77,176,0.304347826086957,45,32,0.584415584415584,0.519480519480519,0.534722222222222,-0.000104780070913348,0.00187538741676369,0.519480519480519,9.54773106645034e-06,0.0168391810558088,-0.018422575883586,0.9140513879393,0.0167646736819953,0.0178885062133311,0.937175719541171
Q1,descriptive_probability_0.55,10,253,172,81,0.679841897233202,91,81,0.529069767441861,0.523529411764706,0.519771218754413,0.000661086629211714,0.000417479387856278,0.517441860465116,0.000516049559511625,0.0111047508708799,-0.010797727497332,1.02843407315324,0.0113709262331823,0.0103340686168546,1.10033392023705
Q1,descriptive_probability_0.60,10,253,110,143,0.434782608695652,59,51,0.536363636363636,0.486238532110092,0.479296066252588,-6.1531987323186e-05,-0.000358901856817441,0.481818181818182,-0.000511055032334046,0.0106888867308588,-0.010237134202519,1.04412880786779,0.0107934200312107,0.0108763662144065,0.992373722844496
Q1,descriptive_probability_0.65,10,253,61,192,0.241106719367589,34,27,0.557377049180328,0.442622950819672,0.43,-0.00139658598344663,-0.00078950414338748,0.442622950819672,-0.00151715948372388,0.0101580796752146,-0.0105723498888541,0.960815692065184,0.010223173260487,0.0114114195913571,0.895872172488509
