row_type,model_id,log_loss,brier_score,auc,average_precision,accuracy,balanced_accuracy,matthews_correlation_coefficient,up_base_rate,predicted_up_rate,calibration_intercept,calibration_slope,expected_calibration_error,episodes,sessions,stocks,month_groups,exact_zero_returns_excluded
model,Q0,0.732812663066862,0.267479239456562,0.497299759255644,0.552702895540458,0.544,0.539527620534843,0.0786570525115294,0.564,0.54,0.265079327160256,-0.166353557291555,0.130606828379475,250,105,20,8,3
model,QS,0.714890101998022,0.260476455008699,0.472054134946971,0.545346119770202,0.492,0.495510443099746,-0.0089192494824179,0.564,0.472,0.256498107986233,-0.369569218788479,0.0946158522635227,250,105,20,8,3
model,Q1,0.737651520469841,0.269437381045244,0.494176589238077,0.548939663664114,0.524,0.519715010735897,0.0392074344526707,0.564,0.536,0.263359231164948,-0.178737201056129,0.116408837161681,250,105,20,8,3
increment,QS_minus_Q0,0.0179225610688402,0.0070027844478624,-0.0252456243086733,-0.00735677577025573,-0.052,-0.0440171774350967,-0.0875763019939473,,,,,0.0359909761159527,250,105,20,8,
increment,Q1_minus_Q0,-0.00483885740297896,-0.00195814158868174,-0.00312317001756773,-0.00376323187634364,-0.02,-0.0198126097989459,-0.0394496180588587,,,,,0.0141979912177943,250,105,20,8,
increment,Q1_minus_QS,-0.0227614184718191,-0.00896092603654414,0.0221224542911055,0.00359354389391209,0.032,0.0242045676361508,0.0481266839350886,,,,,-0.0217929848981585,250,105,20,8,
