row_type,draw,interval_level,bound,metric,value,q1_minus_q0_log_loss_improvement,q1_minus_q0_brier_improvement,q1_minus_q0_auc_improvement,q1_selective_action_coverage,q1_selective_accuracy,q1_selective_balanced_accuracy,mean_aligned_ten_minute_return,median_aligned_ten_minute_return,positive_aligned_return_rate,mean_remaining_fraction,quiet_absorption_score_monotonic_slope,iv_excess_subgroup_accuracy,largest_movement_quartile_accuracy
draw,1,,,,,0.000433153601337444,9.01164057377501e-05,0.00333209922251021,0.35,0.395604395604396,0.396428571428571,-0.00275960419338648,-0.003354668000645,0.395604395604396,0.535318981075913,-0.000410363341154476,0.333333333333333,0.35
draw,2,,,,,-0.00729251049061552,-0.00259560625136629,-0.00954084675014899,0.334600760456274,0.545454545454545,0.535416666666667,0.000479321307501631,0.00185214593123047,0.545454545454545,0.551583571492011,-0.000784954300952999,0.511627906976744,0.588235294117647
draw,3,,,,,-0.0026752671566963,-0.000803833836461265,0.00254010695187162,0.273092369477912,0.411764705882353,0.40952380952381,-0.00263473405436685,-0.000765159509760155,0.411764705882353,0.522172506989658,-0.000441853192089485,0.363636363636364,0.333333333333333
draw,4,,,,,0.00468899502941433,0.00241718828827614,0.00721435070843623,0.344961240310078,0.426966292134831,0.388157894736842,-0.00129586548512969,-0.00159641251139287,0.426966292134831,0.559112427964623,-0.000182689118781436,0.428571428571429,0.392857142857143
draw,5,,,,,-0.0112507344147897,-0.00497976947774686,-0.0212345679012346,0.317164179104478,0.411764705882353,0.350631136044881,-0.0023541050908873,-0.00162750252583809,0.411764705882353,0.520443449403979,-0.000462283536159761,0.4,0.4
draw,6,,,,,-0.0169497827596796,-0.00742239454846588,-0.0262444729710455,0.359832635983264,0.5,0.5,-0.00105492223129983,-8.22543473435974e-05,0.5,0.553370295384282,-0.000188799318547037,0.454545454545455,0.454545454545455
draw,7,,,,,-0.00351069549556249,-0.00144463635649517,-0.00895747895532056,0.351254480286738,0.438775510204082,0.405626938413824,-0.0020665276751711,-0.000765159509760155,0.438775510204082,0.536146093377737,0.000483071137397436,0.4,0.375
draw,8,,,,,-0.0042602019208049,-0.0022662568980471,-0.0115407673860912,0.345991561181435,0.451219512195122,0.400695762175838,-0.0009737616403241,-0.00157036185361521,0.451219512195122,0.52352248034954,-0.000601506306367749,0.5,0.5
draw,9,,,,,-0.00287225105782341,-0.00188977096554782,0.000170881749829155,0.275555555555556,0.451612903225806,0.420940170940171,-0.00218796582237556,-0.00159641251139287,0.451612903225806,0.574832637587663,-0.00035311188689196,0.451612903225806,0.416666666666667
draw,10,,,,,-0.0122479679746036,-0.00482370051623848,-0.00777507264588079,0.303030303030303,0.457142857142857,0.436724565756824,-0.00115452294061932,-0.000358901856817441,0.457142857142857,0.557715924079878,-0.000733436843483617,0.5,0.5
