metric,excluded_stock,value,accuracy,mean_aligned_return,median_aligned_return
maximum_stock_share_of_episodes,,0.110671936758893,,,
maximum_stock_share_of_actions,,0.103896103896104,,,
maximum_month_share_of_actions,,0.207792207792208,,,
maximum_session_share_of_actions,,0.051948051948052,,,
leave_one_stock_out,AAL,,0.414285714285714,-0.00187239719940785,-0.00205504285959497
leave_one_stock_out,AAOI,,0.430555555555556,-0.00206399143743271,-0.00161195751861548
leave_one_stock_out,APLD,,0.459459459459459,-0.00151143552130711,-0.00115558836487402
leave_one_stock_out,ASTS,,0.492753623188406,0.000127104435244476,-0.000315308236275162
leave_one_stock_out,CIFR,,0.472222222222222,-0.00107524520174562,-0.000571655176746274
leave_one_stock_out,HIMS,,0.459459459459459,-0.00151053606715297,-0.000765159509760155
leave_one_stock_out,IONQ,,0.464788732394366,-0.00121287472142708,-0.000740814876132829
leave_one_stock_out,IREN,,0.459459459459459,-0.00141630074539507,-0.000765159509760155
leave_one_stock_out,MARA,,0.452054794520548,-0.00145120997802246,-0.00078950414338748
leave_one_stock_out,MP,,0.459459459459459,-0.00146143413354709,-0.000765159509760155
leave_one_stock_out,MRNA,,0.460526315789474,-0.00121645322073254,-0.000765159509760155
leave_one_stock_out,MSTR,,0.465753424657534,-0.000843010554213796,-0.000740814876132829
leave_one_stock_out,NVTS,,0.447368421052632,-0.00142271348999138,-0.00117993299850135
leave_one_stock_out,QBTS,,0.432432432432432,-0.00199816912403271,-0.00158338718250404
leave_one_stock_out,RGTI,,0.442857142857143,-0.00111835090428639,-0.00117993299850135
leave_one_stock_out,RIOT,,0.445945945945946,-0.0017294194123612,-0.00158338718250404
leave_one_stock_out,RIVN,,0.472972972972973,-0.00108386272621604,-0.000765159509760155
leave_one_stock_out,SMCI,,0.445945945945946,-0.00134286330753489,-0.00117993299850135
leave_one_stock_out,SOFI,,0.453333333333333,-0.0016686523957575,-0.00078950414338748
leave_one_stock_out,WULF,,0.459459459459459,-0.0012019236596081,-0.000765159509760155
