stock,session,checkpoint,signal_timestamp,partition_predecessor,partition_direct,_merge,episode_identity_match,episode_identity
AAL,2024-02-02,6,2024-02-02 15:00:00+00:00,development,development,both,True,AAL|2024-02-02|6|2024-02-02T15:00:00+00:00
AAL,2024-02-06,6,2024-02-06 15:00:00+00:00,development,development,both,True,AAL|2024-02-06|6|2024-02-06T15:00:00+00:00
AAL,2024-04-23,6,2024-04-23 14:00:00+00:00,development,development,both,True,AAL|2024-04-23|6|2024-04-23T14:00:00+00:00
AAL,2024-05-13,6,2024-05-13 14:00:00+00:00,development,development,both,True,AAL|2024-05-13|6|2024-05-13T14:00:00+00:00
AAL,2024-05-29,6,2024-05-29 14:00:00+00:00,development,development,both,True,AAL|2024-05-29|6|2024-05-29T14:00:00+00:00
AAL,2024-06-03,6,2024-06-03 14:00:00+00:00,development,development,both,True,AAL|2024-06-03|6|2024-06-03T14:00:00+00:00
AAL,2024-06-26,6,2024-06-26 14:00:00+00:00,development,development,both,True,AAL|2024-06-26|6|2024-06-26T14:00:00+00:00
AAL,2024-07-30,6,2024-07-30 14:00:00+00:00,development,development,both,True,AAL|2024-07-30|6|2024-07-30T14:00:00+00:00
AAL,2024-08-05,6,2024-08-05 14:00:00+00:00,development,development,both,True,AAL|2024-08-05|6|2024-08-05T14:00:00+00:00
AAL,2024-10-08,6,2024-10-08 14:00:00+00:00,development,development,both,True,AAL|2024-10-08|6|2024-10-08T14:00:00+00:00
AAL,2024-10-24,6,2024-10-24 14:00:00+00:00,development,development,both,True,AAL|2024-10-24|6|2024-10-24T14:00:00+00:00
AAL,2024-11-25,6,2024-11-25 15:00:00+00:00,development,development,both,True,AAL|2024-11-25|6|2024-11-25T15:00:00+00:00
AAL,2024-12-05,6,2024-12-05 15:00:00+00:00,development,development,both,True,AAL|2024-12-05|6|2024-12-05T15:00:00+00:00
AAL,2024-12-24,6,2024-12-24 15:00:00+00:00,development,development,both,True,AAL|2024-12-24|6|2024-12-24T15:00:00+00:00
AAL,2025-01-23,6,2025-01-23 15:00:00+00:00,assessment,assessment,both,True,AAL|2025-01-23|6|2025-01-23T15:00:00+00:00
AAL,2025-01-23,26,2025-01-23 16:40:00+00:00,assessment,assessment,both,True,AAL|2025-01-23|26|2025-01-23T16:40:00+00:00
AAL,2025-03-03,6,2025-03-03 15:00:00+00:00,assessment,assessment,both,True,AAL|2025-03-03|6|2025-03-03T15:00:00+00:00
AAL,2025-04-03,6,2025-04-03 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-04-03|6|2025-04-03T14:00:00+00:00
AAL,2025-04-11,6,2025-04-11 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-04-11|6|2025-04-11T14:00:00+00:00
