month_group,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
2025-01,Q0,0.790708604387732,0.295535558432995,0.349264705882353,0.419045227371895,0.484848484848485,0.485294117647059,-0.0294117647058824,0.484848484848485,0.515151515151515,0.0247863290215048,-1.51820112575293,0.246770028153908,33,10,33,6,27,0.181818181818182,3,3,0.5,0.166666666666667,0.125,-0.00131326703676239,-0.00337479745086904,0.166666666666667,-0.00131326703676239,0.0232359883416215,-0.00622311811243916,3.73381766532374,0.00880071728118311,0.0121449102168663,0.724642432429109
2025-01,QS,0.75325691673676,0.279494034108268,0.275735294117647,0.378312461462712,0.393939393939394,0.389705882352941,-0.229174624257053,0.484848484848485,0.363636363636364,-0.455021652618247,-3.98594714253717,0.156615295566901,33,10,33,8,25,0.242424242424242,2,6,0.25,0.125,0.166666666666667,-0.00476304773843742,-0.0023938493026286,0.125,-0.00476304773843742,0.00109703459206928,-0.00560020235708124,0.195891955704444,0.00608705099252657,0.01167711495081,0.521280386308461
2025-01,Q1,0.802858557524961,0.299828419578214,0.371323529411765,0.440589930841719,0.424242424242424,0.426470588235294,-0.148708132936351,0.484848484848485,0.575757575757576,0.0219768504729662,-1.17369635217057,0.264733983220345,33,10,33,9,24,0.272727272727273,6,3,0.666666666666667,0.222222222222222,0.2,-0.00439536276326354,-0.00611622701743609,0.222222222222222,-0.00439536276326354,0.011736987562147,-0.00900460571338084,1.30344269763037,0.00682024960947979,0.0119391983719549,0.571248537548427
2025-02,Q0,0.788124995896852,0.293728723543877,0.392857142857143,0.468420037203313,0.466666666666667,0.473214285714286,-0.0545544725589981,0.533333333333333,0.4,0.0726076590212816,-1.1607374640289,0.272866680956379,30,10,30,7,23,0.233333333333333,4,3,0.571428571428571,0,0,-0.015133089442102,-0.0116732843047246,0,-0.015133089442102,,-0.015133089442102,,0.00190145649828356,0.0221585657195647,0.0858113526998134
2025-02,QS,0.752398708899413,0.278562360980091,0.357142857142857,0.45381029269207,0.4,0.397321428571429,-0.205357142857143,0.533333333333333,0.533333333333333,0.112725446586101,-1.29499543347845,0.168897488117136,30,10,30,10,20,0.333333333333333,4,6,0.4,0.4,0.375,-0.00322816433988338,-0.00590738411122416,0.4,-0.00374520184667429,0.00978570176760753,-0.0119040750782107,0.822046375154285,0.0106402191099729,0.0131906690660997,0.806647415430842
2025-02,Q1,0.814259897954628,0.306035273587405,0.352678571428571,0.453119869763892,0.433333333333333,0.441964285714286,-0.120164503330062,0.533333333333333,0.366666666666667,0.0301440316854521,-1.36797841258601,0.217729371396393,30,10,30,8,22,0.266666666666667,4,4,0.5,0.125,0.1,-0.0137165507592567,-0.0100276980563034,0.125,-0.0137165507592567,0.000801442992913361,-0.0157905498667095,0.0507545968746159,0.00556859760328855,0.0200778988171972,0.27734961979781
2025-03,Q0,0.728795407004974,0.262136805791846,0.5,0.549887335930569,0.625,0.592857142857143,0.201435425117324,0.583333333333333,0.708333333333333,0.491968951741497,-0.537513233902618,0.217029150747662,24,10,24,4,20,0.166666666666667,4,0,1,0,,-0.00783284040340615,-0.00734081434537649,0,-0.00783284040340615,,-0.00783284040340615,,0.00768264321562385,0.0144877740817596,0.530284581486983
2025-03,QS,0.700558929071821,0.253465517453894,0.457142857142857,0.554495264551656,0.5,0.485714285714286,-0.0285714285714286,0.583333333333333,0.583333333333333,0.348352056112615,-0.148752968444336,0.127679659396002,24,10,24,5,19,0.208333333333333,4,1,0.8,0.6,0.666666666666667,0.000646024627889949,0.000302923810918964,0.6,0.000646024627889949,0.00529787434818151,-0.00633174995254739,0.836715661213069,0.011045925462098,0.0147482067923999,0.748967357020671
2025-03,Q1,0.738484442983115,0.267362859053883,0.478571428571429,0.548031972573105,0.666666666666667,0.614285714285714,0.302371578407382,0.583333333333333,0.833333333333333,0.478633313496647,-0.516067774849314,0.310314719480397,24,10,24,7,17,0.291666666666667,6,1,0.857142857142857,0.285714285714286,0.333333333333333,-0.0023592624904374,-0.00159641251139287,0.285714285714286,-0.0023592624904374,0.00820646834597781,-0.00658555482500349,1.2461316569441,0.00978294421243602,0.0103781729046408,0.942646099879623
2025-04,Q0,0.726629728629296,0.265653408345561,0.486274509803922,0.552551055105971,0.5625,0.556862745098039,0.115552522640609,0.46875,0.40625,-0.110913467629795,0.0743075762289474,0.281360919344573,32,10,32,13,19,0.40625,2,11,0.153846153846154,0.384615384615385,0.4625,-0.00174277740408268,-0.00473101786949751,0.384615384615385,-0.00267774763967053,0.0148601782281717,-0.0121196246742416,1.22612528255554,0.0112848960608374,0.0141524177889642,0.797382908638915
