subgroup,episodes,mean_pre_entry_signed_return,median_pre_entry_signed_return,mean_absolute_pre_entry_displacement,median_absolute_pre_entry_displacement,mean_remaining_fraction_10m,median_remaining_fraction_10m,episodes_at_least_50pct_remaining_10m,mean_remaining_fraction_30m,median_remaining_fraction_30m,episodes_at_least_50pct_remaining_30m
all_actions,77,0.000160793228305827,0.000826787975993996,0.00835379140600369,0.00648400312273632,0.545365588502576,0.565351164169245,0.597402597402597,0.645766737218885,0.690416172009933,0.714285714285714
CALL,45,0.00137854929479474,0.00144812969782652,0.0071262146266362,0.0059152327550558,0.572499553846957,0.589458598830268,0.644444444444444,0.64535072744477,0.702686024468634,0.666666666666667
PUT,32,-0.00155167624019421,-0.00133405964231277,0.0100800712519892,0.0079072445777409,0.50720844973704,0.53945722492368,0.53125,0.646351750963735,0.664260867258209,0.78125
correct_direction,35,0.00165531592647052,0.00219011607833831,0.00613211271280577,0.00472070113493745,0.571948476564474,0.58727755898095,0.628571428571429,0.663528823833405,0.701060639444992,0.771428571428571
incorrect_direction,42,-0.00108464235349808,3.96040397658178e-05,0.010205190317002,0.00843949933314388,0.523213181784327,0.553024866401997,0.571428571428571,0.630964998373452,0.659745299400819,0.666666666666667
largest_absolute_movement_quartile,16,0.003523280880021,0.00562576547523174,0.0106665994810695,0.00973174538661774,0.706643023801787,0.681173717304589,0.875,0.689290417379374,0.700481527601066,0.8125
