record_type,candidate,friction_bps,slate_count,selected_slate_count,selection_rate,mean_raw_remaining_return_bps,mean_cohort_relative_remaining_return_bps,paired_mean_cohort_relative_difference_vs_M1_bps
candidate_summary,M0,0,316,316,1,1.66607397102,-1.24113109469,
candidate_summary,M0,10,316,316,1,-8.33392602898,-11.2411310947,
candidate_summary,M0,20,316,316,1,-18.333926029,-21.2411310947,
candidate_summary,M1,0,316,315,0.996835443038,35.421745417,36.215295011,
candidate_summary,M1,10,316,315,0.996835443038,25.421745417,26.215295011,
candidate_summary,M1,20,316,315,0.996835443038,15.421745417,16.215295011,
candidate_summary,M2,0,316,315,0.996835443038,52.7273820637,53.4047530026,
candidate_summary,M2,10,316,315,0.996835443038,42.7273820637,43.4047530026,
candidate_summary,M2,20,316,315,0.996835443038,32.7273820637,33.4047530026,
candidate_summary,M3,0,316,315,0.996835443038,41.925406679,42.2926579921,
candidate_summary,M3,10,316,315,0.996835443038,31.925406679,32.2926579921,
candidate_summary,M3,20,316,315,0.996835443038,21.925406679,22.2926579921,
candidate_summary,highest_M1_large_move_probability,0,316,316,1,16.5251504548,13.2353384592,
candidate_summary,highest_M1_large_move_probability,10,316,316,1,6.52515045481,3.23533845922,
candidate_summary,highest_M1_large_move_probability,20,316,316,1,-3.47484954519,-6.76466154078,
candidate_summary,highest_opening_relative_momentum,0,316,316,1,94.4238645003,95.1423617313,
candidate_summary,highest_opening_relative_momentum,10,316,316,1,84.4238645003,85.1423617313,
candidate_summary,highest_opening_relative_momentum,20,316,316,1,74.4238645003,75.1423617313,
candidate_summary,random_within_slate,0,316,316,1,-3.10378798465,-5.62220509803,
candidate_summary,random_within_slate,10,316,316,1,-13.1037879847,-15.622205098,
candidate_summary,random_within_slate,20,316,316,1,-23.1037879847,-25.622205098,
candidate_summary,strongest_opening_reversal,0,316,316,1,-29.4420797332,-32.7635713255,
candidate_summary,strongest_opening_reversal,10,316,316,1,-39.4420797332,-42.7635713255,
candidate_summary,strongest_opening_reversal,20,316,316,1,-49.4420797332,-52.7635713255,
candidate_minus_M1_paired,M0,0,316,316,,,,-37.3418207418
candidate_minus_M1_paired,M2,0,316,315,,,,17.1350609726
candidate_minus_M1_paired,M3,0,316,315,,,,6.05813081976
