scope,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
2025-01,large_remaining_move,M0,0.1924142076,0.573093915264,0.493503118503,-5.35457356652,-4.10369957974,0.00075237700172,0.26,800,20,20
2025-02,large_remaining_move,M0,0.176189339002,0.53771411957,0.49624268312,-3.72083163473,-2.37313595346,0.0329318335246,0.226315789474,760,19,20
2025-03,large_remaining_move,M0,0.165497288984,0.51441154695,0.479795190124,-14.7757132272,-12.775261326,0.055190343762,0.204057279236,838,21,20
2025-04,large_remaining_move,M0,0.166587711794,0.516775635456,0.5,-1.34683546494,5.67702415725e-08,0.0528594166101,0.206388206388,814,21,20
2025-05,large_remaining_move,M0,0.162761426629,0.508422302611,0.515793024086,9.08257903944,9.98152517431,0.0607551606867,0.198492462312,796,20,20
2025-06,large_remaining_move,M0,0.162380972028,0.50763397464,0.452679522063,-32.9900974534,-30.0765415769,0.0617476229983,0.1975,800,20,20
2025-07,large_remaining_move,M0,0.164134208395,0.511446752283,0.468518240902,-22.3164371615,-19.938046209,0.0580571468078,0.20119047619,840,21,20
2025-08,large_remaining_move,M0,0.15145893831,0.483781813755,0.510822510823,5.6276609439,6.83771784662,0.0842476229983,0.175,640,16,20
2025-01,large_remaining_move,M1,0.172926201744,0.531633982479,0.703782809252,-0.336399763362,0.939314869287,0.0599166787854,0.26,800,20,20
2025-02,large_remaining_move,M1,0.178246747749,0.539490718488,0.603454753995,-0.695299943243,0.578354660821,0.0595460194848,0.226315789474,760,19,20
2025-03,large_remaining_move,M1,0.158641687917,0.49967545084,0.634182908546,-0.556604873844,0.788169584593,0.0669705884602,0.204057279236,838,21,20
2025-04,large_remaining_move,M1,0.167005025062,0.513968856223,0.631422305764,-0.738961221042,0.625782082688,0.0669839617487,0.206388206388,814,21,20
2025-05,large_remaining_move,M1,0.140606776279,0.450781188212,0.735943018134,-0.0486102297509,1.36341123659,0.06942285727,0.198492462312,796,20,20
2025-06,large_remaining_move,M1,0.147077672686,0.466885239535,0.715692653496,-0.250194667756,1.13519234903,0.0629793523844,0.1975,800,20,20
2025-07,large_remaining_move,M1,0.158327048315,0.499319143707,0.625587527227,-0.676913251575,0.600453503382,0.044036085127,0.20119047619,840,21,20
2025-08,large_remaining_move,M1,0.136984565434,0.444670979212,0.665888798701,-0.0949679275575,1.24151303128,0.0593849309735,0.175,640,16,20
2025-01,large_remaining_move,M2,0.173907752516,0.530758687612,0.699551715177,-0.287170891845,1.02320995568,0.0661439976533,0.26,800,20,20
2025-02,large_remaining_move,M2,0.178649284753,0.541585060798,0.602970257871,-0.723665531792,0.55017938587,0.0654195146976,0.226315789474,760,19,20
