scope,target,model,bin,probability_lower,probability_upper,row_count,mean_predicted_probability,observed_rate
pooled,large_remaining_move,M0,1,0,0.1,0,,
pooled,large_remaining_move,M0,2,0.1,0.2,0,,
pooled,large_remaining_move,M0,3,0.2,0.3,6288,0.259247622998,0.209287531807
pooled,large_remaining_move,M0,4,0.3,0.4,0,,
pooled,large_remaining_move,M0,5,0.4,0.5,0,,
pooled,large_remaining_move,M0,6,0.5,0.6,0,,
pooled,large_remaining_move,M0,7,0.6,0.7,0,,
pooled,large_remaining_move,M0,8,0.7,0.8,0,,
pooled,large_remaining_move,M0,9,0.8,0.9,0,,
pooled,large_remaining_move,M0,10,0.9,1,0,,
pooled,large_remaining_move,M1,1,0,0.1,0,,
pooled,large_remaining_move,M1,2,0.1,0.2,2071,0.171831942258,0.113471752776
pooled,large_remaining_move,M1,3,0.2,0.3,2629,0.241776724636,0.203119056676
pooled,large_remaining_move,M1,4,0.3,0.4,923,0.339594177321,0.261105092091
pooled,large_remaining_move,M1,5,0.4,0.5,312,0.442045499755,0.38141025641
pooled,large_remaining_move,M1,6,0.5,0.6,169,0.545336878287,0.455621301775
pooled,large_remaining_move,M1,7,0.6,0.7,80,0.644944828854,0.6
pooled,large_remaining_move,M1,8,0.7,0.8,47,0.748123342544,0.531914893617
pooled,large_remaining_move,M1,9,0.8,0.9,33,0.84518394699,0.787878787879
pooled,large_remaining_move,M1,10,0.9,1,24,0.947370271664,0.458333333333
pooled,large_remaining_move,M2,1,0,0.1,333,0.0803870509245,0.102102102102
pooled,large_remaining_move,M2,2,0.1,0.2,1467,0.159480738919,0.121336059986
pooled,large_remaining_move,M2,3,0.2,0.3,2698,0.247927724913,0.188658265382
pooled,large_remaining_move,M2,4,0.3,0.4,1073,0.339023834763,0.253494874185
pooled,large_remaining_move,M2,5,0.4,0.5,373,0.444656826503,0.375335120643
pooled,large_remaining_move,M2,6,0.5,0.6,180,0.545893752501,0.461111111111
pooled,large_remaining_move,M2,7,0.6,0.7,80,0.648583716064,0.625
pooled,large_remaining_move,M2,8,0.7,0.8,43,0.747932895867,0.627906976744
pooled,large_remaining_move,M2,9,0.8,0.9,27,0.847821776964,0.62962962963
pooled,large_remaining_move,M2,10,0.9,1,14,0.948789752875,0.428571428571
