family,detector,period,rows,draws,block_sessions,observed_mean,ci_lower,ci_upper,p_one_sided,sessions,holm_adjusted_p,passes_holm_0_05
dynamic_net,H1_downside_expansion_exhaustion_long,2025,655,5000,5,-20.38132653407716,-23.696716783897287,-16.86870009680629,1.0,199,1.0,False
dynamic_net,H1_downside_expansion_exhaustion_long,2026,261,5000,5,-14.730745221718953,-19.75356558750412,-9.967435837093708,1.0,95,1.0,False
dynamic_net,H2_failed_breakdown_reclaim_long,2025,2949,5000,5,-14.515693294561883,-17.98285527401233,-11.211718358501024,1.0,247,1.0,False
dynamic_net,H2_failed_breakdown_reclaim_long,2026,1381,5000,5,-9.067235764638356,-13.221092235873098,-4.748804042085383,1.0,122,1.0,False
dynamic_net,H3_two_bar_reversal_confirmation_long,2025,1283,5000,5,-15.070147680849182,-21.609146509306466,-8.210434933453621,1.0,245,1.0,False
dynamic_net,H3_two_bar_reversal_confirmation_long,2026,573,5000,5,-15.4707142623039,-25.786172503179092,-5.916299084263298,0.9996000799840032,120,1.0,False
dynamic_net,H4_opening_range_failed_breakdown_long,2025,473,5000,5,-22.79032080707835,-28.745965319679957,-16.699853502516678,1.0,202,1.0,False
dynamic_net,H4_opening_range_failed_breakdown_long,2026,239,5000,5,-11.892509556732373,-22.37289012754382,-1.8760476286434988,0.99000199960008,85,1.0,False
dynamic_net,H5_activity_activated_downside_expansion_long,2025,519,5000,5,-21.890147468596975,-25.28752956010892,-18.19076967838881,1.0,186,1.0,False
dynamic_net,H5_activity_activated_downside_expansion_long,2026,211,5000,5,-13.722415125869675,-20.42242175565202,-7.958427381887444,1.0,80,1.0,False
precision,H1_downside_expansion_exhaustion_long,2025,655,5000,5,0.3236641221374046,0.2727240626605033,0.3767486583184257,0.0001999600079984003,199,,False
precision,H1_downside_expansion_exhaustion_long,2026,261,5000,5,0.4061302681992337,0.3210648686352011,0.4808526879974013,0.0001999600079984003,95,,False
precision,H2_failed_breakdown_reclaim_long,2025,2949,5000,5,0.458460495083079,0.4307098828276845,0.48464573718361675,0.0001999600079984003,247,,False
precision,H2_failed_breakdown_reclaim_long,2026,1381,5000,5,0.5047067342505431,0.46695081110997355,0.5449323361563138,0.0001999600079984003,122,,False
precision,H3_two_bar_reversal_confirmation_long,2025,1283,5000,5,0.45908028059236167,0.42657342657342656,0.4909665020760857,0.0001999600079984003,245,,False
precision,H3_two_bar_reversal_confirmation_long,2026,573,5000,5,0.450261780104712,0.3996414960430885,0.500840478323309,0.0001999600079984003,120,,False
precision,H4_opening_range_failed_breakdown_long,2025,473,5000,5,0.3974630021141649,0.3539428673163577,0.44243792325056436,0.0001999600079984003,202,,False
precision,H4_opening_range_failed_breakdown_long,2026,239,5000,5,0.4769874476987448,0.40089993010251634,0.5518867924528302,0.0001999600079984003,85,,False
precision,H5_activity_activated_downside_expansion_long,2025,519,5000,5,0.3063583815028902,0.25276525597161753,0.36363636363636365,0.0001999600079984003,186,,False
precision,H5_activity_activated_downside_expansion_long,2026,211,5000,5,0.4218009478672986,0.3117408906882591,0.5195544418884872,0.0001999600079984003,80,,False
precision_lift,H1_downside_expansion_exhaustion_long,2025,655,5000,5,-0.08244274809160305,-0.13779477318920916,-0.026280993162138663,0.9994001199760048,199,1.0,False
precision_lift,H1_downside_expansion_exhaustion_long,2026,261,5000,5,0.019157088122605363,-0.08076923076923077,0.11232211454513702,0.3583283343331334,95,1.0,False
precision_lift,H2_failed_breakdown_reclaim_long,2025,2949,5000,5,-0.015259409969481181,-0.041737165841955956,0.01220411548229927,0.8650269946010798,247,1.0,False
precision_lift,H2_failed_breakdown_reclaim_long,2026,1381,5000,5,0.03982621288921072,-0.003662688341112525,0.08759444231015491,0.039192161567686463,122,0.3919216156768646,False
precision_lift,H3_two_bar_reversal_confirmation_long,2025,1283,5000,5,-0.01558846453624318,-0.0632169315446009,0.03137856172754827,0.7474505098980204,245,1.0,False
precision_lift,H3_two_bar_reversal_confirmation_long,2026,573,5000,5,-0.05410122164048865,-0.10420917884838823,-0.001908215540011032,0.9828034393121375,120,1.0,False
precision_lift,H4_opening_range_failed_breakdown_long,2025,473,5000,5,-0.08879492600422834,-0.15789747237115656,-0.01990931152781571,0.99500099980004,202,1.0,False
precision_lift,H4_opening_range_failed_breakdown_long,2026,239,5000,5,-0.03347280334728033,-0.1210762331838565,0.05479720655385437,0.7816436712657469,85,1.0,False
precision_lift,H5_activity_activated_downside_expansion_long,2025,519,5000,5,-0.07129094412331406,-0.12979954456525225,-0.013772877207916675,0.993001399720056,186,1.0,False
precision_lift,H5_activity_activated_downside_expansion_long,2026,211,5000,5,0.023696682464454975,-0.10481498506090553,0.13821231875913229,0.35652869426114775,80,1.0,False
