detector,period,emitted_rows,scored_paired_rows,missing_event_paths,sessions,stocks,coverage_per_10000_anchors,target_first_precision,control_precision,precision_lift,rapid_target_3_rate,clean_success_rate,dynamic_mean_net_bps,control_dynamic_mean_net_bps,paired_dynamic_difference_bps,fixed_h24_mean_net_bps,mean_risk_bps,median_risk_bps,mean_mfe_r,mean_mae_r
H1_downside_expansion_exhaustion_long,2025,663,655,4,199,20,32.5640106287359,0.3236641221374046,0.40610687022900765,-0.08244274809160307,0.3236641221374046,0.22442748091603054,-20.38132653407716,-15.201862207123003,-5.179464326954158,3.1527182714044657,29.63696065677626,26.2000022882099,8.022875512662559,7.534215849092787
H1_downside_expansion_exhaustion_long,2026,262,261,1,95,19,27.843904097942527,0.4061302681992337,0.38697318007662834,0.01915708812260536,0.4061302681992337,0.21455938697318008,-14.730745221718953,-15.73872230440386,1.0079770826849057,-12.487100251238935,27.358972344010915,24.986687011237407,7.563779568671857,7.8189142854214415
H2_failed_breakdown_reclaim_long,2025,2996,2949,23,247,20,147.15199976424245,0.458460495083079,0.4737199050525602,-0.015259409969481164,0.3987792472024415,0.31705662936588674,-14.515693294561883,-11.664814113018718,-2.8508791815431667,-1.318990978589481,53.2094342085622,43.9076368198218,3.7374386870210046,3.547728188497979
H2_failed_breakdown_reclaim_long,2026,1391,1381,5,122,19,147.827750382588,0.5047067342505431,0.46488052136133234,0.03982621288921079,0.4489500362056481,0.35336712527154235,-9.067235764638356,-13.3586312172637,4.291395452625343,-5.212713075238912,50.141415544634434,43.39622641509375,3.916998015322892,3.506328853959119
H3_two_bar_reversal_confirmation_long,2025,1307,1283,10,245,20,64.1948143163768,0.45908028059236167,0.47466874512860485,-0.015588464536243185,0.2727981293842556,0.2821512081060016,-15.070147680849182,-9.974441903964404,-5.095705776884776,5.703908527985505,84.578140384064,73.1812374671742,2.138509902993095,2.127512134524919
H3_two_bar_reversal_confirmation_long,2026,579,573,3,120,19,61.53290256759055,0.450261780104712,0.5043630017452007,-0.05410122164048864,0.23734729493891799,0.26352530541012215,-15.4707142623039,-7.874412854747353,-7.596301407556547,-7.113019109115272,80.98302307943491,74.92910662824268,2.1696108838845314,2.2247391226037756
H4_opening_range_failed_breakdown_long,2025,482,473,2,202,20,23.673986610936204,0.3974630021141649,0.48625792811839325,-0.08879492600422834,0.3361522198731501,0.24947145877378435,-22.79032080707835,-11.321398247936079,-11.468922559142271,4.3725373343507945,55.578626609526594,45.88498292352408,3.6066939882770437,3.4870986127214083
H4_opening_range_failed_breakdown_long,2026,240,239,1,85,19,25.50586634926033,0.4769874476987448,0.5104602510460251,-0.03347280334728031,0.40585774058577406,0.3389121338912134,-11.892509556732373,-5.98789653454313,-5.904613022189243,-41.78158787542631,58.4273433101444,51.873200840469416,2.726313202209079,3.8782290319762405
H5_activity_activated_downside_expansion_long,2025,524,519,3,186,20,25.736865112304088,0.3063583815028902,0.37764932562620424,-0.07129094412331405,0.3063583815028902,0.2138728323699422,-21.890147468596975,-16.703418406716136,-5.18672906188084,7.829274691296985,30.00719573042035,26.246719786368747,8.030151809414754,7.491215287000764
H5_activity_activated_downside_expansion_long,2026,212,211,1,80,19,22.530181941846624,0.4218009478672986,0.3981042654028436,0.023696682464455,0.4218009478672986,0.20853080568720378,-13.722415125869675,-14.185525414165394,0.46311028829571504,5.138172878170598,27.679452731722645,25.055876348180156,7.949955319018819,7.264422338157885
