period,symbol_norm,raw_rows,accepted_regular_rows,sessions,invalid_ohlc_rows,outside_regular_rows,off_grid_regular_rows,within_session_gaps,first_timestamp,last_timestamp
2025,AAL,19629,19368,250,27,234,0,18,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,AAOI,19630,19393,250,2,235,0,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,APLD,19631,19365,250,30,236,0,22,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,ASTS,19628,19393,250,2,233,0,2,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,CIFR,19629,19394,250,1,233,1,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,HIMS,19629,19388,250,7,234,0,4,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,IONQ,19629,19381,250,14,233,1,6,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,IREN,19630,19390,250,5,234,1,4,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MARA,19630,19370,250,25,235,0,16,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MP,19630,19388,250,7,235,0,4,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MRNA,19631,19394,250,1,236,0,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,MSTR,19629,19394,250,1,234,0,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,NVTS,19629,19391,250,4,233,1,4,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,QBTS,19629,19373,250,22,234,0,5,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,RGTI,19628,19390,250,5,233,0,5,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,RIOT,19630,19382,250,13,234,1,8,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,RIVN,19629,19362,250,33,233,1,21,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,SMCI,19613,19394,250,1,218,0,1,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,SOFI,19628,19390,250,5,233,0,5,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2025,WULF,19629,19387,250,8,233,1,6,2025-01-02 14:30:00+00:00,2025-12-31 20:55:00+00:00
2026,AAOI,9638,9511,122,5,122,0,4,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,APLD,9638,9457,122,59,122,0,4,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,ASTS,9638,9459,122,57,122,0,2,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,CIFR,9638,9460,122,56,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,HIMS,9638,9463,122,53,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,IONQ,9638,9462,122,54,122,0,2,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,IREN,9638,9460,122,56,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MARA,9638,9513,122,3,122,0,2,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MP,9637,9465,122,51,121,0,0,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MRNA,9638,9460,122,56,122,0,2,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,MSTR,9638,9461,122,55,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,NVTS,9638,9515,122,1,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,QBTS,9638,9464,122,52,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RGTI,9638,9458,122,58,122,0,3,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RIOT,9638,9457,122,59,122,0,4,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,RIVN,9638,9458,122,58,122,0,3,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,SMCI,9638,9514,122,2,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,SOFI,9638,9515,122,1,122,0,1,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
2026,WULF,9638,9513,122,3,122,0,2,2026-01-02 14:30:00+00:00,2026-06-29 19:55:00+00:00
