comparison,draw,metric,improvement,sampled_session_count
A3_vs_A2,0,brier,0.0002158041366004567,157
A3_vs_A2,0,log_loss,0.000589650448721007,157
A3_vs_A2,1,brier,0.00027239309645761127,157
A3_vs_A2,1,log_loss,0.0006644323229077035,157
A3_vs_A2,2,brier,1.823632681714104e-05,157
A3_vs_A2,2,log_loss,0.00039139063439499983,157
A3_vs_A2,3,brier,3.357108877558875e-05,157
A3_vs_A2,3,log_loss,0.0003252166709291072,157
A3_vs_A2,4,brier,0.00022412195925379625,157
A3_vs_A2,4,log_loss,0.0006549604108786152,157
A3_vs_A2,5,brier,0.00017915384790440775,157
A3_vs_A2,5,log_loss,0.0006080341397067243,157
A3_vs_A2,6,brier,0.0002566644097550789,157
A3_vs_A2,6,log_loss,0.0006868728138738077,157
A3_vs_A2,7,brier,9.766617098497433e-05,157
A3_vs_A2,7,log_loss,0.00040371477529791593,157
A3_vs_A2,8,brier,0.0001106316145453793,157
A3_vs_A2,8,log_loss,0.00045200687326183813,157
A3_vs_A2,9,brier,0.00010403598831595315,157
A3_vs_A2,9,log_loss,0.0004109238720994541,157
A3_vs_A2,10,brier,0.0005561136397428205,157
A3_vs_A2,10,log_loss,0.0013517582186305791,157
A3_vs_A2,11,brier,3.159268034625128e-05,157
A3_vs_A2,11,log_loss,0.00017430004624297043,157
A3_vs_A2,12,brier,0.000352197107746811,157
A3_vs_A2,12,log_loss,0.0009113403551344138,157
A3_vs_A2,13,brier,0.00035347120515472996,157
A3_vs_A2,13,log_loss,0.000982658958696378,157
A3_vs_A2,14,brier,0.00022282482970640912,157
A3_vs_A2,14,log_loss,0.0008567758568258239,157
A3_vs_A2,15,brier,0.0003138901489299777,157
A3_vs_A2,15,log_loss,0.0007986129604325075,157
A3_vs_A2,16,brier,0.0004444085927211022,157
A3_vs_A2,16,log_loss,0.001046298590419818,157
A3_vs_A2,17,brier,3.106113279703498e-05,157
A3_vs_A2,17,log_loss,0.00023043984259125253,157
A3_vs_A2,18,brier,0.0002047812168648902,157
A3_vs_A2,18,log_loss,0.0007146651710217858,157
A3_vs_A2,19,brier,0.0005619634030648719,157
A3_vs_A2,19,log_loss,0.00131320770934464,157
A3_vs_A2,20,brier,0.0003903687896445114,157
A3_vs_A2,20,log_loss,0.0010295068358736458,157
A3_vs_A2,21,brier,0.0004537391826832183,157
A3_vs_A2,21,log_loss,0.001173159716624848,157
A3_vs_A2,22,brier,0.00017447931914790288,157
A3_vs_A2,22,log_loss,0.0005422372120381193,157
A3_vs_A2,23,brier,0.0001737554965885977,157
A3_vs_A2,23,log_loss,0.0004930144425609899,157
A3_vs_A2,24,brier,0.00023816410852474962,157
A3_vs_A2,24,log_loss,0.000901828361441278,157
A3_vs_A2,25,brier,0.0002839347435400867,157
A3_vs_A2,25,log_loss,0.0006629684070711407,157
A3_vs_A2,26,brier,0.0001819666946641001,157
A3_vs_A2,26,log_loss,0.0006289696365548142,157
A3_vs_A2,27,brier,0.00017597672629010537,157
A3_vs_A2,27,log_loss,0.0005363214865454832,157
A3_vs_A2,28,brier,0.000569976458097224,157
A3_vs_A2,28,log_loss,0.0013302169362415773,157
A3_vs_A2,29,brier,0.0005798314804421919,157
A3_vs_A2,29,log_loss,0.0016092710190799572,157
A3_vs_A2,30,brier,0.00029239644091396365,157
A3_vs_A2,30,log_loss,0.0008998568081078255,157
A3_vs_A2,31,brier,0.0003032955839779261,157
A3_vs_A2,31,log_loss,0.0006355603582227452,157
A3_vs_A2,32,brier,0.00035666905416541645,157
A3_vs_A2,32,log_loss,0.001010103449743025,157
A3_vs_A2,33,brier,0.0003492583917773918,157
A3_vs_A2,33,log_loss,0.0008597962384450582,157
A3_vs_A2,34,brier,0.00037070918573966523,157
A3_vs_A2,34,log_loss,0.000785781779583471,157
A3_vs_A2,35,brier,0.00036570172920407523,157
A3_vs_A2,35,log_loss,0.0007945770260317281,157
A3_vs_A2,36,brier,0.0001456908572516234,157
A3_vs_A2,36,log_loss,0.0005645794352997633,157
A3_vs_A2,37,brier,0.000396080155566391,157
A3_vs_A2,37,log_loss,0.0009920504018707857,157
A3_vs_A2,38,brier,0.00029840631845579605,157
A3_vs_A2,38,log_loss,0.0008717541495639135,157
A3_vs_A2,39,brier,0.0001687182146106415,157
A3_vs_A2,39,log_loss,0.0007159429191082577,157
A3_vs_A2,40,brier,0.0003370635600038619,157
A3_vs_A2,40,log_loss,0.0009906729433416927,157
A3_vs_A2,41,brier,0.00023114891098930187,157
A3_vs_A2,41,log_loss,0.0008600388519330803,157
A3_vs_A2,42,brier,0.0001775051812503701,157
A3_vs_A2,42,log_loss,0.0007449796918698653,157
A3_vs_A2,43,brier,0.0006198747477407293,157
A3_vs_A2,43,log_loss,0.0015538244111931434,157
A3_vs_A2,44,brier,0.0002612194702574463,157
A3_vs_A2,44,log_loss,0.0005870274545343218,157
A3_vs_A2,45,brier,0.000114389119149436,157
A3_vs_A2,45,log_loss,0.00045783812009647206,157
A3_vs_A2,46,brier,0.00010344593468944666,157
A3_vs_A2,46,log_loss,0.0004239453382572239,157
A3_vs_A2,47,brier,0.00011721280883475116,157
A3_vs_A2,47,log_loss,0.0003666041140708499,157
A3_vs_A2,48,brier,9.855405258290584e-05,157
A3_vs_A2,48,log_loss,0.0003651438367695501,157
A3_vs_A2,49,brier,-0.00017655161677124933,157
A3_vs_A2,49,log_loss,-7.191331406659321e-05,157
A3_vs_A2,50,brier,9.617435707309088e-05,157
A3_vs_A2,50,log_loss,0.0004525703332694172,157
A3_vs_A2,51,brier,5.102171619843117e-05,157
A3_vs_A2,51,log_loss,0.00024065821893815074,157
A3_vs_A2,52,brier,0.0005176800136944251,157
A3_vs_A2,52,log_loss,0.0013112239630943198,157
A3_vs_A2,53,brier,0.00012923170170131077,157
A3_vs_A2,53,log_loss,0.0006234567807594185,157
A3_vs_A2,54,brier,0.00024836831106474347,157
A3_vs_A2,54,log_loss,0.0006806945533566018,157
A3_vs_A2,55,brier,0.0006408281475479675,157
A3_vs_A2,55,log_loss,0.0015332117421324,157
A3_vs_A2,56,brier,0.0003109495939078411,157
A3_vs_A2,56,log_loss,0.0008178855589812963,157
A3_vs_A2,57,brier,0.00019345416481345804,157
A3_vs_A2,57,log_loss,0.0006924047603467067,157
A3_vs_A2,58,brier,0.00030607738950491625,157
A3_vs_A2,58,log_loss,0.0009038900497675776,157
A3_vs_A2,59,brier,0.00035281993809398003,157
