period,analysis_level,subgroup_type,subgroup,quantity,estimate_type,n,sessions,estimate,lower_95,upper_95,status
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,mean,878,126,0.4125732188511616,0.40598767485499626,0.41858575855867186,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,median,878,126,0.40734159408088977,0.3986786409044164,0.4174707168380464,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_10m,mean,5,5,0.008366142987711562,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_10m,median,5,5,0.00910016391269139,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_15m,mean,5,5,0.011792496834406904,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_15m,median,5,5,0.009351767889361288,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,5,5,0.6044083299588412,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,median,5,5,0.5811117574516663,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_10m,mean,366,126,0.009972083621657492,0.00883191372290008,0.011310731728806174,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_10m,median,366,126,0.007377520761478951,0.0062014648175250315,0.008382111807882201,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_15m,mean,366,126,0.011437382030486274,0.010130916234236287,0.012701888671306236,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_15m,median,366,126,0.008538236582790836,0.007110973935109353,0.010159383700496521,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,post_share_of_local_range_v1,mean,366,126,0.41944704186971565,0.4069577465181858,0.43342486542080244,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,post_share_of_local_range_v1,median,366,126,0.4175657660531348,0.40331540933585747,0.4347291884162118,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_10m,mean,12,9,0.005506458365983533,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_10m,median,12,9,0.004227906944486017,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_15m,mean,12,9,0.006906963531743585,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_15m,median,12,9,0.004363072830575274,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,12,9,0.5280097748497812,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,post_share_of_local_range_v1,median,12,9,0.5253699378478669,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_10m,mean,450,79,0.009977989936222263,0.0089753715578245,0.010969073944368883,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_10m,median,450,79,0.00800820397647974,0.007016254476620029,0.008960116958432188,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_15m,mean,450,79,0.012705531951014083,0.011094341787413194,0.014227908491062114,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_15m,median,450,79,0.009920697818144576,0.008208221245419353,0.011450411911330512,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,post_share_of_local_range_v1,mean,450,79,0.40872450192552146,0.39856057364347736,0.4171913898933731,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,post_share_of_local_range_v1,median,450,79,0.40022838501742686,0.3865064913631388,0.4117221999452591,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_10m,mean,3,3,0.003542398328657706,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_10m,median,3,3,0.003781608416755335,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_15m,mean,3,3,0.0028948555010934736,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_15m,median,3,3,0.0030341110124010103,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,3,3,0.45626725407529634,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,median,3,3,0.469010035032569,,,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_10m,mean,62,42,0.008385846401226343,0.005820318762735316,0.011303194885745944,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_10m,median,62,42,0.005651610230268545,0.0032374130159612676,0.007773088853380059,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_15m,mean,62,42,0.008530774708551146,0.006623010866450934,0.010619178529363784,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_15m,median,62,42,0.006727217224715973,0.0044836207099485294,0.008516604706989096,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,post_share_of_local_range_v1,mean,62,42,0.39992972516966624,0.369501527442933,0.42850979657004884,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,post_share_of_local_range_v1,median,62,42,0.4103964945452278,0.3602295339600814,0.43536116060545604,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_absolute_10m,mean,417,126,0.009726032553622699,0.008535571037611966,0.011009355668313266,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_absolute_10m,median,417,126,0.007084552985321855,0.00599725482861093,0.008278922899243459,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_absolute_15m,mean,417,126,0.010946178875591211,0.009728569209854347,0.012164674938509685,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_absolute_15m,median,417,126,0.00798512394092614,0.006988195384747503,0.009572298558443422,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,post_share_of_local_range_v1,mean,417,126,0.4199800827131632,0.40855706996566293,0.43184233433796115,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,post_share_of_local_range_v1,median,417,126,0.41828364752031094,0.40561029168277846,0.43269087011153706,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_absolute_10m,mean,371,126,0.009950440216887332,0.00877203800451436,0.01117264889968912,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_absolute_10m,median,371,126,0.0074716349686373505,0.006229904353948783,0.00842621112390983,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_absolute_15m,mean,371,126,0.011442167944285743,0.010222012448964495,0.01279712529949583,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_absolute_15m,median,371,126,0.008566737107539437,0.007110973935109353,0.010082694925548181,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,post_share_of_local_range_v1,mean,371,126,0.421939781601375,0.40840564553304487,0.4347756423116401,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,post_share_of_local_range_v1,median,371,126,0.42003100692290546,0.4045456409579303,0.4341475151716792,descriptive_support_available
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_absolute_10m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_absolute_10m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_absolute_15m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_absolute_15m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,post_share_of_local_range_v1,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,post_share_of_local_range_v1,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,RE_ENTRY,future_absolute_10m,mean,46,33,0.00791613596511881,0.004842570531174049,0.011056040449226668,descriptive_support_available
assessment,fresh_high_tail_episode,phase,RE_ENTRY,future_absolute_10m,median,46,33,0.005547499292584137,0.0033862459820562275,0.008829882556678426,descriptive_support_available
assessment,fresh_high_tail_episode,phase,RE_ENTRY,future_absolute_15m,mean,46,33,0.006945919212859243,0.004895827571018024,0.008872739951456885,descriptive_support_available
assessment,fresh_high_tail_episode,phase,RE_ENTRY,future_absolute_15m,median,46,33,0.005223632419262844,0.003431144640824429,0.0072947583146311295,descriptive_support_available
assessment,fresh_high_tail_episode,phase,RE_ENTRY,post_share_of_local_range_v1,mean,46,33,0.4041746851582374,0.3663560620925306,0.43297459707316555,descriptive_support_available
assessment,fresh_high_tail_episode,phase,RE_ENTRY,post_share_of_local_range_v1,median,46,33,0.41713056643566526,0.37714362983293453,0.46173627005605433,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,mean,8,8,0.006557238740566365,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,median,8,8,0.004172831496079089,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,mean,8,8,0.008455881334414366,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,median,8,8,0.006040720517473963,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,mean,8,8,0.548855426502512,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,median,8,8,0.5527587149623727,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,future_absolute_10m,mean,409,126,0.009788013850699597,0.008670001688186022,0.011036987379136151,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,future_absolute_10m,median,409,126,0.00718688998833574,0.006094999851367003,0.008347883113762602,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,future_absolute_15m,mean,409,126,0.01099488885194675,0.009760787022002879,0.012184325769538432,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,future_absolute_15m,median,409,126,0.008100856789935081,0.006961393024898927,0.009914196066152198,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,mean,409,126,0.4174592935925891,0.4058868762390632,0.4292482055273096,descriptive_support_available
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,median,409,126,0.4174707168380464,0.4040260345598136,0.4289471272153832,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_10m,mean,5,5,0.008366142987711562,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_10m,median,5,5,0.00910016391269139,,,blocked_insufficient_support
