period,analysis_level,exclusion_dimension,excluded,subgroup_type,subgroup,quantity,n,sessions,mean,median,status
assessment,high_tail_checkpoint,month,2025-03,phase,PERSISTENT,future_absolute_15m,431,69,0.012565291089493261,0.009919936704903385,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,phase,PERSISTENT,post_share_of_local_range_v1,431,69,0.41103851029894384,0.4045691077779062,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,phase,RE_ENTRY,future_absolute_10m,60,39,0.008160422575162824,0.00528775622172032,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,phase,RE_ENTRY,future_absolute_15m,60,39,0.007657325348889151,0.005587440569694661,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,phase,RE_ENTRY,post_share_of_local_range_v1,60,39,0.40565540348669277,0.4150012073188493,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,19,16,0.0055808866355463345,0.0041713225536299465,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,19,16,0.0074260441728368235,0.004390878826520883,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,19,16,0.5316314045068611,0.5291233580830964,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,HIGH,future_absolute_10m,800,111,0.009928445508174183,0.007595660311308318,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,HIGH,future_absolute_15m,800,111,0.011932379324394393,0.009051616657316661,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-03,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,800,111,0.4132688203154447,0.40815183087617246,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,FIRST_ENTRY,future_absolute_10m,321,111,0.00972196003370774,0.007230979768950102,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,FIRST_ENTRY,future_absolute_15m,321,111,0.011329871410237684,0.008173354098570796,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,FIRST_ENTRY,post_share_of_local_range_v1,321,111,0.4189014947188354,0.41656487642528095,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,PERSISTENT,future_absolute_10m,409,71,0.009754429708411014,0.00778835689264815,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,PERSISTENT,future_absolute_15m,409,71,0.012255592655231146,0.009689220679751354,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,PERSISTENT,post_share_of_local_range_v1,409,71,0.4125581643090435,0.4045691077779062,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,RE_ENTRY,future_absolute_10m,55,39,0.007036792710075202,0.004872900737776174,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,RE_ENTRY,future_absolute_15m,55,39,0.008173402958511046,0.006145642124133318,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,phase,RE_ENTRY,post_share_of_local_range_v1,55,39,0.39789425908355736,0.4090742219730679,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,17,14,0.005682386923457637,0.0041713225536299465,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,17,14,0.00763786796272686,0.004390878826520883,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,17,14,0.5323930939101882,0.5216165176126373,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,HIGH,future_absolute_10m,768,111,0.009636372321504749,0.007465130083986933,descriptive_support_available
