period,analysis_level,subgroup_type,subgroup,rows,sessions,up_count,down_count,up_rate,recent_momentum_valid,recent_momentum_continuation_rate,recent_momentum_reversal_rate,A1_CALL_count,A1_PUT_count,A1_ABSTAIN_count,A1_UNKNOWN_count,A1_acted_count,A1_accuracy,A1_mean_aligned_10m_return,A1_median_aligned_10m_return,A1_CALL_accuracy,A1_CALL_mean_aligned_10m_return,A1_CALL_median_aligned_10m_return,A1_PUT_accuracy,A1_PUT_mean_aligned_10m_return,A1_PUT_median_aligned_10m_return,status,interpretation
assessment,high_tail_checkpoint,overall,ALL,898,126,449,439,0.5056306306306306,887,0.4971815107102593,0.5028184892897407,119,208,571,0,324,0.4845679012345679,-0.0006370705556144483,-0.0007707978452522907,0.5470085470085471,0.0012980790883806116,0.001347187854381896,0.4492753623188406,-0.001730850789176873,-0.0017459224860489472,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,371,126,195,170,0.5342465753424658,365,0.5041095890410959,0.4958904109589041,63,56,252,0,118,0.5254237288135594,0.0016573361303546968,0.0005075334852533129,0.6129032258064516,0.003866931241518799,0.0032976274625628422,0.42857142857142855,-0.0007890013141484158,-0.00217373896971651,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,phase,PERSISTENT,462,79,225,234,0.49019607843137253,459,0.49019607843137253,0.5098039215686274,50,131,281,0,180,0.46111111111111114,-0.0023884999753979673,-0.0016030332072324576,0.48,-0.0017656542951506506,-0.0023205395466284005,0.45384615384615384,-0.0026280560062623207,-0.0015643984387011462,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,phase,RE_ENTRY,65,43,29,35,0.453125,63,0.5079365079365079,0.49206349206349204,6,21,38,0,26,0.46153846153846156,0.0010751335450268735,-0.0011782446182113289,0.4,8.164622477970585e-05,-0.0004767580770522911,0.47619047619047616,0.0013116781450857224,-0.0018797311593703667,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,20,17,8,12,0.4,20,0.8,0.2,3,6,11,0,9,0.4444444444444444,-0.001922286591088485,-0.0002379867826725242,0.6666666666666666,0.003616222242587643,0.004861458286245219,0.3333333333333333,-0.00469154100792655,-0.0014546164566810382,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,878,126,441,427,0.5080645161290323,867,0.49019607843137253,0.5098039215686274,116,202,560,0,315,0.4857142857142857,-0.0006003500974580474,-0.0007751163479208962,0.543859649122807,0.001237075321164637,0.0012090214279374617,0.4527363184079602,-0.001642471976676883,-0.0017459224860489472,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,5,5,3,2,,5,,,1,1,3,0,2,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,366,126,192,168,0.5333333333333333,360,0.49722222222222223,0.5027777777777778,62,55,249,0,116,0.5258620689655172,0.0017706222500686382,0.0005075334852533129,0.6065573770491803,0.0037811405419913794,0.0031018015905655578,0.43636363636363634,-0.0004592253100638562,-0.002131656071151239,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,12,9,4,8,,12,,,2,4,6,0,6,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,450,79,221,226,0.49440715883668906,447,0.48322147651006714,0.5167785234899329,48,127,275,0,174,0.45977011494252873,-0.002443259655222041,-0.001686712505943518,0.4791666666666667,-0.0018756503660959187,-0.0023205395466284005,0.4523809523809524,-0.002659491765365326,-0.0016030332072324576,descriptive_support_available,frozen_A1_descriptive_comparison_only
