period,analysis_level,subgroup_type,subgroup,metric,n,sessions,mean,median,q05,q10,q90,q95,status
assessment,high_tail_checkpoint,phase,PERSISTENT,future_15m_iv_residual,462,79,0.0036946652893698087,0.0010800790496941406,-0.008470209645901967,-0.0071907393429679395,0.01849063309631429,0.025919139841312073,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,future_15m_exceed_iv_rate,462,79,0.5627705627705628,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,post_share_of_local_range_v1,462,79,0.4118228207027749,0.4038960938409756,0.24947788638516924,0.2819633446934944,0.5448861732158996,0.5805720460859983,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,maximum_up_excursion_10m,462,79,0.010308691900344339,0.007292441334968463,0.0004481820049483057,0.0008915346382893041,0.024280309106907972,0.031248136314330887,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,maximum_down_excursion_10m,462,79,-0.009614226160474682,-0.007783485466899972,-0.023975048753618902,-0.020882230461749533,-0.0010607706083053533,-0.0003859232767667904,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,future_10m_absolute_underlying_return,65,43,0.008162302644030868,0.005512126740500805,0.0003475982044305882,0.0008879701283168161,0.020755083886892258,0.027987343942166606,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,future_10m_signed_underlying_return,65,43,-0.0006730020844840044,-0.0004767580770522911,-0.021296921437031945,-0.013366713766713528,0.010018324101851208,0.018671574570502364,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,future_15m_absolute_movement,65,43,0.008270655360514639,0.006145642124133318,0.0008752299563224149,0.00129775150159893,0.016192347340664038,0.020550785816013536,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,future_15m_iv_residual,65,43,-0.0005666792151521465,-0.0021357862870981354,-0.008281335145243995,-0.007215657055831741,0.00780387281119335,0.011683883025822179,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,future_15m_exceed_iv_rate,65,43,0.3384615384615385,0.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,post_share_of_local_range_v1,65,43,0.4025299188114645,0.4117187671173877,0.2452299688208848,0.2698877635496447,0.5408737405260265,0.595514086093175,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,maximum_up_excursion_10m,65,43,0.008987842565914035,0.006619961392127404,0.0005316527174496519,0.0018350962315653693,0.02031357894271068,0.02717133401632091,descriptive_support_available
assessment,high_tail_checkpoint,phase,RE_ENTRY,maximum_down_excursion_10m,65,43,-0.008560972639092602,-0.006472514505617367,-0.02546788368790078,-0.020791750289049737,-0.0009277609906352457,-0.00024188046218041198,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,future_10m_absolute_underlying_return,20,17,0.005926770515816667,0.004172831496079089,0.0002296542900907879,0.00037680912643903175,0.01253997637169879,0.013213385347930554,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,future_10m_signed_underlying_return,20,17,0.00018867982701607837,-0.0016762999181109612,-0.01251927030632588,-0.006956914373456186,0.009291744879493162,0.010213233408868242,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,future_15m_absolute_movement,20,17,0.007526530652811898,0.004391076866437823,0.0011170047639279912,0.001245772509743305,0.018387318910257026,0.019935937981348385,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,future_15m_iv_residual,20,17,-0.0011520349256709471,-0.0035593003565642144,-0.008381411975288381,-0.00692408468316928,0.007867505464390476,0.008255895141339628,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,future_15m_exceed_iv_rate,20,17,0.4,0.0,0.0,0.0,1.0,1.0,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,20,17,0.5363480355108735,0.5321633498169792,0.41700025630961224,0.44721871706109606,0.6298387539265833,0.6650108093045402,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,maximum_up_excursion_10m,20,17,0.006834576669737111,0.0049986837180197264,0.000973360740889334,0.0013738192120821685,0.01244343814604891,0.014239707008003331,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,maximum_down_excursion_10m,20,17,-0.006051299677083964,-0.004392628191135738,-0.0163081656098874,-0.012877724816889452,-0.0014526575618506443,-0.0010590384569198604,blocked_insufficient_support
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,future_10m_absolute_underlying_return,878,126,0.009863098580526988,0.0076545690764699935,0.0005592361922067326,0.0012244194111496187,0.021689702567116467,0.026890970806495964,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,future_10m_signed_underlying_return,878,126,0.0010191879320744766,9.189113931152331e-05,-0.019832299774980577,-0.014430271204981054,0.016819786952985943,0.02449827216518875,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,future_15m_absolute_movement,878,126,0.01188209479845613,0.009055413673542359,0.0006910075287443306,0.0013595354150696146,0.025981068432134193,0.03556513692522929,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,future_15m_iv_residual,878,126,0.0030136496572323733,0.0006788021871801269,-0.008515962711754277,-0.007481134193664426,0.0167504054634111,0.024180188660034883,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,future_15m_exceed_iv_rate,878,126,0.5296127562642369,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,878,126,0.4125732188511616,0.40734159408088977,0.24922865083590384,0.27627709592707317,0.5481022362331344,0.593618994249631,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,maximum_up_excursion_10m,878,126,0.010711620100831893,0.007757779736136426,0.00045224023278966436,0.0011913556927568012,0.023902728524522292,0.03129169887368116,descriptive_support_available
assessment,high_tail_checkpoint,movement_consumed_bucket,HIGH,maximum_down_excursion_10m,878,126,-0.00924267512261692,-0.0072439204109367005,-0.024444512840599907,-0.020641863261519632,-0.0008736690348257815,-0.00027873442586454295,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_10m_absolute_underlying_return,5,5,0.008366142987711562,0.00910016391269139,0.001148051575767571,0.001903869320233165,0.015052134164133636,0.016989407851466416,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_10m_signed_underlying_return,5,5,0.006540720433738792,0.00910016391269139,-0.0034155048091643525,-0.0026596870646987585,0.015052134164133636,0.016989407851466416,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_15m_absolute_movement,5,5,0.011792496834406904,0.009351767889361288,0.002362854867797249,0.003694781702954698,0.020557651918459815,0.020783729713773062,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_15m_iv_residual,5,5,0.0020006602446751764,0.0011436859780194833,-0.007499953488190823,-0.005936579837519617,0.009933178509884516,0.010630134259929116,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_15m_exceed_iv_rate,5,5,0.6,1.0,0.0,0.0,1.0,1.0,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,5,5,0.6044083299588412,0.5811117574516663,0.5422254909154663,0.5492476402800707,0.66830521385431,0.6695031791451354,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,maximum_up_excursion_10m,5,5,0.013983787809648113,0.012289526064386339,0.010715426482537815,0.010822114388180691,0.018761368404907566,0.020405608912872745,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,maximum_down_excursion_10m,5,5,-0.004748123234219257,-0.002033656116939694,-0.013593146264459142,-0.0108961225286005,-0.0012573863876540184,-0.0011604204301478222,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_10m_absolute_underlying_return,366,126,0.009972083621657492,0.007377520761478951,0.000509355960945388,0.001118325354497322,0.02273381017084012,0.027609080332026702,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_10m_signed_underlying_return,366,126,0.0018699879691630261,0.0008119922711172631,-0.01995544612331948,-0.013325418133267592,0.017705376219629962,0.025042533767980248,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_15m_absolute_movement,366,126,0.011437382030486274,0.008538236582790836,0.0006448621256004547,0.0012021634370867214,0.0249027567227965,0.03259208365084947,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_15m_iv_residual,366,126,0.0025760633459269576,0.00034420115130880027,-0.008581850027349779,-0.007707188326344284,0.01479337883638555,0.023188721220302935,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_15m_exceed_iv_rate,366,126,0.5136612021857924,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,post_share_of_local_range_v1,366,126,0.41944704186971565,0.4175657660531348,0.25429199399198077,0.2769078615293228,0.5605920009732563,0.5973953154627447,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,maximum_up_excursion_10m,366,126,0.011269807699818052,0.008082853956171445,0.0005370682023313586,0.0015965891793891518,0.02350503814971918,0.029595081169740765,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,maximum_down_excursion_10m,366,126,-0.008781744337016168,-0.0066992219527188465,-0.024757919479546676,-0.01941344268949169,-0.0006903858908260164,-1.1472374954414993e-05,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_10m_absolute_underlying_return,12,9,0.005506458365983533,0.004227906944486017,0.00016299434943689746,0.0005102247048972665,0.012224170904429073,0.012684918829309149,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_10m_signed_underlying_return,12,9,-0.0019704419086481978,-0.0030366607380468125,-0.01268491882930915,-0.011882825366786661,0.00621196634806679,0.00788869643373045,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_15m_absolute_movement,12,9,0.006906963531743585,0.004363072830575274,0.0014251494074930988,0.001824907290697415,0.012173712407103094,0.014994459046331116,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_15m_iv_residual,12,9,-0.0011557659022942749,-0.0035593003565642144,-0.005646620122024808,-0.005442543666650405,0.0035228952230426103,0.005623927208828948,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_15m_exceed_iv_rate,12,9,0.4166666666666667,0.0,0.0,0.0,1.0,1.0,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,post_share_of_local_range_v1,12,9,0.5280097748497812,0.5253699378478669,0.43583517206495115,0.45266023190451493,0.6077853673850488,0.6176690829819531,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,maximum_up_excursion_10m,12,9,0.004518697661138039,0.0034584461934619544,0.000563524639462246,0.0010633934711804364,0.009498940747943586,0.010082128418707162,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,maximum_down_excursion_10m,12,9,-0.006765772380023623,-0.005837141800544029,-0.014366747318793692,-0.01214803035135221,-0.0019071254057821125,-0.0013780914101115852,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_10m_absolute_underlying_return,450,79,0.009977989936222263,0.00800820397647974,0.0006303808574807928,0.0014975617044230432,0.021177143897296104,0.02522787658900505,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_10m_signed_underlying_return,450,79,0.0005530929786990874,-0.00021388661217957674,-0.019220435783523185,-0.014988367319345155,0.016377222805394987,0.024600521307918906,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_15m_absolute_movement,450,79,0.012705531951014083,0.009920697818144576,0.000792313786870842,0.0015269808412831658,0.027840963989490042,0.03633636081826405,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_15m_iv_residual,450,79,0.0038240101211475174,0.0012970043384484052,-0.008494395905219415,-0.007400831079893777,0.018555754155351774,0.02640363478037862,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_15m_exceed_iv_rate,450,79,0.5666666666666667,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,post_share_of_local_range_v1,450,79,0.40872450192552146,0.40022838501742686,0.24883388046489413,0.2813822146034304,0.5423346594598669,0.5777165707326614,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,maximum_up_excursion_10m,450,79,0.010463091746723175,0.007497694476691784,0.000450211118868985,0.0008890195095082931,0.024415843764050853,0.03134954514827096,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,maximum_down_excursion_10m,450,79,-0.009690184927953377,-0.00778505151252511,-0.024048711000143067,-0.020998889428895457,-0.0010563763090252508,-0.00037775048008174025,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_10m_absolute_underlying_return,3,3,0.003542398328657706,0.003781608416755335,0.0027822823592961302,0.0028933185879027085,0.004095794034173653,0.004135067236350942,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_10m_signed_underlying_return,3,3,-0.0017615675748646718,-0.003781608416755335,-0.004135067236350942,-0.004095794034173653,0.0013806752212005748,0.0020259606759450628,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_15m_absolute_movement,3,3,0.0028948555010934736,0.0030341110124010103,0.0014370300991627745,0.0016144835339670228,0.004119525263696909,0.004255202045108895,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_15m_iv_residual,3,3,-0.006391602969754508,-0.006766147236463496,-0.008187584256815561,-0.008029646810109776,-0.004603741422715645,-0.0043334406959971645,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_15m_exceed_iv_rate,3,3,0.0,0.0,0.0,0.0,0.0,0.0,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,3,3,0.45626725407529634,0.469010035032569,0.4060162910191633,0.41301559590954173,0.4944217998581419,0.49759827046133853,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,maximum_up_excursion_10m,3,3,0.004182740804281729,0.003988483018388876,0.0037938506708461253,0.003815476487239764,0.0046277082356808346,0.004707611387842329,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,maximum_down_excursion_10m,3,3,-0.005365369603433177,-0.0044503856274756915,-0.009579877312702541,-0.009009933792121779,-0.002086799005127567,-0.0017913506773340518,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_10m_absolute_underlying_return,62,42,0.008385846401226343,0.005651610230268545,0.0003233807283140189,0.0008642516862558684,0.021073219952651094,0.028879133450428297,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_10m_signed_underlying_return,62,42,-0.0006203295607559075,-0.00037647165401628554,-0.021670460692702474,-0.013647491162310316,0.010460129202803847,0.019757002459156497,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_15m_absolute_movement,62,42,0.008530774708551146,0.006727217224715973,0.0008587742715192322,0.0013623382908261464,0.016387171009133596,0.020722989515672013,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_15m_iv_residual,62,42,-0.00028482806573590315,-0.0018823561924743901,-0.007986362432708746,-0.007197543047324323,0.008146751606931527,0.011867816160844204,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_15m_exceed_iv_rate,62,42,0.3548387096774194,0.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,post_share_of_local_range_v1,62,42,0.39992972516966624,0.4103964945452278,0.24391379574489314,0.2698361633916407,0.5419155527674754,0.6013480934434645,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,maximum_up_excursion_10m,62,42,0.009220347489863988,0.006915007345894758,0.0004992548960301237,0.0017728610357875558,0.021650880193870386,0.02764130254468312,descriptive_support_available
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,maximum_down_excursion_10m,62,42,-0.008715598592430963,-0.006488301237396871,-0.02578232057542819,-0.021535269396846708,-0.0009231110334692763,-0.00017332313941260423,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_10m_absolute_underlying_return,417,126,0.009726032553622699,0.007084552985321855,0.00047470249302329035,0.0010865627558387797,0.022328238021166943,0.02768204534074942,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_10m_signed_underlying_return,417,126,0.0015780985991827386,0.0005717062500220685,-0.020003236409442245,-0.013304530396556177,0.01730811850750013,0.023814190091195394,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_15m_absolute_movement,417,126,0.010946178875591211,0.00798512394092614,0.0006515698133837659,0.001144730629420409,0.02374922545463597,0.030420702629756685,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_15m_iv_residual,417,126,0.0020792832951727156,-0.00015040634266025223,-0.008711668614437885,-0.007719434536108812,0.014203318671464824,0.02109468959781832,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,future_15m_exceed_iv_rate,417,126,0.49160671462829736,0.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,post_share_of_local_range_v1,417,126,0.4199800827131632,0.41828364752031094,0.2520114480317983,0.2739856582286591,0.5636712544793281,0.5997364110928177,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,maximum_up_excursion_10m,417,126,0.011003282554125861,0.008019289166619797,0.00047665670438140184,0.001604106460158275,0.02255784512708435,0.02956564318539089,descriptive_support_available
assessment,fresh_high_tail_episode,overall,ALL,maximum_down_excursion_10m,417,126,-0.008756803973886191,-0.006677988646807113,-0.02498035160476254,-0.01972176021377962,-0.0008016294057458495,-3.6711599854128495e-05,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_10m_absolute_underlying_return,371,126,0.009950440216887332,0.0074716349686373505,0.0004775263440802242,0.0011134382898359656,0.022625799272438674,0.027550351391163547,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_10m_signed_underlying_return,371,126,0.001932935846044101,0.0008575051996508409,-0.019910349302353244,-0.01322097944971052,0.017877575102607617,0.024686555386889998,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_15m_absolute_movement,371,126,0.011442167944285743,0.008566737107539437,0.0006479110745928689,0.001180810249944872,0.02469264856159525,0.03209838744225056,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_15m_iv_residual,371,126,0.0025683085871499797,0.0003546435295276665,-0.008647964169872725,-0.007710279558613121,0.014751494244642036,0.022994845575999068,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,future_15m_exceed_iv_rate,371,126,0.5148247978436657,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,post_share_of_local_range_v1,371,126,0.421939781601375,0.42003100692290546,0.2563268632430004,0.27958087187008845,0.5658954418874527,0.6000375163288836,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,maximum_up_excursion_10m,371,126,0.011306384251163471,0.008202161597534391,0.0005469882638312242,0.0016341755832347685,0.02323598834162149,0.02958170026776355,descriptive_support_available
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,maximum_down_excursion_10m,371,126,-0.008727382866628068,-0.006677988646807113,-0.024660190939677563,-0.01940879952188187,-0.0006950672403619693,-2.2944749908829986e-05,descriptive_support_available
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_10m_absolute_underlying_return,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_10m_signed_underlying_return,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_15m_absolute_movement,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_15m_iv_residual,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,future_15m_exceed_iv_rate,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,post_share_of_local_range_v1,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,maximum_up_excursion_10m,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,PERSISTENT,maximum_down_excursion_10m,0,0,,,,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase,RE_ENTRY,future_10m_absolute_underlying_return,46,33,0.00791613596511881,0.005547499292584137,0.0005716549425147731,0.000999352033496755,0.019708176620196236,0.027690080772746057,descriptive_support_available
