period,analysis_level,subgroup_type,subgroup,metric,n,sessions,mean,median,q05,q10,q90,q95,status
assessment,high_tail_checkpoint,overall,ALL,future_10m_absolute_underlying_return,898,126,0.009775429804030098,0.007537388561022453,0.0004792853672556398,0.0012084654740123206,0.021643807607940387,0.02667532391363263,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_10m_signed_underlying_return,898,126,0.001000691092318165,1.7107947180697936e-05,-0.019762508254452124,-0.014165461724299815,0.016698236663979578,0.0240473981415028,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_15m_absolute_movement,898,126,0.011785088915479646,0.009030671546454577,0.0006988099073970477,0.001352665986536264,0.025659895211772952,0.03445417347576059,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_15m_iv_residual,898,126,0.0029208727177467758,0.0005953113035769603,-0.008515962711754277,-0.007481134193664426,0.016589960183088195,0.024022182392139445,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_15m_exceed_iv_rate,898,126,0.5267260579064588,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,post_share_of_local_range_v1,898,126,0.4153298962823356,0.41073226582638045,0.2508066584915741,0.27766792354011766,0.5543174189906107,0.5978082242657817,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,maximum_up_excursion_10m,898,126,0.010625271694794148,0.007708915466933992,0.00045224023278966436,0.0011913556927568012,0.0236131149346132,0.03089821301226528,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,maximum_down_excursion_10m,898,126,-0.009171597718484784,-0.007187823911208828,-0.02438217276454973,-0.020584338005010878,-0.0008804965049356183,-0.0002861261964017311,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_10m_absolute_underlying_return,371,126,0.009950440216887332,0.0074716349686373505,0.0004775263440802242,0.0011134382898359656,0.022625799272438674,0.027550351391163547,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_10m_signed_underlying_return,371,126,0.001932935846044101,0.0008575051996508409,-0.019910349302353244,-0.01322097944971052,0.017877575102607617,0.024686555386889998,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_15m_absolute_movement,371,126,0.011442167944285743,0.008566737107539437,0.0006479110745928689,0.001180810249944872,0.02469264856159525,0.03209838744225056,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_15m_iv_residual,371,126,0.0025683085871499797,0.0003546435295276665,-0.008647964169872725,-0.007710279558613121,0.014751494244642036,0.022994845575999068,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_15m_exceed_iv_rate,371,126,0.5148247978436657,1.0,0.0,0.0,1.0,1.0,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,post_share_of_local_range_v1,371,126,0.421939781601375,0.42003100692290546,0.2563268632430004,0.27958087187008845,0.5658954418874527,0.6000375163288836,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,maximum_up_excursion_10m,371,126,0.011306384251163471,0.008202161597534391,0.0005469882638312242,0.0016341755832347685,0.02323598834162149,0.02958170026776355,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,maximum_down_excursion_10m,371,126,-0.008727382866628068,-0.006677988646807113,-0.024660190939677563,-0.01940879952188187,-0.0006950672403619693,-2.2944749908829986e-05,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,future_10m_absolute_underlying_return,462,79,0.009861846259073204,0.007921087825776522,0.0005957163790882081,0.0014744517373076632,0.020767462429837378,0.025137855295802612,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,future_10m_signed_underlying_return,462,79,0.0004875466179887683,-0.00023741695504025077,-0.01918151020890658,-0.014788424965839195,0.01630325161844276,0.024433661383793822,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,future_15m_absolute_movement,462,79,0.012554919784279783,0.009775833530096596,0.0008042638215116415,0.0015403799548654611,0.02766705962173864,0.0357852016973403,descriptive_support_available
