period,analysis_level,comparison,group_a,group_b,quantity,estimate_type,n_a,n_b,sessions_a,sessions_b,estimate_a_minus_b,lower_95,upper_95,status
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,mean,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,median,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,mean,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,median,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,mean,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,median,371,0,126,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,mean,371,46,126,33,0.0020343042517685216,-0.0009056235377673307,0.005168683209944063,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,median,371,46,126,33,0.0019241356760532138,-0.0013920657926079745,0.004415755274314394,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,mean,371,46,126,33,0.0044962487314265,0.0024887422405896397,0.006663035818485807,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,median,371,46,126,33,0.0033431046882765932,0.0009031115199167773,0.005691280385171467,descriptive_support_available
