period,analysis_level,phase,stock_market_alignment,n,sessions,mean_pre_entry_market_return_10m,median_pre_entry_market_return_10m,mean_pre_entry_stock_return_10m,median_pre_entry_stock_return_10m,fixed_pre_entry_horizon_minutes,sector_context_status,market_volatility_state_status,status
stress,high_tail_checkpoint,RE_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY,ALIGNED,270,64,0.0006328664529277142,0.0006327293016220442,0.006528503111691616,0.005851483554448374,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY,OPPOSED,185,57,-5.842068062428673e-06,-5.962060368412561e-05,0.0024818609860455597,0.0014059325448210064,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT,ALIGNED,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT,OPPOSED,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,PERSISTENT,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,RE_ENTRY,ALIGNED,58,31,-0.0009960990067491705,-0.0009078250579278798,-0.005064886906974655,-0.006723369148036066,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
stress,fresh_high_tail_episode,RE_ENTRY,OPPOSED,12,11,-0.00028786373978183737,-0.0002700917643842063,0.0028081349563761153,0.0020807600835966045,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,fresh_high_tail_episode,RE_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
