population,period,source_opportunities,entry_step_one,entry_step_greater_than_one,clean_anchor_plus_10_equals_exact_t1,clean_anchor_context_is_exact_latency_for_all,run_id,contract_hash,data_snapshot_hash,model_version
named,2023,854,679,175,679,False,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
named,2025,809,603,206,603,False,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
control,2023,339,297,42,297,False,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
control,2025,302,265,37,265,False,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
