dimension,entity,rows,economic_contribution_bps,absolute_contribution_bps,rank_within_dimension,absolute_contribution_share
period,2023,1415,9.1280677866,9.1280677866,2,0.0216338388246
period,2025,1372,-412.806654968,412.806654968,1,0.978366161175
month,2023-03,7,0,0,14,0
month,2023-04,143,-246.416339637,246.416339637,7,0.0820161718519
month,2023-05,175,-431.998533313,431.998533313,1,0.143784563963
month,2023-06,164,316.199559776,316.199559776,4,0.105242523577
month,2023-07,138,222.23815944,222.23815944,9,0.0739688086575
month,2023-08,177,-262.817997786,262.817997786,5,0.0874752303518
month,2023-09,140,0,0,15,0
month,2023-10,160,0,0,16,0
month,2023-11,160,163.910788689,163.910788689,10,0.0545553733706
month,2023-12,151,248.012430617,248.012430617,6,0.0825474080205
month,2025-04,161,-318.756217439,318.756217439,3,0.106093470696
month,2025-05,156,0,0,17,0
month,2025-06,143,0,0,18,0
month,2025-07,146,0,0,19,0
month,2025-08,124,-162.084778336,162.084778336,11,0.0539476118108
month,2025-09,143,-57.9812612212,57.9812612212,12,0.0192982376555
month,2025-10,188,-224.026553383,224.026553383,8,0.0745640501306
month,2025-11,164,13.8518498356,13.8518498356,13,0.00461039108955
month,2025-12,147,336.190305575,336.190305575,2,0.111896158825
loop,cycle_01,51,195.733555775,195.733555775,7,0.0711068799827
loop,cycle_02,31,0,0,9,0
loop,cycle_04,155,-806.105411036,806.105411036,1,0.29284524306
loop,cycle_05,184,330.978255168,330.978255168,4,0.120239122893
loop,cycle_06,743,250.976926365,250.976926365,5,0.0911759157026
loop,cycle_07,622,-442.198786238,442.198786238,2,0.1606437685
loop,cycle_08,60,396.805425318,396.805425318,3,0.144153084242
loop,cycle_09,161,0,0,10,0
loop,cycle_10,23,0,0,11,0
loop,cycle_11,253,-245.231299427,245.231299427,6,0.0890886210457
loop,cycle_13,497,-84.6372531073,84.6372531073,8,0.030747364574
loop,cycle_20,7,0,0,12,0
orientation,state_0,184,330.978255168,330.978255168,2,0.22714827629
orientation,state_1,77,195.733555775,195.733555775,3,0.134330697296
orientation,state_2,34,0,0,6,0
orientation,state_3,62,0,0,7,0
orientation,state_4,557,-158.323059353,158.323059353,4,0.10865611099
orientation,state_5,753,-687.430085665,687.430085665,1,0.471778905685
orientation,state_6,795,0,0,8,0
orientation,state_7,325,-84.6372531073,84.6372531073,5,0.0580860097395
episode,episode_0001,3,0,0,18,0
episode,episode_0002,3,0,0,19,0
episode,episode_0003,7,0,0,20,0
episode,episode_0004,16,0,0,21,0
episode,episode_0005,5,0,0,22,0
episode,episode_0006,7,-58.7525412754,58.7525412754,12,0.0219601964303
episode,episode_0007,5,-223.613236318,223.613236318,6,0.0835809053932
episode,episode_0008,5,0,0,23,0
episode,episode_0009,2,0,0,24,0
episode,episode_0010,3,0,0,25,0
episode,episode_0011,7,0,0,26,0
episode,episode_0012,2,0,0,27,0
episode,episode_0013,6,0,0,28,0
episode,episode_0014,8,0,0,29,0
episode,episode_0015,4,0,0,30,0
episode,episode_0016,20,0,0,31,0
episode,episode_0017,3,0,0,32,0
episode,episode_0018,2,0,0,33,0
episode,episode_0019,3,0,0,34,0
episode,episode_0020,5,0,0,35,0
episode,episode_0021,14,-25.3113148598,25.3113148598,13,0.00946072176902
episode,episode_0022,3,0,0,36,0
episode,episode_0023,16,276.288241225,276.288241225,3,0.103269474256
episode,episode_0024,5,0,0,37,0
episode,episode_0025,2,0,0,38,0
episode,episode_0026,3,0,0,39,0
episode,episode_0027,2,0,0,40,0
episode,episode_0028,6,0,0,41,0
episode,episode_0029,5,0,0,42,0
episode,episode_0030,12,0,0,43,0
episode,episode_0031,2,0,0,44,0
episode,episode_0032,3,0,0,45,0
episode,episode_0033,5,0,0,46,0
episode,episode_0034,3,0,0,47,0
episode,episode_0035,2,0,0,48,0
episode,episode_0036,5,0,0,49,0
episode,episode_0037,7,0,0,50,0
episode,episode_0038,2,0,0,51,0
episode,episode_0039,2,0,0,52,0
episode,episode_0040,6,0,0,53,0
episode,episode_0041,2,0,0,54,0
episode,episode_0042,5,0,0,55,0
episode,episode_0043,5,0,0,56,0
episode,episode_0044,3,0,0,57,0
episode,episode_0045,5,0,0,58,0
episode,episode_0046,3,0,0,59,0
episode,episode_0047,5,0,0,60,0
episode,episode_0048,3,-135.328033741,135.328033741,11,0.05058215592
episode,episode_0049,2,0,0,61,0
episode,episode_0050,3,0,0,62,0
episode,episode_0051,6,0,0,63,0
episode,episode_0052,2,0,0,64,0
episode,episode_0053,5,0,0,65,0
episode,episode_0054,6,0,0,66,0
episode,episode_0055,12,0,0,67,0
episode,episode_0056,11,0,0,68,0
episode,episode_0057,5,0,0,69,0
episode,episode_0058,2,0,0,70,0
episode,episode_0059,10,0,0,71,0
episode,episode_0060,8,10.6970254431,10.6970254431,14,0.00399827436994
episode,episode_0061,1,0,0,72,0
episode,episode_0062,8,0,0,73,0
episode,episode_0063,5,0,0,74,0
episode,episode_0064,3,0,0,75,0
episode,episode_0065,7,0,0,76,0
episode,episode_0066,2,0,0,77,0
episode,episode_0067,9,0,0,78,0
episode,episode_0068,3,0,0,79,0
episode,episode_0069,4,0,0,80,0
episode,episode_0070,7,0,0,81,0
episode,episode_0071,2,0,0,82,0
episode,episode_0072,6,0,0,83,0
episode,episode_0073,6,0,0,84,0
episode,episode_0074,4,0,0,85,0
episode,episode_0075,2,0,0,86,0
episode,episode_0076,2,0,0,87,0
episode,episode_0077,5,0,0,88,0
episode,episode_0078,4,0,0,89,0
episode,episode_0079,10,0,0,90,0
episode,episode_0080,3,0,0,91,0
episode,episode_0081,4,0,0,92,0
episode,episode_0082,3,0,0,93,0
episode,episode_0083,8,-254.317297056,254.317297056,4,0.0950572975694
episode,episode_0084,3,0,0,94,0
episode,episode_0085,2,0,0,95,0
episode,episode_0086,10,0,0,96,0
episode,episode_0087,3,0,0,97,0
episode,episode_0088,5,0,0,98,0
episode,episode_0089,5,0,0,99,0
episode,episode_0090,2,0,0,100,0
episode,episode_0091,5,0,0,101,0
episode,episode_0092,6,0,0,102,0
episode,episode_0093,5,0,0,103,0
episode,episode_0094,11,0,0,104,0
episode,episode_0095,2,0,0,105,0
episode,episode_0096,3,0,0,106,0
episode,episode_0097,3,0,0,107,0
episode,episode_0098,4,0,0,108,0
episode,episode_0099,3,0,0,109,0
episode,episode_0100,9,-5.75787991115,5.75787991115,17,0.00215214816459
episode,episode_0101,2,0,0,110,0
episode,episode_0102,3,0,0,111,0
episode,episode_0103,10,-406.687218453,406.687218453,1,0.152009274987
episode,episode_0104,5,0,0,112,0
episode,episode_0105,3,0,0,113,0
episode,episode_0106,8,0,0,114,0
episode,episode_0107,7,0,0,115,0
episode,episode_0108,8,0,0,116,0
episode,episode_0109,9,0,0,117,0
episode,episode_0110,10,0,0,118,0
episode,episode_0111,3,0,0,119,0
episode,episode_0112,10,-159.435215947,159.435215947,8,0.059592803717
episode,episode_0113,7,0,0,120,0
episode,episode_0114,1,0,0,121,0
episode,episode_0115,5,0,0,122,0
episode,episode_0116,5,0,0,123,0
episode,episode_0117,20,0,0,124,0
episode,episode_0118,6,-384.379747241,384.379747241,2,0.143671313104
episode,episode_0119,3,0,0,125,0
episode,episode_0120,3,-139.359886202,139.359886202,10,0.0520891591932
episode,episode_0121,3,0,0,126,0
episode,episode_0122,9,0,0,127,0
episode,episode_0123,5,0,0,128,0
episode,episode_0124,5,0,0,129,0
episode,episode_0125,16,9.25340348263,9.25340348263,16,0.00345868542392
episode,episode_0126,4,0,0,130,0
episode,episode_0127,2,0,0,131,0
episode,episode_0128,6,0,0,132,0
episode,episode_0129,1,0,0,133,0
episode,episode_0130,3,0,0,134,0
episode,episode_0131,3,0,0,135,0
