model_name,target_lead_sessions,probability_bin,forecasts,mean_predicted_probability,observed_positive_rate,mean_target_payoff_bps
hierarchical_change_point,3,"(0.8, 0.9]",262,0.848701297551,0.488549618321,9.20532468865
hierarchical_change_point,3,"(0.9, 1.0]",170,0.942951655385,0.447058823529,-11.0203123142
hierarchical_change_point,5,"(-0.001, 0.1]",197,0.0503144225329,0.431472081218,-11.8605484396
hierarchical_change_point,5,"(0.1, 0.2]",266,0.150806973965,0.481203007519,-8.8565861406
hierarchical_change_point,5,"(0.2, 0.3]",256,0.252585287944,0.45703125,16.9288651697
hierarchical_change_point,5,"(0.3, 0.4]",296,0.34870259461,0.466216216216,6.34687731642
hierarchical_change_point,5,"(0.4, 0.5]",329,0.450013227402,0.483282674772,-8.91530340753
hierarchical_change_point,5,"(0.5, 0.6]",322,0.551189361891,0.481366459627,3.01586240558
hierarchical_change_point,5,"(0.6, 0.7]",322,0.652373979892,0.437888198758,-4.70452805184
hierarchical_change_point,5,"(0.7, 0.8]",313,0.74888970546,0.431309904153,-28.7509146195
hierarchical_change_point,5,"(0.8, 0.9]",260,0.847736457221,0.5,-4.99201154372
hierarchical_change_point,5,"(0.9, 1.0]",161,0.943096796913,0.484472049689,-10.2843985155
hierarchical_payoff_history_change_point,0,"(-0.001, 0.1]",19,0.0690667342763,0.473684210526,-6.94916144776
hierarchical_payoff_history_change_point,0,"(0.1, 0.2]",117,0.160347688777,0.521367521368,10.3953181293
hierarchical_payoff_history_change_point,0,"(0.2, 0.3]",202,0.254294022024,0.460396039604,-14.0103367922
hierarchical_payoff_history_change_point,0,"(0.3, 0.4]",373,0.360616099662,0.434316353887,-10.6751660745
hierarchical_payoff_history_change_point,0,"(0.4, 0.5]",790,0.451492312596,0.467088607595,-13.2198992773
hierarchical_payoff_history_change_point,0,"(0.5, 0.6]",699,0.545209561819,0.499284692418,12.9802481007
hierarchical_payoff_history_change_point,0,"(0.6, 0.7]",357,0.644148598047,0.47619047619,8.65548877866
hierarchical_payoff_history_change_point,0,"(0.7, 0.8]",158,0.745672124605,0.392405063291,-36.447743114
hierarchical_payoff_history_change_point,0,"(0.8, 0.9]",73,0.840854470535,0.465753424658,5.38367940034
hierarchical_payoff_history_change_point,0,"(0.9, 1.0]",13,0.9106903261,0.307692307692,-98.8617287724
hierarchical_payoff_history_change_point,1,"(-0.001, 0.1]",19,0.0700146199093,0.578947368421,-11.8433527134
hierarchical_payoff_history_change_point,1,"(0.1, 0.2]",118,0.159468554897,0.491525423729,9.29015268211
