dimension,value,immediate_filled,shifted_policy_filled,filled_count_change,immediate_net_bps,shifted_policy_net_bps,net_change_bps,policy_gap_sessions,accepted_policy_cells
stock,AAL,8,15,7,-250.015192131,851.360280154,1101.37547229,,
stock,AAOI,15,13,-2,931.623348362,1903.57770223,971.954353864,,
stock,APLD,14,24,10,-159.610792187,2554.74185724,2714.35264943,,
stock,ASTS,12,9,-3,-839.637077556,324.394185143,1164.0312627,,
stock,CIFR,16,16,0,157.493211038,1205.75568092,1048.26246989,,
stock,HIMS,14,18,4,411.222747868,330.745397351,-80.4773505175,,
stock,IONQ,16,13,-3,-3463.54331366,-1633.69452327,1829.84879039,,
stock,IREN,14,15,1,1793.24548407,238.652064595,-1554.59341948,,
stock,MARA,15,7,-8,-734.51113542,1237.47430874,1971.98544416,,
stock,MP,14,14,0,-2883.04787515,-2096.87362163,786.174253526,,
stock,MRNA,10,8,-2,305.838908677,665.510852893,359.671944216,,
stock,MSTR,11,5,-6,-357.875563317,201.744571619,559.620134936,,
stock,NVTS,19,15,-4,-1735.78315912,-1741.9711443,-6.18798518593,,
stock,QBTS,19,15,-4,-1649.89942152,3242.34077883,4892.24020035,,
stock,RGTI,13,12,-1,1595.2982787,79.5250994772,-1515.77317922,,
stock,RIOT,17,12,-5,-667.303086959,421.924097115,1089.22718407,,
stock,RIVN,11,11,0,976.640537808,279.345861958,-697.29467585,,
stock,SMCI,10,10,0,288.457346546,-829.114813536,-1117.57216008,,
stock,SOFI,14,11,-3,-1988.95823138,868.035865511,2856.99409689,,
stock,WULF,13,16,3,-1146.01805219,911.060798425,2057.07885062,,
loop,cycle_01,0,0,0,0,0,0,,
loop,cycle_02,1,1,0,-342.298882143,9.00252525252,351.301407395,,
loop,cycle_04,33,33,0,492.525176492,-118.859188983,-611.384365475,,
loop,cycle_05,0,0,0,0,0,0,,
loop,cycle_06,67,61,-6,-1801.24762826,7234.1366384,9035.38426665,,
loop,cycle_07,122,115,-7,-9671.91038419,-603.772560457,9068.13782373,,
loop,cycle_08,0,0,0,0,0,0,,
loop,cycle_09,1,0,-1,40.3647099687,0,-40.3647099687,,
loop,cycle_10,0,0,0,0,0,0,,
loop,cycle_11,3,5,2,-59.0063722122,-156.162774532,-97.1564023202,,
loop,cycle_13,48,44,-4,1925.19034282,2650.19065978,725.00031696,,
loop,cycle_20,0,0,0,0,0,0,,
orientation,state_0,0,0,0,0,0,0,,
orientation,state_1,1,1,0,-342.298882143,9.00252525252,351.301407395,,
orientation,state_2,0,0,0,0,0,0,,
orientation,state_3,0,0,0,0,0,0,,
orientation,state_4,93,90,-3,-1454.17309602,7326.47210938,8780.6452054,,
orientation,state_5,130,130,0,-10974.9264773,-749.354195028,10225.5722823,,
orientation,state_6,22,17,-5,-132.848223192,-1751.28918174,-1618.44095855,,
orientation,state_7,29,21,-8,3487.86364117,4179.70404159,691.840400429,,
period,2023,118,107,-11,-4836.63770866,11932.2448801,16768.8825887,,
period,2025,157,152,-5,-4579.74532886,-2917.70958063,1662.03574823,,
month,2023-03,0,0,0,0,0,0,,
month,2023-04,10,10,0,-1956.81016352,4842.4458221,6799.25598562,,
month,2023-05,37,37,0,2976.22910284,10218.7812051,7242.55210227,,
month,2023-06,17,15,-2,-2249.62974434,-1442.09178282,807.537961522,,
month,2023-07,15,13,-2,-1561.08143408,-767.123660176,793.957773906,,
month,2023-08,5,8,3,52.2837112826,827.003823255,774.720111972,,
month,2023-09,0,0,0,0,0,0,,
month,2023-10,15,10,-5,-2037.35048107,-961.403813376,1075.9466677,,
month,2023-11,5,4,-1,-504.383753695,-788.852572859,-284.468819164,,
month,2023-12,14,10,-4,444.105053932,3.48585885463,-440.619195078,,
month,2025-04,48,23,-25,2190.30451458,70.9774420326,-2119.32707255,,
month,2025-05,1,3,2,-868.281012398,-858.612028917,9.66898348109,,
month,2025-06,22,20,-2,-1518.59996877,-201.464492233,1317.13547654,,
month,2025-07,10,19,9,-1802.42356219,1903.0389014,3705.46246359,,
month,2025-08,7,10,3,-97.0019616769,-1093.16248868,-996.160527005,,
month,2025-09,5,12,7,-597.067504556,-678.284380461,-81.2168759046,,
month,2025-10,23,27,4,1169.05648869,-1340.41452673,-2509.47101541,,
month,2025-11,29,26,-3,-872.500337207,-733.034527264,139.465809943,,
month,2025-12,12,12,0,-2183.23198533,13.2465202191,2196.47850555,,
policy_gap,1,,,,,,,1,69
policy_gap,2,,,,,,,2,12
policy_gap,3,,,,,,,3,4
policy_gap,4,,,,,,,4,2
policy_gap,6,,,,,,,6,2
policy_gap,7,,,,,,,7,1
policy_gap,10,,,,,,,10,1
policy_gap,26,,,,,,,26,1
