dimension,dimension_value,model_name,target_lead_sessions,observable_targets,active_targets,active_net_payoff_bps,active_mean_net_payoff_bps,active_median_net_payoff_bps,active_positive_rate
all,all,hierarchical_change_point,0,2801,90,-4825.58756801,-53.6176396446,-47.8905183002,0.344444444444
all,all,hierarchical_change_point,1,2787,88,-1853.42801698,-21.0616820111,3.39408820232,0.522727272727
all,all,hierarchical_change_point,2,2769,81,-2048.06533579,-25.284757232,-18.8444833315,0.41975308642
all,all,hierarchical_change_point,3,2752,86,-795.39239344,-9.24874876093,-13.2457400579,0.46511627907
all,all,hierarchical_change_point,5,2722,80,-3672.11626034,-45.9014532543,-49.2879097971,0.4375
all,all,hierarchical_payoff_history_change_point,0,2801,120,-5767.74007407,-48.0645006172,-46.0376582321,0.366666666667
all,all,hierarchical_payoff_history_change_point,1,2787,122,-1449.7494298,-11.8831920475,3.81680657537,0.524590163934
all,all,hierarchical_payoff_history_change_point,2,2769,112,-1798.72427467,-16.0600381667,-5.21793407141,0.464285714286
all,all,hierarchical_payoff_history_change_point,3,2752,115,-111.957437074,-0.973542931078,-0.283546701741,0.486956521739
all,all,hierarchical_payoff_history_change_point,5,2722,118,-2449.49262653,-20.7584120892,-1.56642528956,0.483050847458
all,all,payoff_only_change_point,0,2801,103,-1685.91783313,-16.3681343022,-41.6957210777,0.417475728155
all,all,payoff_only_change_point,1,2787,101,-1652.01954893,-16.3566291973,-10.6970254431,0.435643564356
all,all,payoff_only_change_point,2,2769,97,-2363.60633436,-24.3670756119,-10.6970254431,0.432989690722
all,all,payoff_only_change_point,3,2752,93,-1262.0118706,-13.570020114,-0.283546701741,0.483870967742
all,all,payoff_only_change_point,5,2722,90,-678.287786114,-7.53653095682,-0.0170964554383,0.488888888889
all,all,v1_60_session_selector,0,2801,1307,-2244.23121983,-1.71708586062,-8.28285403059,0.479724560061
all,all,v1_60_session_selector,1,2787,1293,-5519.14300861,-4.26847873829,-10,0.473317865429
all,all,v1_60_session_selector,2,2769,1277,-5458.41948996,-4.27440837115,-10,0.473766640564
all,all,v1_60_session_selector,3,2752,1265,-4684.02296218,-3.70278495034,-9.22380975923,0.475889328063
all,all,v1_60_session_selector,5,2722,1252,-4316.59572493,-3.44776016368,-8.86652169447,0.476837060703
period,2023,hierarchical_change_point,0,1420,37,-1658.91168324,-44.8354508983,-26.1258116535,0.351351351351
period,2025,hierarchical_change_point,0,1381,53,-3166.67588478,-59.7486015996,-53.8348422601,0.339622641509
period,2023,hierarchical_change_point,1,1415,31,-260.591736094,-8.40618503529,1.68539457139,0.516129032258
period,2025,hierarchical_change_point,1,1372,57,-1592.83628089,-27.9444961559,3.49075600789,0.526315789474
period,2023,hierarchical_change_point,2,1408,34,-1972.96691533,-58.0284386862,-52.8162217063,0.352941176471
period,2025,hierarchical_change_point,2,1361,47,-75.0984204628,-1.59783873325,-2.03414227832,0.468085106383
period,2023,hierarchical_change_point,3,1400,33,-673.784984002,-20.4177267879,-46.2647391233,0.424242424242
period,2025,hierarchical_change_point,3,1352,53,-121.607409439,-2.29447942337,-0.0341929108766,0.490566037736
period,2023,hierarchical_change_point,5,1384,32,-2109.70032453,-65.9281351415,-114.9845872,0.375
period,2025,hierarchical_change_point,5,1338,48,-1562.41593582,-32.5503319962,-17.6588302931,0.479166666667
period,2023,hierarchical_payoff_history_change_point,0,1420,54,-2443.42987013,-45.2487012987,-34.8973633839,0.37037037037
period,2025,hierarchical_payoff_history_change_point,0,1381,66,-3324.31020394,-50.3683364233,-48.3179553417,0.363636363636
period,2023,hierarchical_payoff_history_change_point,1,1415,47,-269.719803881,-5.7387192315,1.68539457139,0.510638297872
period,2025,hierarchical_payoff_history_change_point,1,1372,75,-1180.02962592,-15.7337283456,4.83449174054,0.533333333333
period,2023,hierarchical_payoff_history_change_point,2,1408,50,-1457.13743698,-29.1427487395,-8.9795049069,0.44
period,2025,hierarchical_payoff_history_change_point,2,1361,62,-341.586837696,-5.50946512413,-1.0341675946,0.483870967742
period,2023,hierarchical_payoff_history_change_point,3,1400,48,229.262744548,4.77630717809,-5.32101849358,0.5
period,2025,hierarchical_payoff_history_change_point,3,1352,67,-341.220181622,-5.09283853168,-0.283546701741,0.477611940299
period,2023,hierarchical_payoff_history_change_point,5,1384,47,-2861.36626395,-60.8801332756,-97.1777162803,0.36170212766
period,2025,hierarchical_payoff_history_change_point,5,1338,71,411.873637423,5.8010371468,16.5495777898,0.56338028169
period,2023,payoff_only_change_point,0,1420,53,351.359339572,6.62942150137,0,0.490566037736
period,2025,payoff_only_change_point,0,1381,50,-2037.2771727,-40.745543454,-48.3179553417,0.34
period,2023,payoff_only_change_point,1,1415,49,827.566689385,16.8891161099,-3.09865766824,0.469387755102
period,2025,payoff_only_change_point,1,1372,52,-2479.58623831,-47.6843507367,-45.2505251726,0.403846153846
period,2023,payoff_only_change_point,2,1408,49,-14.6726869752,-0.29944259133,-5.41358439467,0.469387755102
period,2025,payoff_only_change_point,2,1361,48,-2348.93364738,-48.9361176538,-35.4022841688,0.395833333333
period,2023,payoff_only_change_point,3,1400,46,-150.582626818,-3.2735353656,15.7572294544,0.54347826087
period,2025,payoff_only_change_point,3,1352,47,-1111.42924378,-23.6474307188,-5.5722472021,0.425531914894
period,2023,payoff_only_change_point,5,1384,43,-826.457973871,-19.2199528807,-7.9590098138,0.46511627907
period,2025,payoff_only_change_point,5,1338,47,148.170187758,3.15255718633,10.4617821782,0.510638297872
period,2023,v1_60_session_selector,0,1420,721,-3196.7388004,-4.43375700471,-15.3303071421,0.449375866852
period,2025,v1_60_session_selector,0,1381,586,952.507580565,1.62543955728,6.1522189505,0.517064846416
period,2023,v1_60_session_selector,1,1415,712,-4330.42015934,-6.0820507856,-16.5385053821,0.446629213483
period,2025,v1_60_session_selector,1,1372,581,-1188.72284927,-2.04599457706,3.29742039676,0.506024096386
period,2023,v1_60_session_selector,2,1408,703,-1590.8654631,-2.26296651935,-15.1903866117,0.455192034139
period,2025,v1_60_session_selector,2,1361,574,-3867.55402686,-6.7378990015,-0.14177335087,0.496515679443
period,2023,v1_60_session_selector,3,1400,700,-1753.03315835,-2.50433308336,-15.1711853281,0.452857142857
period,2025,v1_60_session_selector,3,1352,565,-2930.98980383,-5.18759257316,3.29742039676,0.504424778761
period,2023,v1_60_session_selector,5,1384,695,-1588.83538834,-2.28609408395,-14.5489643988,0.456115107914
period,2025,v1_60_session_selector,5,1338,557,-2727.76033659,-4.89723579279,1.16875434981,0.502692998205
loop,cycle_01,hierarchical_change_point,0,52,0,0,,,
loop,cycle_02,hierarchical_change_point,0,31,1,-342.298882143,-342.298882143,-342.298882143,0
loop,cycle_04,hierarchical_change_point,0,157,19,767.843047152,40.4127919554,-43.6689151144,0.421052631579
loop,cycle_05,hierarchical_change_point,0,184,0,0,,,
loop,cycle_06,hierarchical_change_point,0,747,14,-418.834206875,-29.9167290625,-44.832910464,0.357142857143
loop,cycle_07,hierarchical_change_point,0,624,33,-2961.64062099,-89.7466854845,-68.278904537,0.272727272727
loop,cycle_08,hierarchical_change_point,0,61,0,0,,,
loop,cycle_09,hierarchical_change_point,0,163,1,40.3647099687,40.3647099687,40.3647099687,1
loop,cycle_10,hierarchical_change_point,0,24,0,0,,,
loop,cycle_11,hierarchical_change_point,0,254,2,-39.4585924048,-19.7292962024,-19.7292962024,0
loop,cycle_13,hierarchical_change_point,0,497,20,-1871.56302272,-93.5781511361,-46.0376582321,0.4
loop,cycle_20,hierarchical_change_point,0,7,0,0,,,
loop,cycle_01,hierarchical_change_point,1,51,0,0,,,
loop,cycle_02,hierarchical_change_point,1,31,1,9.00252525252,9.00252525252,9.00252525252,1
loop,cycle_04,hierarchical_change_point,1,155,16,2.64613171201,0.165383232001,-54.2565059159,0.375
loop,cycle_05,hierarchical_change_point,1,184,0,0,,,
loop,cycle_06,hierarchical_change_point,1,743,14,257.200494962,18.3714639259,27.8323243877,0.714285714286
loop,cycle_07,hierarchical_change_point,1,622,31,-1468.33638069,-47.3656896998,1.68539457139,0.516129032258
loop,cycle_08,hierarchical_change_point,1,60,0,0,,,
loop,cycle_09,hierarchical_change_point,1,161,2,-392.675081053,-196.337540526,-196.337540526,0
loop,cycle_10,hierarchical_change_point,1,23,0,0,,,
loop,cycle_11,hierarchical_change_point,1,253,2,337.603283178,168.801641589,168.801641589,0.5
loop,cycle_13,hierarchical_change_point,1,497,22,-598.868990338,-27.2213177426,11.0906506806,0.545454545455
loop,cycle_20,hierarchical_change_point,1,7,0,0,,,
loop,cycle_01,hierarchical_change_point,2,50,0,0,,,
loop,cycle_02,hierarchical_change_point,2,31,1,-155.978997973,-155.978997973,-155.978997973,0
loop,cycle_04,hierarchical_change_point,2,152,13,-1002.29210892,-77.0993929939,-92.0019831098,0.153846153846
loop,cycle_05,hierarchical_change_point,2,184,0,0,,,
loop,cycle_06,hierarchical_change_point,2,739,14,258.925452781,18.4946751987,13.9682867278,0.571428571429
loop,cycle_07,hierarchical_change_point,2,618,31,-564.681506953,-18.2155324823,-2.03414227832,0.483870967742
loop,cycle_08,hierarchical_change_point,2,60,0,0,,,
loop,cycle_09,hierarchical_change_point,2,159,2,-263.442403466,-131.721201733,-131.721201733,0
loop,cycle_10,hierarchical_change_point,2,23,0,0,,,
loop,cycle_11,hierarchical_change_point,2,252,2,282.427530417,141.213765208,141.213765208,0.5
loop,cycle_13,hierarchical_change_point,2,494,18,-603.023301679,-33.5012945377,-18.3507343841,0.444444444444
loop,cycle_20,hierarchical_change_point,2,7,0,0,,,
loop,cycle_01,hierarchical_change_point,3,50,0,0,,,
loop,cycle_02,hierarchical_change_point,3,30,1,-10,-10,-10,0
loop,cycle_04,hierarchical_change_point,3,151,16,1293.39444197,80.8371526229,70.6850251494,0.625
