comparison,opportunities,admitted_opportunities,rejected_opportunities,losing_opportunities_rejected,winning_opportunities_rejected,losses_avoided_bps,profits_mistakenly_rejected_bps,veto_value_bps,net_payoff_retained_bps,coverage,abstention,average_avoided_loss_bps,average_rejected_winner_bps,run_id,contract_hash,data_snapshot_hash,model_version
B_vs_A_anchor_veto,809,808,1,1,0,38.3687943262,0,38.3687943262,27974.5673172,0.998763906057,0.00123609394314,38.3687943262,0,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
C_vs_A_price_acceptance,809,513,296,141,155,26172.085035,41857.4732036,-15685.3881686,12250.8103543,0.634116192831,0.365883807169,185.617624361,270.048214217,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
D_vs_A_primary,809,513,296,141,155,26172.085035,41857.4732036,-15685.3881686,12250.8103543,0.634116192831,0.365883807169,185.617624361,270.048214217,clean-anchor-ee4b0f206c7412cba0fd4a4b,807e9d6b72e3ea59d9ca960f8d03f1e2b482ceb50086844bef298b1e8e06e42d,ecff4d50651fb210e93f2ddb1d2bd736f864ed83d6812e7a830abb51f58cfe05,clean_anchor_price_acceptance_v1.0.0
