scope,key,rows,exact_chain_rows,valid_pair_rows,coverage,status
pooled,development,52866,0,0,0.0,blocked_historical_options_date_unavailable
pooled,assessment,34577,0,0,0.0,blocked_historical_options_date_unavailable
