metric,value,status
raw_records,0,blocked_missing_eodhd_api_token
canonical_records,0,blocked_missing_eodhd_api_token
duplicate_records,0,blocked_missing_eodhd_api_token
rejected_records,0,blocked_missing_eodhd_api_token
