symbol,signal_date,required_options_date,previous_close_underlying_price,price_source,source_available,inferred_split_on_signal_date,split_boundary_ambiguous,provider_moneyness_check
AAL,2024-01-17,2024-01-16,13.189999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-18,2024-01-17,12.93,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-19,2024-01-18,13.819999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-22,2024-01-19,13.659999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-23,2024-01-22,13.619999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-24,2024-01-23,14.0,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-25,2024-01-24,13.93,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-26,2024-01-25,15.359999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-29,2024-01-26,15.13,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-30,2024-01-29,14.939999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-01-31,2024-01-30,14.529999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-01,2024-01-31,14.229999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-02,2024-02-01,14.34,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-05,2024-02-02,14.56,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-06,2024-02-05,14.26,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-07,2024-02-06,14.899999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-08,2024-02-07,14.909999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-09,2024-02-08,14.949999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-12,2024-02-09,14.88,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-13,2024-02-12,14.93,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-14,2024-02-13,14.609999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-15,2024-02-14,14.859999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-16,2024-02-15,14.899999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-20,2024-02-16,14.64,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-21,2024-02-20,14.699999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-22,2024-02-21,14.789999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-23,2024-02-22,15.239999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-26,2024-02-23,15.13,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-27,2024-02-26,15.279999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-28,2024-02-27,15.539999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-02-29,2024-02-28,15.46,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-01,2024-02-29,15.68,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-04,2024-03-01,15.659999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-05,2024-03-04,14.81,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-06,2024-03-05,14.67,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-07,2024-03-06,14.88,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-08,2024-03-07,14.899999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-11,2024-03-08,14.68,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-12,2024-03-11,14.649999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-13,2024-03-12,13.96,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-14,2024-03-13,14.0,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-15,2024-03-14,13.989999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-18,2024-03-15,13.96,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-19,2024-03-18,14.109999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-20,2024-03-19,13.93,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-21,2024-03-20,14.569999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-22,2024-03-21,14.779999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-25,2024-03-22,14.819999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-26,2024-03-25,14.92,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-27,2024-03-26,14.92,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-03-28,2024-03-27,15.3,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-01,2024-03-28,15.35,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-02,2024-04-01,15.409999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-03,2024-04-02,14.399999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-04,2024-04-03,14.159999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-05,2024-04-04,13.829999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-08,2024-04-05,13.76,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-09,2024-04-08,13.899999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-10,2024-04-09,13.949999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-11,2024-04-10,13.409999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-12,2024-04-11,13.619999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-15,2024-04-12,13.149999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-16,2024-04-15,12.939999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-17,2024-04-16,13.029999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-18,2024-04-17,13.89,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-19,2024-04-18,14.02,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-22,2024-04-19,14.109999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-23,2024-04-22,14.529999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-24,2024-04-23,14.229999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-25,2024-04-24,13.92,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-26,2024-04-25,14.13,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-29,2024-04-26,13.88,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-04-30,2024-04-29,13.979999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-01,2024-04-30,13.51,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-02,2024-05-01,13.579999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-03,2024-05-02,13.859999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-06,2024-05-03,13.85,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-07,2024-05-06,14.649999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-08,2024-05-07,14.25,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-09,2024-05-08,14.42,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-10,2024-05-09,14.479999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-13,2024-05-10,14.399999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-14,2024-05-13,14.93,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-15,2024-05-14,15.189999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-16,2024-05-15,14.939999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-17,2024-05-16,14.789999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-20,2024-05-17,14.729999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-21,2024-05-20,14.52,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-22,2024-05-21,14.029999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-23,2024-05-22,14.1,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-24,2024-05-23,13.819999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-28,2024-05-24,13.84,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-29,2024-05-28,13.439999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-30,2024-05-29,11.619999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-05-31,2024-05-30,11.439999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-03,2024-05-31,11.5,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-04,2024-06-03,11.529999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-05,2024-06-04,11.5,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-06,2024-06-05,11.619999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-07,2024-06-06,11.43,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-10,2024-06-07,11.5,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-11,2024-06-10,11.489999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-12,2024-06-11,11.279999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-13,2024-06-12,11.5,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-14,2024-06-13,11.439999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-17,2024-06-14,11.279999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-18,2024-06-17,11.439999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
AAL,2024-06-20,2024-06-18,11.279999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
