row_id,cohort,symbol,session,t0,current_p0,ibkr_valid_prior_sessions,ibkr_realized_return,ibkr_realized_price,existing_valid_prior_sessions,existing_realized_return,existing_realized_price,existing_ledger_price,existing_recalculation_abs_ledger_difference,ibkr_pre_move_m,existing_pre_move_m,ibkr_qualifies,existing_qualifies
AAPL|2026-02-24|6,RETROSPECTIVE_2026,AAPL,2026-02-24,2026-02-24T15:00:00+00:00,274.045013,20,0.003356235295811638,0.9197595452717592,20,0.003290260935898681,0.9016796009517462,0.901679600951746,1.1102230246251565e-16,0.43488836086847515,0.4380713707184424,False,False
CRWD|2025-01-28|6,BROAD2025,CRWD,2025-01-28,2025-01-28T15:00:00+00:00,387.049987,20,0.004261190972621398,1.6492939105576294,16,0.0051438664399979794,1.990933438730954,1.99093343873095,3.9968028886505635e-15,1.509736924648894,1.2506695944363568,True,True
CRWD|2025-01-28|8,BROAD2025,CRWD,2025-01-28,2025-01-28T15:10:00+00:00,392.48999,20,0.0053446492364231935,2.097721325357247,16,0.005390053965414088,2.1155422269848354,2.11554222698484,4.440892098500626e-15,1.0058533136575485,0.9950167477243984,True,True
CRWD|2025-01-28|10,BROAD2025,CRWD,2025-01-28,2025-01-28T15:20:00+00:00,396.510009,20,0.0032285012558128656,1.2801330619988707,16,0.004971679732643952,1.9713207755357711,1.97132077553577,1.1102230246251565e-15,0.41401947013418927,0.26631891594295803,False,False
OKLO|2025-05-23|6,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:00:00+00:00,48.5,20,0.01004395399529634,0.4871317687718725,20,0.010111068089256103,0.490386802328921,0.490386802328921,0.0,2.1554742829587865,2.146876700188691,True,True
OKLO|2025-05-23|8,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:10:00+00:00,49.59,20,0.01024925049387232,0.5082603319911284,20,0.010317143194242318,0.5116271310024766,0.511627131002477,4.440892098500626e-16,0.9640728759618307,0.9577287252923851,True,True
OKLO|2025-05-23|10,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:20:00+00:00,49.389999,20,0.010274883673817403,0.5074764943749579,20,0.01026448730320717,0.5069630176409149,0.506963017640915,1.1102230246251565e-16,0.11825601799968438,0.11936225837586802,False,False
OKLO|2025-05-23|12,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:30:00+00:00,49.869998,20,0.007425874391172038,0.37032834103600076,20,0.007348799781328519,0.3664846303972537,0.366484630397254,2.7755575615628914e-16,0.16201837921961637,0.16371763674974515,False,False
OKLO|2025-05-23|14,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:40:00+00:00,49.224998,20,0.010783482331998662,0.5308168962256694,20,0.010937644867618501,0.5384055467332309,0.538405546733231,1.1102230246251565e-16,0.13185881641635125,0.13930019370681399,False,False
OKLO|2025-05-23|16,UNSEEN49,OKLO,2025-05-23,2025-05-23T14:50:00+00:00,49.957801,20,0.007625614135015946,0.3809589134599138,20,0.00777470723874224,0.38840727706634437,0.388407277066344,3.885780586188048e-16,0.9186938074164943,0.908324915348319,True,True
OKLO|2025-05-23|18,UNSEEN49,OKLO,2025-05-23,2025-05-23T15:00:00+00:00,49.25,20,0.006658311682402274,0.327921850358312,20,0.006664966627333457,0.3282496063961728,0.328249606396173,2.220446049250313e-16,1.8906943813672037,1.9610076827422138,True,True
OKLO|2025-05-23|20,UNSEEN49,OKLO,2025-05-23,2025-05-23T15:10:00+00:00,49.36,20,0.003664871851230822,0.1808980745767534,20,0.003659687692776581,0.18064218451545203,0.180642184515452,2.7755575615628914e-17,2.76398740655393,2.7679027539507546,True,True
OKLO|2025-05-23|22,UNSEEN49,OKLO,2025-05-23,2025-05-23T15:20:00+00:00,51.669998,20,0.006930387331890608,0.35809309957801305,20,0.006865877920572083,0.3547598984242037,0.354759898424204,3.3306690738754696e-16,2.4016099939520577,2.4241746897883076,True,True
OKLO|2025-05-23|24,UNSEEN49,OKLO,2025-05-23,2025-05-23T15:30:00+00:00,51.159999,20,0.004277266583730177,0.21882495414636927,20,0.004191892436888833,0.21445721287934028,0.21445721287934,2.7755575615628914e-16,1.0510684048879708,1.072474981914981,True,True
OKLO|2025-05-23|30,UNSEEN49,OKLO,2025-05-23,2025-05-23T16:00:00+00:00,48.79,20,0.005963897507952343,0.2909785594129948,20,0.005980331362332447,0.2917803671682001,0.2917803671682,1.1102230246251565e-16,0.9622702118151206,0.9596259087527708,True,True
TSLA|2025-06-25|8,UNSEEN49,TSLA,2025-06-25,2025-06-25T14:10:00+00:00,325.779998,20,0.001932962657333781,0.6297205706402739,20,0.0019383715112115674,0.6314826670457614,0.631482667045761,4.440892098500626e-16,2.4772892345518893,2.476077447566123,True,True
TSLA|2025-06-25|10,UNSEEN49,TSLA,2025-06-25,2025-06-25T14:20:00+00:00,324.23001,20,0.0030652215527681714,0.9938368147062397,20,0.0030611186079486097,0.9925065168663638,0.992506516866364,2.220446049250313e-16,0.3521705028589889,0.3526425316580546,False,False
TSLA|2025-06-25|12,UNSEEN49,TSLA,2025-06-25,2025-06-25T14:30:00+00:00,321.529998,20,0.0029073097400944548,0.9347872949179505,20,0.0029103441590755397,0.9357629516468698,0.93576295164687,1.1102230246251565e-16,0.6204620019393946,0.6198150881818393,True,True
WULF|2025-08-14|6,ORIGINAL20_ASSESSMENT,WULF,2025-08-14,2025-08-14T14:00:00+00:00,7.394999,20,0.011614618190093906,0.08589008990112625,20,0.011614618190093906,0.08589008990112625,0.0858900899011262,4.163336342344337e-17,0.11642785167936566,0.11642785167936566,False,False
WULF|2025-08-14|12,ORIGINAL20_ASSESSMENT,WULF,2025-08-14,2025-08-14T14:30:00+00:00,7.869999,20,0.005078282404802459,0.039966077447512946,20,0.005078282404802459,0.039966077447512946,0.0399660774475129,4.85722573273506e-17,2.7348189537829857,2.7348189537829857,True,True
WULF|2025-08-14|18,ORIGINAL20_ASSESSMENT,WULF,2025-08-14,2025-08-14T15:00:00+00:00,7.844999,20,0.006207913268639842,0.048701073384566286,20,0.006207913268639842,0.048701073384566286,0.0487010733845663,1.3877787807814457e-17,0.43736196770656044,0.43736196770656044,False,False
