model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
A0,month,2025-01,0.12058254901042843,0.023539709025060307,0.6576444665029164,0.04374077597871962,0.03427873657947395,0.37441987564074636,1.490583252024026,0.023002190647038807,0.922857796009764,0.055111351371553687,2.3959175113892233,0.043332881584448285,1.883858900631569,4082,20,20,67
A1,month,2025-01,0.12051205530636973,0.023538206498956247,0.6591200485078923,0.04375472430909891,0.034139132098865085,0.3185410869289793,1.4686069425792194,0.023002190647038807,0.9229885709295594,0.05285591440538357,2.297864373721639,0.04164288266973782,1.8103876847529183,4082,20,20,67
A0,month,2025-02,0.09304676617431207,0.014933019724002782,0.71387180193904,0.037201193338307785,0.04357817659685496,0.6508825598475052,1.8095256997378137,0.013202130279692607,0.9319655407507761,0.03734664953973526,2.82883510073988,0.03315182740802904,2.511096823443931,4168,19,20,46
A1,month,2025-02,0.09290825507887411,0.014916498703620504,0.7108320416378819,0.036213066519410864,0.04331205038496721,0.5533266804351276,1.768942146124776,0.013202130279692607,0.932216310072938,0.03842712732387844,2.910676270403625,0.03387704780028694,2.5660288970482514,4168,19,20,46
A0,month,2025-03,0.10442237574248557,0.01896306484860925,0.7569879949288423,0.0620174384990688,0.03852427914015521,2.111827062951335,2.249718725919799,0.018131866737569537,0.9280544215236819,0.06784009733564768,3.7414844437987096,0.04718053018384455,2.6020779253845765,4716,21,20,62
A1,month,2025-03,0.10383780292261656,0.018905495170412834,0.7456655286928335,0.05947089026864366,0.03747727926468495,1.991470245743598,2.1857961616520387,0.018131866737569537,0.9290289196958403,0.06948436044349039,3.8321680524773334,0.048905536017397284,2.697214618066003,4716,21,20,62
A0,month,2025-04,0.0953348215177669,0.015970576285043142,0.734752162183654,0.06784355757749348,0.04180232159083838,1.93578799213464,2.266542537756777,0.01465847086774645,0.9312322071627266,0.0671988137378491,4.584299027104459,0.03906640235990821,2.665107616775184,4590,21,20,50
A1,month,2025-04,0.09501859644045145,0.015946076999669965,0.7326974818935608,0.06142706518352659,0.04133222521504207,1.8520281712537072,2.226601650916069,0.01465847086774645,0.9316721771086458,0.06844777955672467,4.6695034000669695,0.04021567797500124,2.7435111300380735,4590,21,20,50
A0,month,2025-05,0.1099746248495176,0.01987884101927743,0.6421362364813584,0.03800327897035858,0.04090332592209686,-0.4015376331949641,1.3077051331175547,0.018486364784865664,0.9248168293244076,0.04061360722960706,2.196949357120575,0.03554721636822523,1.9228883981196165,4337,20,20,59
A1,month,2025-05,0.1102385797065119,0.01991865797881012,0.6477553528125575,0.037543464884957176,0.04136549694662897,-0.36592739065789665,1.3256409984036712,0.018486364784865664,0.9243833353672397,0.04345334657114854,2.3505619994431104,0.03519515245358119,1.9038438797007078,4337,20,20,59
A0,month,2025-06,0.1225735242346931,0.02402524229199831,0.7133011736686823,0.04898466036730427,0.03844814712410355,1.011362446580647,1.7886985637157449,0.02332788156736815,0.918591963879644,0.0597821997710639,2.5626930417329157,0.054471970804983755,2.335058614202716,4096,20,20,51
A1,month,2025-06,0.1224517643589245,0.024014096089569222,0.7144120418723997,0.0484014414772983,0.038336572928529856,1.0528982461733214,1.803707252869233,0.02332788156736815,0.9186976835132276,0.06119003213080922,2.6230428148436746,0.0525496470857883,2.2526540583649295,4096,20,20,51
A0,month,2025-07,0.10808587865701517,0.019496762968306405,0.7244277894599283,0.04140000456314515,0.04221540416778591,0.9639777238829548,1.8580839988784463,0.01815549253899853,0.9243639952455549,0.04843872001788388,2.6679926151183224,0.03986346701655728,2.1956698189778874,4335,22,20,60
A1,month,2025-07,0.10834119013880168,0.01952807416719764,0.7284955038606418,0.04309929015884271,0.04275196746294119,1.0330899640147944,1.8934203812695944,0.01815549253899853,0.9238771828657167,0.05028257071681561,2.769551451650633,0.03937352000901898,2.168683660024288,4335,22,20,60
A0,month,2025-08,0.0991333838154876,0.016708025411987258,0.7917473054977329,0.04178666482777083,0.04552434031614527,2.0405864372442526,2.3732586640723516,0.014990422577056241,0.9270131299844042,0.0485391995837787,3.238014094283834,0.03305043491940041,2.2047700623187314,3405,16,20,38
A1,month,2025-08,0.09938640260336612,0.016747304935842436,0.7863722602607144,0.039628327362155914,0.04568237094748186,1.8922048306772008,2.315440531160262,0.014990422577056241,0.9268401518542565,0.04384184522157087,2.924657059946629,0.03256359724815551,2.1722934814390147,3405,16,20,38
