population,concentration_type,group,weighted_rows,share
branch_a,stock,AAL,7.774028207774338,0.04974884637516791
branch_a,stock,AAOI,8.095665634674923,0.05180712176493042
branch_a,stock,APLD,7.767836257309941,0.04970922182220991
branch_a,stock,ASTS,7.9901100791193675,0.05113163320519927
branch_a,stock,CIFR,7.582215342277262,0.04852136577909136
branch_a,stock,HIMS,7.826659786721707,0.05008565507531087
branch_a,stock,IONQ,7.832215342277262,0.0501212071047704
branch_a,stock,IREN,7.6760233918128655,0.049121677756404976
branch_a,stock,MARA,7.987478500171998,0.05111479277019212
branch_a,stock,MP,7.507946336429309,0.048046091280000744
branch_a,stock,MRNA,7.83250773993808,0.05012307826421564
branch_a,stock,MSTR,7.93484692122463,0.050777984070049166
branch_a,stock,NVTS,7.781286549707603,0.04979529515669089
branch_a,stock,QBTS,7.887770897832818,0.05047672739936574
branch_a,stock,RGTI,7.829583763329894,0.050104366669763256
branch_a,stock,RIOT,7.537478500171999,0.04823507838396984
branch_a,stock,RIVN,7.593034055727554,0.04859059867856519
branch_a,stock,SMCI,8.095665634674923,0.05180712176493042
branch_a,stock,SOFI,7.795665634674923,0.04988731217411557
branch_a,stock,WULF,7.9374785001719985,0.05079482450505631
branch_a,month,2025-01,18.28391812865497,0.11700547127021788
branch_a,month,2025-02,19.0,0.12158794075160732
branch_a,month,2025-03,20.95,0.13406670309190385
branch_a,month,2025-04,20.597368421052632,0.13181008480094605
branch_a,month,2025-05,19.894736842105264,0.12731368865403758
branch_a,month,2025-06,20.0,0.1279873060543235
branch_a,month,2025-07,21.592105263157894,0.13817576923364794
branch_a,month,2025-08,15.947368421052632,0.10205303614331585
joined_front_options,stock,AAL,3.0597007223942208,0.06562035211766372
joined_front_options,stock,AAOI,1.4684210526315788,0.031492722744227764
joined_front_options,stock,APLD,1.6190058479532163,0.03472226320883894
joined_front_options,stock,ASTS,3.3234434124527006,0.07127675114500212
joined_front_options,stock,CIFR,2.284795321637427,0.049001221729071245
joined_front_options,stock,HIMS,1.4687134502923977,0.031498993696586236
joined_front_options,stock,IONQ,3.1763673890608874,0.06812246210869256
joined_front_options,stock,IREN,2.9342105263157894,0.06292900691722932
joined_front_options,stock,MARA,3.1152562779497766,0.0668118330657727
joined_front_options,stock,MP,1.1134502923976608,0.02387978658104726
joined_front_options,stock,MRNA,1.4608187134502923,0.031329677982907596
joined_front_options,stock,MSTR,2.5742690058479534,0.055209464563954855
joined_front_options,stock,NVTS,0.9266081871345029,0.01987264802398602
joined_front_options,stock,QBTS,1.677829377364981,0.03598383127154256
joined_front_options,stock,RGTI,2.801805985552116,0.060089372137494684
joined_front_options,stock,RIOT,3.617887856897145,0.0775916001699797
joined_front_options,stock,RIVN,1.7271929824561403,0.03704251558147221
joined_front_options,stock,SMCI,2.6439112487100105,0.0567030578639218
joined_front_options,stock,SOFI,3.151169590643275,0.06758205356721281
joined_front_options,stock,WULF,2.482456140350877,0.05324038552339581
joined_front_options,month,2025-01,3.5213450292397663,0.07552107925303367
joined_front_options,month,2025-02,4.276315789473684,0.09171267824259878
joined_front_options,month,2025-03,6.369883040935672,0.13661269712923177
joined_front_options,month,2025-04,5.645029239766082,0.12106700623258887
joined_front_options,month,2025-05,5.883040935672515,0.12617156145238206
joined_front_options,month,2025-06,6.3729274165806675,0.13667798880966994
joined_front_options,month,2025-07,7.729824561403509,0.1657788965484678
joined_front_options,month,2025-08,6.828947368421053,0.146458092332027
