diagnostic_type,period,regime,rows,posterior_mass,hard_top_regime_rows,stocks,sessions,months,maximum_stock_share,maximum_month_share,entropy_mean,entropy_q10,entropy_q50,entropy_q90,margin_mean,margin_q10,margin_q50,margin_q90,mahalanobis_mean,mahalanobis_q90,mean_front_options_implied_tension,mean_front_options_premium_richness,mean_front_options_downside_asymmetry,mean_front_options_liquidity_stress,mean_front_options_positioning_concentration,mean_front_options_directional_positioning,mean_front_options_surface_disagreement,group,posterior_mass_regime_0,posterior_mass_regime_1,posterior_mass_regime_2,posterior_mass_regime_3,development_mean,assessment_mean,mean_difference
regime_summary,assessment,0.0,929.0,0.7771420269263041,725.0,20.0,151.0,8.0,0.09551528739958677,0.1742435359716181,0.052566458786814416,1.6538880006330654e-12,0.0025165892203870494,0.16240709513070972,0.9595167184218664,0.9234593933011455,0.9994531766237307,0.9999999999998946,2.0410466243799603,2.7148777291059782,-0.23160926899118228,-0.24713051232928443,0.1524118278003264,-0.24793343308929627,0.07881699959030765,-0.007815102791964719,-0.08600010002431714,,,,,,,,
regime_summary,assessment,1.0,929.0,0.05489773950484392,51.0,9.0,38.0,8.0,0.3333333333333333,0.27450980392156865,0.052566458786814416,1.6538880006330654e-12,0.0025165892203870494,0.16240709513070972,0.9595167184218664,0.9234593933011455,0.9994531766237307,0.9999999999998946,2.0410466243799603,2.7148777291059782,0.06124702750228162,-0.02476308700811276,-0.29030898994750426,0.6120213646361519,0.4099762554568247,0.1990939786354523,0.5886284317721273,,,,,,,,
regime_summary,assessment,2.0,929.0,0.16796023356885204,153.0,18.0,83.0,8.0,0.21018823608646142,0.17723964806633044,0.052566458786814416,1.6538880006330654e-12,0.0025165892203870494,0.16240709513070972,0.9595167184218664,0.9234593933011455,0.9994531766237307,0.9999999999998946,2.0410466243799603,2.7148777291059782,0.43455586740420715,0.42478459047296874,-0.5581783080738724,0.3806241988261175,-0.13088772069172738,0.2149157893417468,0.9958576216067369,,,,,,,,
regime_summary,assessment,3.0,929.0,0.0,0.0,0.0,0.0,0.0,,,0.052566458786814416,1.6538880006330654e-12,0.0025165892203870494,0.16240709513070972,0.9595167184218664,0.9234593933011455,0.9994531766237307,0.9999999999998946,2.0410466243799603,2.7148777291059782,,,,,,,,,,,,,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,0.9062742230787837,0.05,0.04372577692121628,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,AAOI,0.717795104735618,0.06896551724137931,0.21323937802300275,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,APLD,0.7372185450078741,0.0625,0.20028145499212585,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTS,0.7711197142268486,0.0,0.2288802857731515,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,CIFR,0.1707031581732971,0.34,0.48929684182670286,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,HIMS,0.855924567986371,0.034482758620689655,0.10959267339293936,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,IONQ,0.9183680053954629,0.0,0.08163199460453739,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,IREN,0.7311135224387976,0.0,0.2688864775612024,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,MARA,0.9450418398566667,0.0,0.0549581601433333,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,MP,0.46812433961429706,0.3181818181818182,0.2136938422038848,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,MRNA,0.999614363249897,0.0,0.0003856367501031146,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,MSTR,0.999659470023193,0.0,0.00034052997680685015,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,NVTS,0.23287596502584382,0.2222222222222222,0.544901812751934,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,QBTS,0.8662933558810633,0.0,0.1337066441189367,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,RGTI,0.742860815498404,0.0,0.25713918450159623,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,RIOT,0.9577595697841631,0.013888888888888888,0.028351541326948004,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVN,0.970820597655859,0.0,0.02917940234414067,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCI,0.9411068447891273,0.0,0.0588931552108727,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,SOFI,0.9659058748423264,0.0,0.03409412515767364,0.0,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,WULF,0.04496462458316183,0.2857142857142857,0.6693210897025524,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,0.8266510666008918,0.08974358974358974,0.08360534365551843,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,0.7215629769155133,0.05952380952380952,0.21891321356067722,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03,0.755433297067359,0.088,0.15656670293264102,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04,0.7084321554811306,0.044642857142857144,0.24692498737601226,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,0.6784958142216589,0.12173913043478261,0.19976505534355862,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06,0.8816804532853234,0.016,0.1023195467146765,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07,0.8115982226993587,0.01935483870967742,0.16904693859096384,0.0,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08,0.8079000473844481,0.02962962962962963,0.16247032298592223,0.0,,,
regime_summary,development,0.0,1250.0,0.5496254415899199,687.0,15.0,220.0,12.0,0.1257779648706717,0.12992999062100405,0.04975160759281514,-0.0,0.0012198889950255209,0.1490655062951322,0.9616433979868534,0.9315916200823358,0.9997563337006179,1.0,2.242092831028972,3.369697279924203,-0.27069272569047426,-0.2722073323824361,0.05632784366685886,-0.1770905958773653,0.20565049003880537,-0.11358333381922114,-0.06524936477461118,,,,,,,,
regime_summary,development,1.0,1250.0,0.1528,191.0,15.0,124.0,12.0,0.16753926701570682,0.17801047120418848,0.04975160759281514,-0.0,0.0012198889950255209,0.1490655062951322,0.9616433979868534,0.9315916200823358,0.9997563337006179,1.0,2.242092831028972,3.369697279924203,0.2657527830091188,0.2758004761340241,-0.912261478613229,1.3425280996895586,0.40116329779395005,-0.14223270516247588,1.231968438876717,,,,,,,,
regime_summary,development,2.0,1250.0,0.2967745584100801,371.0,17.0,179.0,12.0,0.18502462548374818,0.1385432451596253,0.04975160759281514,-0.0,0.0012198889950255209,0.1490655062951322,0.9616433979868534,0.9315916200823358,0.9997563337006179,1.0,2.242092831028972,3.369697279924203,0.4273053687469866,0.38947047780666516,-0.6378677554613221,0.9129053685681824,-0.09872728361435999,0.2204627494859781,1.3452673030031153,,,,,,,,
regime_summary,development,3.0,1250.0,0.0008,1.0,1.0,1.0,1.0,1.0,1.0,0.04975160759281514,-0.0,0.0012198889950255209,0.1490655062951322,0.9616433979868534,0.9315916200823358,0.9997563337006179,1.0,2.242092831028972,3.369697279924203,0.7492240326528883,0.695706667361579,40.52369219645045,2.101948280308536,-1.1910141004567547,0.16193518642634813,37.359126378504435,,,,,,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,0.9231102920074482,0.06593406593406594,0.010955642058485817,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,AAOI,0.4786984004217332,0.16393442622950818,0.3573671733487586,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,APLD,0.08374125014645947,0.1864406779661017,0.729818071887439,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTS,0.5078630547701612,0.20238095238095238,0.28975599284888637,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,CIFR,0.0037682093368513777,0.28125,0.7149817906631486,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,HIMS,0.7944721523026633,0.0,0.20552784769733656,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,IONQ,0.6626294174502371,0.045454545454545456,0.2919160370952174,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,IREN,0.20529698772648194,0.056338028169014086,0.7383649841045039,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,MARA,0.7627114431007209,0.03571428571428571,0.2015742711849934,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,MP,0.09130998903220595,0.8695652173913043,0.03912479357648966,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,MRNA,0.9819711574477892,0.0,0.01802884255221082,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,MSTR,0.9095731731351375,0.0,0.09042682686486254,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,NVTS,2.8713003457941634e-08,0.782608695652174,0.21739127563482263,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,QBTS,0.0,1.0,0.0,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,RGTI,0.0,1.0,0.0,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,RIOT,0.7689959765706936,0.010416666666666666,0.2205873567626396,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVN,0.8574069060399184,0.0,0.14259309396008155,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCI,0.9955862319863059,0.0,0.004413768013693893,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,SOFI,0.6177639614318995,0.3176470588235294,0.06458897974457102,0.0,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,WULF,0.0014002632981969226,0.32653061224489793,0.6618650428242522,0.01020408163265306,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,0.8190657899096828,0.1,0.08093421009031711,0.0,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,0.4386928457057052,0.2032520325203252,0.3499250404731566,0.008130081300813009,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03,0.7045518655052364,0.20689655172413793,0.08855158277062572,0.0,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04,0.5147097641191036,0.2698412698412698,0.2154489660396266,0.0,,,
