# schema_version=1
# source=NASDAQ_TRADER_SYMBOL_DIRECTORY
# source_urls=https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt,https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt
# retrieved_at=2026-09-02T11:33:17.375137+00:00
# nasdaq_source_updated_at=0902202607:00
# other_source_updated_at=0902202607:00
# universes=US_ALL,NASDAQ,NYSE
symbol,primary_exchange
A,NYSE
AA,NYSE
AAC,NYSE
AAC.U,NYSE
AAC.W,NYSE
AACG,NASDAQ
AACI,NASDAQ
AACIU,NASDAQ
AACIW,NASDAQ
AACO,NASDAQ
AACOU,NASDAQ
AACOW,NASDAQ
AACP,NASDAQ
AACPR,NASDAQ
AACPU,NASDAQ
AACPW,NASDAQ
AADX,NYSE
AAL,NASDAQ
AAME,NASDAQ
AAMI,NYSE
AAOI,NASDAQ
AAON,NASDAQ
AAP,NYSE
AAPG,NASDAQ
AAPL,NASDAQ
AARD,NASDAQ
AAT,NYSE
AAUC,NYSE
AB,NYSE
ABAT,NASDAQ
ABBV,NYSE
ABCB,NYSE
ABCL,NASDAQ
ABEO,NASDAQ
ABEV,NYSE
ABG,NYSE
ABLV,NASDAQ
ABLVW,NASDAQ
ABM,NYSE
ABNB,NASDAQ
ABOS,NASDAQ
ABR,NYSE
ABR$D,NYSE
ABR$E,NYSE
ABR$F,NYSE
ABSI,NASDAQ
ABT,NYSE
ABTC,NASDAQ
ABTS,NASDAQ
ABUS,NASDAQ
ABVC,NASDAQ
ABVX,NASDAQ
ABX,NYSE
ABXL,NYSE
ACA,NYSE
ACAA,NASDAQ
ACAAU,NASDAQ
ACAAW,NASDAQ
ACAD,NASDAQ
ACB,NASDAQ
ACCL,NASDAQ
ACCO,NYSE
ACCS,AMEX
ACDC,NASDAQ
ACEL,NYSE
ACET,NASDAQ
ACFN,NASDAQ
ACGC,NASDAQ
ACGCU,NASDAQ
ACGCW,NASDAQ
ACGL,NASDAQ
ACGLN,NASDAQ
