strategy,period,calendar_month,trades,mean_return_on_debit,mean_net_pnl,status,blocker
S1,assessment,2025-01,11,0.215797600834553,32.6363636363636,not_supported,
S1,assessment,2025-02,20,-0.178828197171164,-90.9,not_supported,
S1,assessment,2025-03,18,0.00907609637632111,120.722222222222,not_supported,
S1,assessment,2025-04,17,-0.149982633508536,-20.8823529411765,not_supported,
S1,assessment,2025-05,26,-0.0289156807070169,-30.6923076923077,not_supported,
S1,assessment,2025-06,32,-0.0796122877281645,-27.40625,not_supported,
S1,assessment,2025-07,38,-0.110713653725812,-70.1052631578947,not_supported,
S1,assessment,2025-08,34,-0.137281716660198,-14.8235294117647,not_supported,
S2_ALL,assessment,2025-01,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-02,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-03,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-04,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-05,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-06,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-07,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_ALL,assessment,2025-08,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-01,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-02,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-03,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-04,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-05,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-06,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-07,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S2_VETO,assessment,2025-08,,,,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable
S3,assessment,2025-01,0,,,insufficient_support,
S3,assessment,2025-02,0,,,insufficient_support,
S3,assessment,2025-03,0,,,insufficient_support,
S3,assessment,2025-04,0,,,insufficient_support,
S3,assessment,2025-05,0,,,insufficient_support,
S3,assessment,2025-06,0,,,insufficient_support,
S3,assessment,2025-07,0,,,insufficient_support,
S3,assessment,2025-08,0,,,insufficient_support,
