scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share
FOUR_FROZEN_FAMILIES_POOLED,development,6,opening_pressure_direction,1638,232,20,-20.4157706732949,-21.4945278464251,-22.669902234984,0.417582417582418,4.01216672456175,-20.4157706732949,-17.0325173379213,0.317409473390239,0.996336996336996,0.0757020757020757,0.128983854753174
FOUR_FROZEN_FAMILIES_POOLED,development,6,completion_momentum_direction,1638,232,20,-17.5505980445541,-20,-19.534719579279,0.426739926739927,4.01172312677591,-20.4157706732949,-17.0325173379213,0.317409473390239,0.996336996336996,0.0757020757020757,0.128983854753174
FOUR_FROZEN_FAMILIES_POOLED,development,6,opposite_opening_pressure_direction,1638,232,20,-19.5842293267051,-18.5054721535749,-17.330097765016,0.43956043956044,4.01216672456175,-20.4157706732949,-17.0325173379213,0.317409473390239,0.996336996336996,0.0757020757020757,0.128983854753174
FOUR_FROZEN_FAMILIES_POOLED,development,12,opening_pressure_direction,1638,232,20,-22.5181721378064,-25.2087201382511,-25.092511715399,0.433455433455433,5.36473205605411,-22.5181721378064,-18.4779395713171,-6.41111873072367,0.996336996336996,0.0757020757020757,0.14397943676002
FOUR_FROZEN_FAMILIES_POOLED,development,12,completion_momentum_direction,1638,232,20,-16.9253523003401,-17.4081386782981,-15.1908935914731,0.457875457875458,5.36455485863677,-22.5181721378064,-18.4779395713171,-6.41111873072367,0.996336996336996,0.0757020757020757,0.14397943676002
FOUR_FROZEN_FAMILIES_POOLED,development,12,opposite_opening_pressure_direction,1638,232,20,-17.4818278621936,-14.7912798617489,-14.907488284601,0.462759462759463,5.36473205605411,-22.5181721378064,-18.4779395713171,-6.41111873072367,0.996336996336996,0.0757020757020757,0.14397943676002
FOUR_FROZEN_FAMILIES_POOLED,assessment,6,opening_pressure_direction,957,154,20,-9.31950288265217,-11.0170661372133,-7.35396482518478,0.460815047021944,5.05389501596586,-9.31950288265217,-13.688615194885,9.87089908684064,0.989550679205852,0.0731452455590387,0.233103543498431
FOUR_FROZEN_FAMILIES_POOLED,assessment,6,completion_momentum_direction,957,154,20,-16.9700314476062,-16.9467684478364,-17.391299469842,0.444096133751306,5.06473837637787,-9.31950288265217,-13.688615194885,9.87089908684064,0.989550679205852,0.0731452455590387,0.233103543498431
FOUR_FROZEN_FAMILIES_POOLED,assessment,6,opposite_opening_pressure_direction,957,154,20,-30.6804971173478,-28.9829338627867,-32.6460351748152,0.401253918495298,5.05389501596586,-9.31950288265217,-13.688615194885,9.87089908684064,0.989550679205852,0.0731452455590387,0.233103543498431
FOUR_FROZEN_FAMILIES_POOLED,assessment,12,opening_pressure_direction,957,154,20,-13.6930173266913,-20,-15.0712259134406,0.448275862068966,6.24013883905807,-13.6930173266913,-18.2894526671595,9.1760747868076,0.989550679205852,0.0731452455590387,0.2283320156055
FOUR_FROZEN_FAMILIES_POOLED,assessment,12,completion_momentum_direction,957,154,20,-16.8785021906192,-17.4944888524298,-16.8347019330687,0.456635318704284,6.2426556323053,-13.6930173266913,-18.2894526671595,9.1760747868076,0.989550679205852,0.0731452455590387,0.2283320156055
FOUR_FROZEN_FAMILIES_POOLED,assessment,12,opposite_opening_pressure_direction,957,154,20,-26.3069826733087,-20,-24.9287740865594,0.446185997910136,6.24013883905807,-13.6930173266913,-18.2894526671595,9.1760747868076,0.989550679205852,0.0731452455590387,0.2283320156055
FOUR_FROZEN_FAMILIES_POOLED,all,6,opening_pressure_direction,2595,386,20,-16.3236210487689,-19.4413404700222,-17.0764845370438,0.433526011560694,3.14560357452845,-16.3236210487689,-15.7993326169634,3.82541826126831,0.99383429672447,0.0685934489402698,0.0919547490006886
FOUR_FROZEN_FAMILIES_POOLED,all,6,completion_momentum_direction,2595,386,20,-17.3364931377028,-20,-18.7406475617728,0.433140655105973,3.14599703845519,-16.3236210487689,-15.7993326169634,3.82541826126831,0.99383429672447,0.0685934489402698,0.0919547490006886
FOUR_FROZEN_FAMILIES_POOLED,all,6,opposite_opening_pressure_direction,2595,386,20,-23.6763789512311,-20.5586595299778,-22.9235154629562,0.425433526011561,3.14560357452845,-16.3236210487689,-15.7993326169634,3.82541826126831,0.99383429672447,0.0685934489402698,0.0919547490006886
FOUR_FROZEN_FAMILIES_POOLED,all,12,opening_pressure_direction,2595,386,20,-19.2635774733605,-22.4320491748575,-21.3295081369861,0.438921001926782,4.09435813400036,-19.2635774733605,-18.408428215911,-0.687554457322307,0.99383429672447,0.0685934489402698,0.0911100499517974
FOUR_FROZEN_FAMILIES_POOLED,all,12,completion_momentum_direction,2595,386,20,-16.9080746298188,-17.4944888524298,-15.8483677202097,0.457418111753372,4.09393358115915,-19.2635774733605,-18.408428215911,-0.687554457322307,0.99383429672447,0.0685934489402698,0.0911100499517974
FOUR_FROZEN_FAMILIES_POOLED,all,12,opposite_opening_pressure_direction,2595,386,20,-20.7364225266395,-17.5679508251425,-18.6704918630139,0.456647398843931,4.09435813400036,-19.2635774733605,-18.408428215911,-0.687554457322307,0.99383429672447,0.0685934489402698,0.0911100499517974
