row_type,draw,metric,value,draws,interval_80_lower,interval_80_upper,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,23,auc_improvement,0.000548654823077976,,,,,,,
draw,23,average_precision_improvement,0.000730508253032447,,,,,,,
draw,24,log_loss_improvement,0.000142198641094937,,,,,,,
draw,24,brier_improvement,2.79177764528626e-05,,,,,,,
draw,24,auc_improvement,0.000229679983184683,,,,,,,
draw,24,average_precision_improvement,-0.000119363200592693,,,,,,,
draw,25,log_loss_improvement,0.000200415217119998,,,,,,,
draw,25,brier_improvement,6.04859178935518e-05,,,,,,,
draw,25,auc_improvement,-0.000317115629219877,,,,,,,
draw,25,average_precision_improvement,0.00082664372969668,,,,,,,
draw,26,log_loss_improvement,0.000156365831981253,,,,,,,
draw,26,brier_improvement,6.10183341492182e-05,,,,,,,
draw,26,auc_improvement,-0.000464920691251924,,,,,,,
draw,26,average_precision_improvement,0.000641787924080484,,,,,,,
draw,27,log_loss_improvement,0.000147239119478115,,,,,,,
draw,27,brier_improvement,4.13547987464374e-05,,,,,,,
draw,27,auc_improvement,-2.84367000338293e-05,,,,,,,
draw,27,average_precision_improvement,0.00041191266376861,,,,,,,
draw,28,log_loss_improvement,-3.05702518629269e-05,,,,,,,
draw,28,brier_improvement,-1.13026490227291e-05,,,,,,,
draw,28,auc_improvement,-0.000737521164163035,,,,,,,
draw,28,average_precision_improvement,-0.000366410603433176,,,,,,,
draw,29,log_loss_improvement,0.000137001860768426,,,,,,,
draw,29,brier_improvement,2.74607546530137e-05,,,,,,,
draw,29,auc_improvement,8.84956728001152e-05,,,,,,,
draw,29,average_precision_improvement,-0.000208297010449499,,,,,,,
draw,30,log_loss_improvement,-3.47223346258696e-06,,,,,,,
draw,30,brier_improvement,-3.50982164595837e-07,,,,,,,
draw,30,auc_improvement,-0.000828201090757763,,,,,,,
draw,30,average_precision_improvement,-0.000556749637452614,,,,,,,
draw,31,log_loss_improvement,0.000130206081253137,,,,,,,
draw,31,brier_improvement,4.95362724633186e-05,,,,,,,
draw,31,auc_improvement,-0.000392337633622897,,,,,,,
draw,31,average_precision_improvement,0.000542589458335352,,,,,,,
draw,32,log_loss_improvement,0.000162529874220996,,,,,,,
draw,32,brier_improvement,4.79943523297166e-05,,,,,,,
draw,32,auc_improvement,2.28513417108722e-05,,,,,,,
draw,32,average_precision_improvement,5.07542015873996e-05,,,,,,,
draw,33,log_loss_improvement,0.000163517295120208,,,,,,,
draw,33,brier_improvement,4.948140807709e-05,,,,,,,
draw,33,auc_improvement,4.63281157782047e-05,,,,,,,
draw,33,average_precision_improvement,7.31671488057306e-05,,,,,,,
draw,34,log_loss_improvement,4.43354808971064e-05,,,,,,,
draw,34,brier_improvement,6.28583565333296e-06,,,,,,,
draw,34,auc_improvement,-0.000584342360061441,,,,,,,
draw,34,average_precision_improvement,-0.000652614778130584,,,,,,,
draw,35,log_loss_improvement,0.00017913582670076,,,,,,,
draw,35,brier_improvement,6.28334022107907e-05,,,,,,,
draw,35,auc_improvement,-0.000123941692719787,,,,,,,
draw,35,average_precision_improvement,0.000782683736445217,,,,,,,
draw,36,log_loss_improvement,5.83977567037985e-05,,,,,,,
draw,36,brier_improvement,1.39267843718149e-05,,,,,,,
draw,36,auc_improvement,-0.000492027677256757,,,,,,,
draw,36,average_precision_improvement,-0.000191683465395054,,,,,,,
draw,37,log_loss_improvement,0.000159332813117641,,,,,,,
draw,37,brier_improvement,2.61882745195563e-05,,,,,,,
draw,37,auc_improvement,0.000495032805968521,,,,,,,
draw,37,average_precision_improvement,-7.19991242170148e-05,,,,,,,
draw,38,log_loss_improvement,7.38896243440701e-05,,,,,,,
draw,38,brier_improvement,1.88299008989645e-05,,,,,,,
draw,38,auc_improvement,-0.00059972085899207,,,,,,,
draw,38,average_precision_improvement,-0.00065361365758923,,,,,,,
draw,39,log_loss_improvement,6.77177077937907e-05,,,,,,,
draw,39,brier_improvement,1.59866900334565e-05,,,,,,,
draw,39,auc_improvement,-0.000289464950103513,,,,,,,
draw,39,average_precision_improvement,-7.8840486859022e-06,,,,,,,
draw,40,log_loss_improvement,-6.95795141553157e-05,,,,,,,
draw,40,brier_improvement,-1.80792302277855e-05,,,,,,,
draw,40,auc_improvement,-0.00114616623578334,,,,,,,
draw,40,average_precision_improvement,-0.000790679422170953,,,,,,,
draw,41,log_loss_improvement,4.2344233116387e-05,,,,,,,
draw,41,brier_improvement,1.26871635028059e-05,,,,,,,
draw,41,auc_improvement,-0.000821384297656658,,,,,,,
draw,41,average_precision_improvement,-0.000220357709029201,,,,,,,
draw,42,log_loss_improvement,0.000146310810127559,,,,,,,
draw,42,brier_improvement,3.77620144091234e-05,,,,,,,
draw,42,auc_improvement,-7.14127858414404e-05,,,,,,,
draw,42,average_precision_improvement,0.000498261438458741,,,,,,,
draw,43,log_loss_improvement,0.000221291973704518,,,,,,,
draw,43,brier_improvement,7.17946524437379e-05,,,,,,,
draw,43,auc_improvement,9.54459051916157e-05,,,,,,,
draw,43,average_precision_improvement,0.000389799601282603,,,,,,,
draw,44,log_loss_improvement,0.000215627064524937,,,,,,,
draw,44,brier_improvement,6.17648348561622e-05,,,,,,,
draw,44,auc_improvement,0.000144484779229792,,,,,,,
draw,44,average_precision_improvement,0.000385813270076585,,,,,,,
draw,45,log_loss_improvement,0.000120891566352144,,,,,,,
draw,45,brier_improvement,3.07819474123783e-05,,,,,,,
draw,45,auc_improvement,-0.000259302274334905,,,,,,,
draw,45,average_precision_improvement,-0.000638009718247734,,,,,,,
draw,46,log_loss_improvement,8.23836619141538e-05,,,,,,,
draw,46,brier_improvement,1.73746546121567e-05,,,,,,,
draw,46,auc_improvement,-0.00019525116992225,,,,,,,
draw,46,average_precision_improvement,-0.00021270074017482,,,,,,,
draw,47,log_loss_improvement,0.000232524481324603,,,,,,,
draw,47,brier_improvement,7.24107472921953e-05,,,,,,,
draw,47,auc_improvement,3.929485497145e-05,,,,,,,
draw,47,average_precision_improvement,0.000536337502985984,,,,,,,
draw,48,log_loss_improvement,0.000191658978347553,,,,,,,
draw,48,brier_improvement,6.80413592241969e-05,,,,,,,
draw,48,auc_improvement,-0.000351019845380218,,,,,,,
draw,48,average_precision_improvement,0.000586202131437424,,,,,,,
draw,49,log_loss_improvement,-8.41650675974526e-05,,,,,,,
draw,49,brier_improvement,-2.33289585961499e-05,,,,,,,
draw,49,auc_improvement,-0.00119489785918037,,,,,,,
draw,49,average_precision_improvement,-0.000775418255485605,,,,,,,
draw,50,log_loss_improvement,9.10052492452129e-05,,,,,,,
draw,50,brier_improvement,3.34130956227419e-05,,,,,,,
draw,50,auc_improvement,-0.000304813432056128,,,,,,,
draw,50,average_precision_improvement,0.000130054358857018,,,,,,,
summary,0,log_loss_improvement,0.000108732010348309,50,2.88335148903141e-05,0.000201936401860492,-1.83761435827739e-05,0.000227469852895565,-6.08024301395282e-05,0.000244292265441498
summary,0,brier_improvement,3.14623214220849e-05,50,1.44754234144146e-06,6.33541979121313e-05,-7.62549981527805e-06,7.03721892676333e-05,-1.65544994566478e-05,7.22721259512924e-05
summary,0,auc_improvement,-0.000256059709313532,50,-0.000738910131474624,0.00014779842250876,-0.000825133533862266,0.000375624035715793,-0.00107462407815259,0.000536589869228349
summary,0,average_precision_improvement,6.29850082800043e-05,50,-0.000564875645532126,0.000735725801373724,-0.000653164161832839,0.000839699023115985,-0.000748012220958921,0.000879007009445572
