model,subgroup,log_loss,brier_score,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,mean_probability_realised_class,sessions,stocks,decision_ordinal
B0,ordinal_6,0.320792764030031,0.0899149461811051,0.635919382199449,0.163973853819953,-0.403319925129102,0.950906059568385,0.031573797229675,0.100845532089246,3131,0.799188349612017,157,20,6
B1,ordinal_6,0.320570025678842,0.0898501276718343,0.636148427197214,0.164297813772594,-0.394281832553975,0.953749838595585,0.0311116231788942,0.100845532089246,3131,0.799585491504987,157,20,6
B0,ordinal_12,0.40788758283606,0.124731190954435,0.667814747065501,0.268780967040505,-0.246721179260948,0.927806004382421,0.0181577036996068,0.154043282303423,3131,0.741811745074907,157,20,12
B1,ordinal_12,0.407881268431319,0.124728757171499,0.667338476654128,0.268810067249821,-0.247915569269347,0.923151532159698,0.0173561425471649,0.154043282303423,3131,0.742334581363281,157,20,12
