hidden_family_class,hypothesis,p_value,q_value,q_le_0_10
unregistered_primitive_like__5-6-5,assessment_primary_net_return_20bps_positive,0.764705882352941,1,False
unregistered_primitive_like__2-3-2,assessment_primary_net_return_20bps_positive,1,1,False
unregistered_primitive_like__2-5-2,assessment_primary_net_return_20bps_positive,0.941176470588235,1,False
unregistered_primitive_like__4-7-4,assessment_primary_net_return_20bps_positive,0.392156862745098,1,False
