scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
unregistered_primitive_like__2-5-2,all,6,completion_momentum_direction,200,144,20,-29.4235469732284,-22.6998564408187,-26.520438904206,0.41,7.7630620965699,-20.8612202701361,-19.0375303975972,-1.11379520580893,0.995,0.12,0.156900569292005,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,6,completion_momentum_direction,173,119,19,-26.3219463491586,-19.9005964214716,-26.8770572701643,0.433526011560694,15.6034879507897,-10.9764122117853,0.876130918891887,12.9478298366899,0.994219653179191,0.161849710982659,0.150752521504423,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,all,6,completion_momentum_direction,1722,374,20,-22.0915884650942,-20.0368731563422,-22.4401872005758,0.398373983739837,3.00539287618251,-16.4264722738572,-16.6333531030803,0.475262268945602,0.992450638792102,0.0749128919860627,0.0953097348980698,,,,
unregistered_primitive_like__5-6-5,all,6,opposite_opening_pressure_direction,1564,340,20,-25.0656545267741,-27.1629222807185,-25.4165070486364,0.437340153452685,4.60863072999202,-14.9343454732259,-15.2677105222409,5.00184594069628,0.993606138107417,0.105498721227621,0.104227743487624,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,6,opposite_opening_pressure_direction,658,251,20,-20.3475426523345,-19.2996359170894,-19.0167982550752,0.38145896656535,3.40517893129226,-19.6524573476655,-20.462968774596,0.13379758106154,0.993920972644377,0.132218844984802,0.168237027214155,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,all,6,opposite_opening_pressure_direction,200,144,20,-19.1387797298639,-20.2000909918098,-18.6599908110122,0.445,7.79151162500912,-20.8612202701361,-19.0375303975972,-1.11379520580893,0.995,0.12,0.156900569292005,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,6,opposite_opening_pressure_direction,173,119,19,-29.0235877882147,-13.8096566447021,-19.4353642471129,0.46242774566474,15.5957622636888,-10.9764122117853,0.876130918891887,12.9478298366899,0.994219653179191,0.161849710982659,0.150752521504423,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,all,6,opposite_opening_pressure_direction,1722,374,20,-23.5735277261428,-20,-22.4053794248472,0.394308943089431,3.00458119447799,-16.4264722738572,-16.6333531030803,0.475262268945602,0.992450638792102,0.0749128919860627,0.0953097348980698,,,,
unregistered_primitive_like__5-6-5,all,12,opening_pressure_direction,1564,340,20,-20.3174343787359,-22.0411223752015,-21.3007811900601,0.44693094629156,5.97890283494274,-20.3174343787359,-20.5655736955647,-1.4763468092031,0.993606138107417,0.105498721227621,0.0917781904966484,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,12,opening_pressure_direction,658,251,20,-20.7736799627806,-23.0109131765477,-22.0390558131031,0.417933130699088,4.4585125196121,-20.7736799627806,-21.4997375167645,-2.79189586056393,0.993920972644377,0.132218844984802,0.141946435880278,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,all,12,opening_pressure_direction,200,144,20,-27.7366822460208,-25.6303562552706,-25.6246715124951,0.425,10.8567033825891,-27.7366822460208,-18.1987725679357,-9.46445971963337,0.995,0.12,0.124600225689336,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,12,opening_pressure_direction,173,119,19,5.80289994038325,-20.6126639733506,-11.5441306125424,0.46242774566474,20.1217893772956,5.80289994038325,12.6084846196088,24.5951591458328,0.994219653179191,0.161849710982659,0.12962152638808,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,all,12,opening_pressure_direction,1722,374,20,-12.6759674694703,-17.2762981824809,-13.1703320975744,0.448315911730546,3.90019294111945,-12.6759674694703,-12.7860155190154,3.45682074675892,0.992450638792102,0.0749128919860627,0.102401754376701,,,,
unregistered_primitive_like__5-6-5,all,12,completion_momentum_direction,1564,340,20,-13.9204490766392,-18.6996369426528,-12.6354433301559,0.465473145780051,5.97693032788024,-20.3174343787359,-20.5655736955647,-1.4763468092031,0.993606138107417,0.105498721227621,0.0917781904966484,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,12,completion_momentum_direction,658,251,20,-19.3499121914643,-18.5661787158653,-18.8453645039004,0.430091185410334,4.45854255569135,-20.7736799627806,-21.4997375167645,-2.79189586056393,0.993920972644377,0.132218844984802,0.141946435880278,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,all,12,completion_momentum_direction,200,144,20,-22.9676347678264,-18.0394470451289,-22.6611548933839,0.455,10.8685113040364,-27.7366822460208,-18.1987725679357,-9.46445971963337,0.995,0.12,0.124600225689336,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,12,completion_momentum_direction,173,119,19,-27.6248678206201,-3.6159999999996,-19.0802493272681,0.491329479768786,20.2093855078528,5.80289994038325,12.6084846196088,24.5951591458328,0.994219653179191,0.161849710982659,0.12962152638808,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,all,12,completion_momentum_direction,1722,374,20,-22.9069603350556,-26.0105577600733,-23.8329584849033,0.411730545876887,3.90355780902261,-12.6759674694703,-12.7860155190154,3.45682074675892,0.992450638792102,0.0749128919860627,0.102401754376701,,,,
unregistered_primitive_like__5-6-5,all,12,opposite_opening_pressure_direction,1564,340,20,-19.6825656212641,-17.9588776247985,-18.6992188099399,0.466112531969309,5.97890283494274,-20.3174343787359,-20.5655736955647,-1.4763468092031,0.993606138107417,0.105498721227621,0.0917781904966484,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,all,12,opposite_opening_pressure_direction,658,251,20,-19.2263200372194,-16.9890868234523,-17.9609441868968,0.43161094224924,4.4585125196121,-20.7736799627806,-21.4997375167645,-2.79189586056393,0.993920972644377,0.132218844984802,0.141946435880278,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,all,12,opposite_opening_pressure_direction,200,144,20,-12.2633177539792,-14.3696437447294,-14.3753284875049,0.46,10.8567033825891,-27.7366822460208,-18.1987725679357,-9.46445971963337,0.995,0.12,0.124600225689336,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,all,12,opposite_opening_pressure_direction,173,119,19,-45.8028999403832,-19.3873360266494,-28.4558693874576,0.46242774566474,20.1217893772956,5.80289994038325,12.6084846196088,24.5951591458328,0.994219653179191,0.161849710982659,0.12962152638808,unregistered_primitive_like__4-7-4,74,False,1
