draw,metric,value
1,registered_completion_rate_6,0.0825496342737722
1,registered_completion_rate_12,0.158829676071055
1,mean_bars_to_registered,6.25657894736842
1,transition_count_primitive,152
1,transition_count_repeat,1
1,transition_count_composite,0
2,registered_completion_rate_6,0.0741901776384535
2,registered_completion_rate_12,0.155694879832811
2,mean_bars_to_registered,6.52348993288591
2,transition_count_primitive,149
2,transition_count_repeat,1
2,transition_count_composite,0
3,registered_completion_rate_6,0.0752351097178683
3,registered_completion_rate_12,0.152560083594566
3,mean_bars_to_registered,6.61643835616438
3,transition_count_primitive,146
3,transition_count_repeat,2
3,transition_count_composite,0
4,registered_completion_rate_6,0.077324973876698
4,registered_completion_rate_12,0.169278996865204
4,mean_bars_to_registered,6.58024691358025
4,transition_count_primitive,162
4,transition_count_repeat,0
4,transition_count_composite,0
5,registered_completion_rate_6,0.0668756530825496
5,registered_completion_rate_12,0.141065830721003
5,mean_bars_to_registered,6.75555555555556
5,transition_count_primitive,135
5,transition_count_repeat,1
5,transition_count_composite,0
6,registered_completion_rate_6,0.0731452455590387
6,registered_completion_rate_12,0.140020898641588
6,mean_bars_to_registered,6.32089552238806
6,transition_count_primitive,134
6,transition_count_repeat,0
6,transition_count_composite,0
7,registered_completion_rate_6,0.0731452455590387
7,registered_completion_rate_12,0.150470219435737
7,mean_bars_to_registered,6.63194444444444
7,transition_count_primitive,144
7,transition_count_repeat,1
7,transition_count_composite,0
8,registered_completion_rate_6,0.0752351097178683
8,registered_completion_rate_12,0.150470219435737
8,mean_bars_to_registered,6.45833333333333
8,transition_count_primitive,144
8,transition_count_repeat,1
8,transition_count_composite,0
9,registered_completion_rate_6,0.071055381400209
9,registered_completion_rate_12,0.152560083594566
9,mean_bars_to_registered,7.10958904109589
9,transition_count_primitive,146
9,transition_count_repeat,2
9,transition_count_composite,0
10,registered_completion_rate_6,0.0867293625914316
10,registered_completion_rate_12,0.158829676071055
10,mean_bars_to_registered,6.23684210526316
10,transition_count_primitive,152
10,transition_count_repeat,1
10,transition_count_composite,0
11,registered_completion_rate_6,0.0804597701149425
11,registered_completion_rate_12,0.160919540229885
11,mean_bars_to_registered,6.24025974025974
11,transition_count_primitive,154
11,transition_count_repeat,1
11,transition_count_composite,0
12,registered_completion_rate_6,0.0752351097178683
12,registered_completion_rate_12,0.154649947753396
12,mean_bars_to_registered,6.52027027027027
12,transition_count_primitive,148
12,transition_count_repeat,0
12,transition_count_composite,0
13,registered_completion_rate_6,0.0668756530825496
13,registered_completion_rate_12,0.122257053291536
13,mean_bars_to_registered,6.33333333333333
13,transition_count_primitive,117
13,transition_count_repeat,2
13,transition_count_composite,0
14,registered_completion_rate_6,0.0762800417972832
14,registered_completion_rate_12,0.158829676071055
14,mean_bars_to_registered,6.31578947368421
14,transition_count_primitive,152
14,transition_count_repeat,1
14,transition_count_composite,0
15,registered_completion_rate_6,0.0668756530825496
15,registered_completion_rate_12,0.140020898641588
15,mean_bars_to_registered,6.6044776119403
15,transition_count_primitive,134
15,transition_count_repeat,2
15,transition_count_composite,0
16,registered_completion_rate_6,0.0783699059561129
16,registered_completion_rate_12,0.153605015673981
16,mean_bars_to_registered,6.4421768707483
16,transition_count_primitive,147
16,transition_count_repeat,2
16,transition_count_composite,0
17,registered_completion_rate_6,0.0679205851619645
17,registered_completion_rate_12,0.138975966562173
17,mean_bars_to_registered,7
17,transition_count_primitive,133
17,transition_count_repeat,1
17,transition_count_composite,0
18,registered_completion_rate_6,0.0700104493207941
18,registered_completion_rate_12,0.138975966562173
18,mean_bars_to_registered,6.30827067669173
18,transition_count_primitive,133
18,transition_count_repeat,2
18,transition_count_composite,0
19,registered_completion_rate_6,0.071055381400209
19,registered_completion_rate_12,0.140020898641588
19,mean_bars_to_registered,6.41791044776119
19,transition_count_primitive,134
19,transition_count_repeat,2
19,transition_count_composite,0
20,registered_completion_rate_6,0.0668756530825496
20,registered_completion_rate_12,0.144200626959248
20,mean_bars_to_registered,6.91304347826087
20,transition_count_primitive,138
