row_type,scope,metric,draw,value,draws,p_value_one_sided,interval_80_lower,interval_80_upper,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,FOUR_FROZEN_FAMILIES_POOLED,primary_net_return_20bps,49,-8.78532875474161,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,primary_net_return_20bps,50,-16.7742785370768,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,1,-16.3820652792338,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,2,-25.1886812037624,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,3,-11.2938961019449,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,4,-35.565312514927,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,5,-10.4369247459752,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,6,-18.6709407368984,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,7,-9.91453081421172,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,8,-22.1692162767792,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,9,-20.0998091861801,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,10,-13.7554728713488,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,11,-15.5256213728939,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,12,-20.6054098728819,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,13,-22.6038160309366,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,14,-22.7779917667251,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,15,-14.0469979340718,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,16,-10.3684127523098,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,17,-15.627868825905,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,18,-24.3531218704081,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,19,-27.9177550779454,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,20,-7.49478880357098,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,21,-26.7734932709596,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,22,-15.9290094350057,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,23,-17.8419584072231,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,24,-9.86931392797746,,,,,,,,
