record_type,comparison,draw,statistic,value,interval_level,lower,upper,point_estimate,draws,seed
draw,advance,7,brier_improvement,0.000105625702963279,,,,9.52697949101015e-05,15,20260722
draw,advance,7,auc_improvement,0.0544234898601144,,,,0.046491150518817,15,20260722
draw,advance,7,average_precision_improvement,0.0129375138857762,,,,0.0138055017414699,15,20260722
draw,advance,7,top_decile_precision_improvement,0.0178128697821668,,,,0.0202479761771207,15,20260722
draw,broad_conflict,7,broad_conflict_completion_rate,0.0431026785937651,,,,0.0451870844089313,15,20260722
draw,broad_conflict,7,broad_conflict_minus_pooled_rate,0.0248850462068619,,,,0.026822305555198,15,20260722
draw,broad_conflict,7,broad_conflict_minus_low_route_support_rate,0.0378842555060654,,,,0.0387298622684408,15,20260722
draw,advance,8,log_loss_improvement,0.000993938925058349,,,,0.00115219615419193,15,20260722
draw,advance,8,brier_improvement,7.9069644916073e-05,,,,9.52697949101015e-05,15,20260722
draw,advance,8,auc_improvement,0.0463366424939325,,,,0.046491150518817,15,20260722
draw,advance,8,average_precision_improvement,0.0151915240553692,,,,0.0138055017414699,15,20260722
draw,advance,8,top_decile_precision_improvement,0.0194687322542003,,,,0.0202479761771207,15,20260722
draw,broad_conflict,8,broad_conflict_completion_rate,0.0401643126192837,,,,0.0451870844089313,15,20260722
draw,broad_conflict,8,broad_conflict_minus_pooled_rate,0.0231314851225033,,,,0.026822305555198,15,20260722
draw,broad_conflict,8,broad_conflict_minus_low_route_support_rate,0.0345149387388521,,,,0.0387298622684408,15,20260722
draw,advance,9,log_loss_improvement,0.000948552857848006,,,,0.00115219615419193,15,20260722
draw,advance,9,brier_improvement,5.43387991823949e-05,,,,9.52697949101015e-05,15,20260722
draw,advance,9,auc_improvement,0.037086640315831,,,,0.046491150518817,15,20260722
draw,advance,9,average_precision_improvement,0.0091096070867174,,,,0.0138055017414699,15,20260722
draw,advance,9,top_decile_precision_improvement,0.0229989986140027,,,,0.0202479761771207,15,20260722
draw,broad_conflict,9,broad_conflict_completion_rate,0.0389288171286189,,,,0.0451870844089313,15,20260722
draw,broad_conflict,9,broad_conflict_minus_pooled_rate,0.0219617133796847,,,,0.026822305555198,15,20260722
draw,broad_conflict,9,broad_conflict_minus_low_route_support_rate,0.0325209561911832,,,,0.0387298622684408,15,20260722
draw,advance,10,log_loss_improvement,0.00144275969185349,,,,0.00115219615419193,15,20260722
draw,advance,10,brier_improvement,0.000128322292526337,,,,9.52697949101015e-05,15,20260722
draw,advance,10,auc_improvement,0.0512363582263268,,,,0.046491150518817,15,20260722
draw,advance,10,average_precision_improvement,0.0146436168136761,,,,0.0138055017414699,15,20260722
draw,advance,10,top_decile_precision_improvement,0.0203347213749172,,,,0.0202479761771207,15,20260722
draw,broad_conflict,10,broad_conflict_completion_rate,0.0452174677448663,,,,0.0451870844089313,15,20260722
draw,broad_conflict,10,broad_conflict_minus_pooled_rate,0.0270248111946408,,,,0.026822305555198,15,20260722
draw,broad_conflict,10,broad_conflict_minus_low_route_support_rate,0.0406295456756352,,,,0.0387298622684408,15,20260722
draw,advance,11,log_loss_improvement,0.00120557871853164,,,,0.00115219615419193,15,20260722
draw,advance,11,brier_improvement,0.000104422241590716,,,,9.52697949101015e-05,15,20260722
draw,advance,11,auc_improvement,0.0569164670910194,,,,0.046491150518817,15,20260722
draw,advance,11,average_precision_improvement,0.0168455000061319,,,,0.0138055017414699,15,20260722
draw,advance,11,top_decile_precision_improvement,0.0286409162223623,,,,0.0202479761771207,15,20260722
draw,broad_conflict,11,broad_conflict_completion_rate,0.0467829969677119,,,,0.0451870844089313,15,20260722
draw,broad_conflict,11,broad_conflict_minus_pooled_rate,0.0287670407706654,,,,0.026822305555198,15,20260722
draw,broad_conflict,11,broad_conflict_minus_low_route_support_rate,0.0418049363136326,,,,0.0387298622684408,15,20260722
draw,advance,12,log_loss_improvement,0.000942985715220029,,,,0.00115219615419193,15,20260722
draw,advance,12,brier_improvement,6.58599424301874e-05,,,,9.52697949101015e-05,15,20260722
draw,advance,12,auc_improvement,0.0352135192544429,,,,0.046491150518817,15,20260722
draw,advance,12,average_precision_improvement,0.0115096313151857,,,,0.0138055017414699,15,20260722
draw,advance,12,top_decile_precision_improvement,0.0214501011456641,,,,0.0202479761771207,15,20260722
