year_month,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,unique_stock_sessions,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
2025-01,0.124724481865308,0.0238526634738793,0.718553215710043,0.0564044550238588,0.0410536131312567,5.56815457893894,3.55087688536903,0.0229934825165088,0.916371955099567,4484,75,A0,395,20,20,0.0839237492254204,0.0612383334538513,2.66329093080543,371,0.0764193507417965,0.0556011518845575,2.418126608035,738
2025-01,0.123635158588618,0.0237505571440573,0.75639827168328,0.0661111593632404,0.0415467402047366,4.93950531884071,3.35206182429291,0.0229934825165088,0.916135457272753,4484,75,A1,395,20,20,0.0902583421816768,0.0867201716866619,3.77151097596455,365,0.0792588938970522,0.064191592468182,2.79172989224637,765
2025-02,0.101074325222248,0.0156639347992613,0.669237829899753,0.0379913846755439,0.0519941562199511,3.68242528980627,3.06032267494202,0.0132021302796926,0.923570826214635,4168,46,A0,373,19,20,0.0839237492254204,0.0412818331022871,3.12690696332443,388,0.0764193507417965,0.0310431135369166,2.35137154983744,806
2025-02,0.100424616763666,0.0156578084293388,0.731443603755705,0.037908249136927,0.0522289332610238,3.30006049698555,2.94737223679365,0.0132021302796926,0.923479121397402,4168,46,A1,373,19,20,0.0902583421816768,0.0389869435852258,2.95307974995483,373,0.0792588938970522,0.032011410497122,2.42471554354842,753
2025-03,0.112502614720037,0.0197005548717241,0.733777744651996,0.0527704105089449,0.0467219305205095,6.15815793876417,3.90372870236965,0.0180886956262896,0.919869710814543,4731,62,A0,412,21,20,0.0839237492254204,0.0613357305317352,3.39083214173782,453,0.0764193507417965,0.0510692197328403,2.82326712704578,895
2025-03,0.111416919797742,0.0195690603116324,0.756268099403266,0.0816936516337908,0.0492809994854073,5.64139533074333,3.7643320361273,0.0180886956262896,0.919699332725696,4731,62,A1,412,21,20,0.0902583421816768,0.0936375483029889,5.17657824740545,434,0.0792588938970522,0.0623466641587368,3.44671973296537,899
2025-04,0.104689952426863,0.0170910813059533,0.721130980033122,0.0462891958950333,0.0495869911771063,5.71647986857433,3.79960880821872,0.0150206998515269,0.922655801428872,4684,52,A0,413,21,20,0.0839237492254204,0.051232140678191,3.41076921745315,397,0.0764193507417965,0.0389743745836094,2.5947109634607,846
2025-04,0.103568169153491,0.0169873312939874,0.793722681638477,0.0686604472394729,0.0501499236861138,6.23431408402452,4.08667790500178,0.0150206998515269,0.922371069796453,4684,52,A1,413,21,20,0.0902583421816768,0.0615414846593129,4.09711167040309,402,0.0792588938970522,0.0401948185099348,2.67596176657833,883
2025-05,0.119442646763554,0.0216029407502992,0.665743140070344,0.0392351318623751,0.0463133502583001,3.31587807348669,2.76977730786778,0.0199972270450549,0.916669095185893,4583,65,A0,414,21,20,0.0839237492254204,0.043291916343809,2.16489597514044,491,0.0764193507417965,0.034864266696995,1.74345506096639,999
2025-05,0.118166427314819,0.0214977333440442,0.742275955949595,0.0567123570462297,0.0471039497829989,3.91475006377586,3.06232449878268,0.0199972270450549,0.916227204721114,4583,65,A1,414,21,20,0.0902583421816768,0.0590015887339537,2.95048851528362,531,0.0792588938970522,0.0430264307881878,2.15161985665546,1045
2025-06,0.12862391639851,0.0245314998646841,0.707970951097831,0.0442610013707949,0.0442505127084609,4.63883369517659,3.2484961259846,0.0233278815673682,0.912628999458035,4096,51,A0,391,20,20,0.0839237492254204,0.0331238892218042,1.41992701421028,450,0.0764193507417965,0.0459410265984433,1.96936127550935,917
2025-06,0.127068095206233,0.0243901462909132,0.767577303997793,0.0613793694955879,0.0450330941979177,4.70878258915457,3.34298421724972,0.0233278815673682,0.912240109669554,4096,51,A1,391,20,20,0.0902583421816768,0.0881524825130315,3.77884645283617,496,0.0792588938970522,0.0621018566305997,2.66213014033258,1049
2025-07,0.116418331462128,0.0204168722764925,0.690718299243232,0.0342707086309815,0.0489632019467273,4.0398232514118,3.10463689690418,0.0184909088637159,0.916853871132299,4411,62,A0,432,22,20,0.0839237492254204,0.041166254715096,2.22629698834735,526,0.0764193507417965,0.0312667138017817,1.69092357937772,1025
2025-07,0.114879895568873,0.020290506969177,0.729662980032219,0.0480809221328468,0.0487871464126746,3.4075590985837,2.89239947716331,0.0184909088637159,0.917290581122701,4411,62,A1,432,22,20,0.0902583421816768,0.0530887711405544,2.87107418742022,534,0.0792588938970522,0.0516547098135095,2.79351924744326,1057
2025-08,0.105296401944212,0.0171057557941177,0.804937252347611,0.0700944325946478,0.0516876627683282,10.047851731922,5.60339142792952,0.0149411119764738,0.92088478455489,3420,38,A0,316,16,20,0.0839237492254204,0.0510508647381262,3.41680490839708,397,0.0764193507417965,0.0460984229877615,3.08534084078533,773
2025-08,0.104540102294571,0.0170852533078847,0.803675702591401,0.0824435157326823,0.0519026160681053,6.33946724713175,4.19377915747647,0.0149411119764738,0.920865897412883,3420,38,A1,316,16,20,0.0902583421816768,0.0601044736239279,4.02275772503198,411,0.0792588938970522,0.0416649006854255,2.78860775228984,845
