subgroup_dimension,subgroup_value,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,unique_stock_sessions,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
transition_probability_half,high,0.129197437193558,0.0245053296242662,0.690482640522665,0.0441521586367704,0.0461563338434745,4.17047964280904,3.10649780871828,0.0231352226394896,0.91121102558186,16250,294,A0,2674,160,20,0.0839237492254204,0.0487743510099019,2.10822916078831,2720,0.0764193507417965,0.0410468305529088,1.7742137688723,4902
transition_probability_half,high,0.125268881659567,0.0240814754109304,0.76391063433147,0.0640158192648412,0.0443860182647663,4.11372319376142,3.11019390376844,0.0231352226394896,0.913351861980273,16250,294,A1,2674,160,20,0.0902583421816768,0.0688491557864007,2.9759452441526,2483,0.0792588938970522,0.0576878694323331,2.49350828955782,4200
transition_probability_half,low,0.100396790951971,0.0159170741693547,0.706583065999454,0.0377753418122279,0.0486877934073584,6.34422178129427,4.00116570337152,0.0138556118384373,0.925582983289361,18327,157,A0,2896,160,20,0.0839237492254204,0.041382094433563,2.98666669621644,753,0.0764193507417965,0.0413520543608284,2.98449861637378,2097
transition_probability_half,low,0.101868893227912,0.0161323922542828,0.734527394088803,0.0409637697445977,0.0511844698924917,5.18001941153051,3.64558094372608,0.0138556118384373,0.923270269544386,18327,157,A1,2896,160,20,0.0902583421816768,0.0639291530747335,4.61395381309582,1063,0.0792588938970522,0.0386441921836435,2.78906428920297,3096
posterior_entropy_half,high,0.143193737956355,0.0286497580268179,0.649171815073297,0.045744892646047,0.0443791656223038,2.97583706209659,2.58954276795342,0.0276329876233616,0.904708385690434,16947,350,A0,2997,160,20,0.0839237492254204,0.0477003343988017,1.72620981303066,3349,0.0764193507417965,0.041969317860564,1.5188121687241,6217
posterior_entropy_half,high,0.140628172871668,0.0283888495587773,0.71421515564448,0.0610353303586732,0.0441574068070096,3.24783642205987,2.73349830936314,0.0276329876233616,0.905345788733789,16947,350,A1,2997,160,20,0.0902583421816768,0.0685999569673505,2.48253854785338,3130,0.0792588938970522,0.0533450225842094,1.93048335240849,5635
posterior_entropy_half,low,0.0846923791823987,0.0112642030889216,0.699088840032847,0.0213377937532666,0.0506321354228692,7.52919277035961,4.51894652882018,0.0088078605267932,0.93292299037814,17630,101,A0,3024,160,20,0.0839237492254204,0.0323563757276164,3.67357948382464,124,0.0764193507417965,0.0340008264803126,3.86028211696623,782
posterior_entropy_half,low,0.0849975791411249,0.0113397316985617,0.75622887498885,0.0339176271614231,0.0517204889946833,7.0271414058988,4.4239332390543,0.0088078605267932,0.931963830286464,17630,101,A1,3024,160,20,0.0902583421816768,0.0580187720186667,6.58715835045022,416,0.0792588938970522,0.0375912427624467,4.26791984819645,1661
recent_registered_completion_group,no_recent_registered_completion,0.115104404715464,0.020295933828073,0.710679911248295,0.0412976175618879,0.0474126340915743,5.06961782222786,3.48486490306207,0.0185853734086134,0.9182406194406,33774,443,A0,3143,160,20,0.0839237492254204,0.0474317803919695,2.55210263195397,3443,0.0764193507417965,0.0412155248303113,2.21763232430993,6915
recent_registered_completion_group,no_recent_registered_completion,0.113937592983246,0.0201956946431892,0.758484892595363,0.055534602163417,0.0478527022798994,4.716648618885,3.40288316935806,0.0185853734086134,0.918079824345422,33774,443,A1,3143,160,20,0.0902583421816768,0.0681484341402426,3.66677777421783,3489,0.0792588938970522,0.0505497777507042,2.71986882584113,7153
