period,session,symbol,eligible_advance_rows,eligible_stocks_in_session,total_weight,expected_total_weight,absolute_weight_difference,record_type,minimum_stock_session_weight,maximum_stock_session_weight
assessment,2025-01-02,AAL,14,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,AAOI,15,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,APLD,15,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,ASTS,8,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,CIFR,14,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,HIMS,14,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,IONQ,8,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,IREN,15,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,MARA,13,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,MP,7,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,MRNA,13,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,NVTS,11,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,QBTS,15,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,RIOT,11,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-02,RIVN,14,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,SMCI,14,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,SOFI,6,18,0.0555555555555556,0.0555555555555556,0,stock_session,,
assessment,2025-01-02,WULF,11,18,0.0555555555555556,0.0555555555555556,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,AAL,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,AAOI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,APLD,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,ASTS,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,CIFR,12,20,0.05,0.05,0,stock_session,,
