checkpoint,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,unique_stock_sessions,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
6,0.0890977137264424,0.0120022768286683,0.459599294057828,0.0102108536518466,0.0526223986430834,-5.88930507934976,-0.440036022412482,0.00917432484418505,0.930140014640639,2966,13,A0,2966,160,20,0.0839237492254204,0.00866925341925517,0.944947292197746,88,0.0764193507417965,0.0063117723481378,0.687982217256933,238
6,0.0896295927756031,0.0120771638268964,0.43071817732549,0.00938614802144955,0.0528087985976331,-8.45823842966239,-1.36807097190964,0.00917432484418505,0.92992362173641,2966,13,A1,2966,160,20,0.0902583421816768,0,0,57,0.0792588938970522,0.00765072830329177,0.833928210874397,202
8,0.118307763171968,0.0228842065280855,0.772518079919266,0.0675908304437486,0.0344248137484245,9.40042435506482,4.81564983240909,0.022545778528723,0.92350789701089,2806,28,A0,2806,160,20,0.0839237492254204,0.0843214698967125,3.74001145222323,45,0.0764193507417965,0.0513399324464263,2.27714169998699,118
8,0.116834153009095,0.0226977763926796,0.842704577464653,0.107703788393447,0.0351224789603135,10.7578632151611,5.40416481030072,0.022545778528723,0.923108153299198,2806,28,A1,2806,160,20,0.0902583421816768,0.143043645305123,6.34458664281155,41,0.0792588938970522,0.124147856797396,5.50647903505457,130
10,0.118978205552462,0.0219714010263457,0.783153367143465,0.0712919699128686,0.0439436912307826,8.58363551019754,4.79742934493237,0.0208454116214402,0.917594757948054,2636,29,A0,2636,160,20,0.0839237492254204,0.0550315678133049,2.63998470323814,189,0.0764193507417965,0.0689446223744042,3.30742436879933,416
10,0.117559032618014,0.0217981639017188,0.825422796161221,0.0932111225251634,0.0439784389350994,8.42732037997,4.78770753997238,0.0208454116214402,0.9177878762404,2636,29,A1,2636,160,20,0.0902583421816768,0.130273489795939,6.2495043111525,148,0.0792588938970522,0.0872484947326886,4.18550117009685,341
12,0.0992450223483101,0.0156036732372451,0.778254532491178,0.0346704566752482,0.0492640611061417,7.84197226306659,4.60922322116818,0.0135062979921148,0.925706088129904,2519,25,A0,2519,160,20,0.0839237492254204,0.0241229290033393,1.78605040533111,114,0.0764193507417965,0.033690443166547,2.49442468885375,317
12,0.0982405276263775,0.0154911242604169,0.841881057194967,0.06761532130708,0.0502693612617854,9.10197960836143,5.19573444163377,0.0135062979921148,0.92549068940743,2519,25,A1,2519,160,20,0.0902583421816768,0.0724197113683365,5.36192163171703,118,0.0792588938970522,0.0406193308972657,3.0074363027515,313
14,0.111891033080809,0.0193321657466264,0.748103599825822,0.0524949153310455,0.0483190406655387,6.96351326011714,4.2579813077906,0.0175473636463622,0.919310934214538,2415,31,A0,2415,160,20,0.0839237492254204,0.0567942595104859,3.23662634769982,209,0.0764193507417965,0.0391840525554863,2.23304499440345,445
14,0.110836192522485,0.0192382263930361,0.788186289606702,0.0710785353593988,0.0484954816715847,6.06112586162116,3.95424963227359,0.0175473636463622,0.919375094305037,2415,31,A1,2415,160,20,0.0902583421816768,0.0662176472677875,3.77365219085291,201,0.0792588938970522,0.0458004455968394,2.61010408856115,421
16,0.117355678419253,0.0203693180251417,0.695866883111461,0.0343578836241653,0.0514124386323279,4.14051372055331,3.19171753625083,0.0181807112215652,0.915058846674889,2329,33,A0,2329,160,20,0.0839237492254204,0.0386793251968308,2.12749241355041,314,0.0764193507417965,0.0344085446888092,1.89258518379606,609
16,0.117188679723693,0.0204114957441222,0.702773066309558,0.0414057070457865,0.0520390039387795,2.85069704639628,2.71016243523238,0.0181807112215652,0.914597422734155,2329,33,A1,2329,160,20,0.0902583421816768,0.0420586696918557,2.31336767738588,284,0.0792588938970522,0.0440509644423706,2.42295056037847,588
18,0.115771002235144,0.0201100692258716,0.785460609016575,0.0581961207249279,0.051363670924734,8.18982195536763,4.84830969028423,0.0181088731024113,0.915430118538509,2249,30,A0,2249,160,20,0.0839237492254204,0.0612922864604179,3.38465492103185,309,0.0764193507417965,0.0459268147633544,2.53614979262508,592
18,0.114223754045703,0.0199768638319541,0.829454419557915,0.0773345264388575,0.0517259401390801,7.04281410160399,4.48844337571729,0.0181088731024113,0.915406875273945,2249,30,A1,2249,160,20,0.0902583421816768,0.0754065670625343,4.16406734069462,301,0.0792588938970522,0.0472219778325061,2.60767070184053,571
20,0.118164009530006,0.0211074432179808,0.736733288751876,0.0648465590571587,0.048546807044013,6.60826109937709,4.13216322643334,0.0193973622858107,0.915754435995846,2187,28,A0,2187,160,20,0.0839237492254204,0.0446653066721884,2.30264847426505,264,0.0764193507417965,0.0411771303607811,2.1228211214523,521
20,0.117434156770795,0.0211137168703387,0.730894301935025,0.0615672417543908,0.0484831986210867,3.3553945127621,2.86599897034615,0.0193973622858107,0.915966880729988,2187,28,A1,2187,160,20,0.0902583421816768,0.0507291442053328,2.61525992337843,254,0.0792588938970522,0.0408315764845604,2.10500664383781,511
22,0.140671911757571,0.0275788131021697,0.673044295569864,0.0458198369895269,0.047435471324661,3.44592952156659,2.82716731323199,0.0262051969746988,0.904383545673158,2143,41,A0,2143,160,20,0.0839237492254204,0.0394219626534282,1.50435666221056,442,0.0764193507417965,0.0441603474001056,1.68517517508999,817
22,0.137546728744368,0.0272453334152319,0.776284648700307,0.0667225744523016,0.0478054931718362,5.11152653914208,3.58825727072766,0.0262051969746988,0.90459505805629,2143,41,A1,2143,160,20,0.0902583421816768,0.0630430696872122,2.40574683518237,415,0.0792588938970522,0.0592599471799368,2.26138148235072,765
24,0.116994538506337,0.0205038705987147,0.690378577082768,0.049898165685493,0.0496937367239853,4.92357540324116,3.47141348899977,0.0185571329260058,0.916080231355281,2082,26,A0,2082,160,20,0.0839237492254204,0.0394234795457025,2.12443806394547,278,0.0764193507417965,0.0416236901951534,2.2430022116629,507
24,0.11527494636234,0.0203684770139783,0.770890816615686,0.0781674062635399,0.0504827768163121,5.25274639677361,3.70489413057599,0.0185571329260058,0.91572950955741,2082,26,A1,2082,160,20,0.0902583421816768,0.0711134770138763,3.83213707081973,297,0.0792588938970522,0.0411770630638502,2.21893453196884,577
26,0.122949830097085,0.0224092690809987,0.679162022665967,0.0742230967785084,0.047822901353835,4.22281494832148,3.15007457435804,0.0207359511263888,0.913905731528891,2091,34,A0,2091,160,20,0.0839237492254204,0.0336153374672854,1.62111384534014,252,0.0764193507417965,0.0421399105122365,2.03221498041673,513
26,0.121633420027107,0.0223368487420255,0.728238309714411,0.0839913240038618,0.0484325565266631,3.4070208411699,2.8833735154788,0.0207359511263888,0.913649361527361,2091,34,A1,2091,160,20,0.0902583421816768,0.0689092971774312,3.32317995723556,294,0.0792588938970522,0.047540020922725,2.29263758546504,580
28,0.125336076863493,0.0231420332722367,0.814110433278036,0.0775075627477897,0.0500358148459992,10.0050779306491,5.59518594377835,0.0215646526568669,0.910580003068129,2069,31,A0,2069,160,20,0.0839237492254204,0.0732080084718564,3.39481510028146,364,0.0764193507417965,0.0499976956111656,2.31850224562948,662
28,0.122903908642986,0.0228949354011116,0.865760237483482,0.0972925210207714,0.0534150947132664,9.07632848992347,5.39661624731791,0.0215646526568669,0.910558359041969,2069,31,A1,2069,160,20,0.0902583421816768,0.0801585399089639,3.71712640979816,364,0.0792588938970522,0.0586144679951603,2.71808078376331,690
30,0.100842651692342,0.0148194258216921,0.631728455352641,0.0232521947151644,0.0570810880311418,1.34177898194569,2.24301231328522,0.0116688695254402,0.921337424924043,2057,20,A0,2057,160,20,0.0839237492254204,0.026546719360365,2.27500352990394,300,0.0764193507417965,0.0190718965002596,1.63442537931198,517
30,0.100268434681491,0.0148975522277991,0.661560771913613,0.0338092150224134,0.0572211293802361,0.824178491706284,2.0641417577557,0.0116688695254402,0.921356689037924,2057,20,A1,2057,160,20,0.0902583421816768,0.0330961498503766,2.83627730845916,301,0.0792588938970522,0.0188063972661492,1.61167259820225,597
32,0.124868532762915,0.0236252706525621,0.728909414748556,0.0564045008424303,0.0433598635063754,6.55783830541143,3.98738398428666,0.0225399580041062,0.914986077218818,2017,42,A0,2017,160,20,0.0839237492254204,0.0694183414513255,3.07979018588585,182,0.0764193507417965,0.0455626455439257,2.02141661202853,416
32,0.122738618921848,0.02343621430337,0.789676441487136,0.111223664885892,0.0442360419693893,6.11319613950163,3.92893345309774,0.0225399580041062,0.914616346420873,2017,42,A1,2017,160,20,0.0902583421816768,0.0801500713267674,3.5559104108431,246,0.0792588938970522,0.0624882070368282,2.77233023350995,533
34,0.12420806626323,0.0237402033600422,0.702773255449029,0.0540760217522992,0.0404731166007902,5.89529663146825,3.65743912692323,0.0228836097963018,0.917072756169475,2011,40,A0,2011,160,20,0.0839237492254204,0.0680173722427611,2.97231830328418,123,0.0764193507417965,0.0545124441455464,2.38216105897576,311
34,0.123290256587286,0.0236815916350812,0.715830677642872,0.077555239831254,0.0413656725039682,3.426246329375,2.76471698447854,0.0228836097963018,0.916552464507337,2011,40,A1,2011,160,20,0.0902583421816768,0.0759121936408621,3.31731725530166,225,0.0792588938970522,0.0615284700957148,2.68875717788451,477
