cohort,period,rows,stocks,sessions,mean_net_bps,median_net_bps,positive_rate,mean_mfe_bps,mean_mae_bps,orientation_survival_rate,survival_mean_net_difference_bps,negative_hazard_auc,timing_failure_share_all,no_usable_move_share_all,timing_failure_share_losses
unfiltered_frozen_signal,2023,6307,20,250,0.15641619538056423,-10.0,0.4753448549231013,266.10493452290353,-257.26934687403366,0.6936736958934517,-10.444761525664163,0.5104890114110525,0.46567306167750117,0.05898208339939749,0.8875793291024479
cycle_04|loop_only,2023,188,14,133,37.27808619563324,5.036554867273733,0.5159574468085106,234.5719211839814,-186.6947241455269,0.6861702127659575,-65.4814238463679,0.5493372606774669,0.3882978723404255,0.09574468085106383,0.8021978021978022
cycle_04|state4|candidate,2023,174,14,124,39.399961003046506,6.2382690912876715,0.5229885057471264,235.1963286197205,-182.15781574465996,0.7011494252873564,-56.84247152553195,0.5421024758374156,0.3735632183908046,0.10344827586206896,0.7831325301204819
cycle_04|state2|matched_control,2023,14,7,14,10.906213589211209,-36.850127519538745,0.42857142857142855,226.8114287683665,-243.0820142705875,0.5,-186.5014066038084,0.625,0.5714285714285714,0.0,1.0
cycle_07|loop_only,2023,1325,20,244,-3.750894031721289,-19.459949564557533,0.46641509433962264,255.1292087543118,-247.75704837187166,0.7283018867924528,-8.959619930308943,0.5163700489327713,0.48452830188679247,0.04905660377358491,0.9080622347949081
cycle_07|state5|candidate,2023,901,20,231,10.614092645361525,-9.178727580686488,0.49056603773584906,282.3302964554191,-260.0732508973601,0.7147613762486127,-39.3662477218939,0.4934049034395055,0.47058823529411764,0.038845726970033294,0.9237472766884531
cycle_07|state6|matched_control,2023,424,19,187,-34.27649072052227,-39.761649324955286,0.41509433962264153,197.3268973894588,-221.58511800520893,0.7570754716981132,69.63285795642105,0.49122525659824046,0.5141509433962265,0.07075471698113207,0.8790322580645161
unfiltered_frozen_signal,2025,6900,20,250,4.082765051862812,-2.6927978139418185,0.4955072463768116,255.04161782246663,-243.73252911466983,0.6939130434782609,-24.73235538081677,0.5113870987609249,0.46898550724637683,0.035507246376811595,0.9296179258833669
cycle_04|loop_only,2025,169,19,88,28.257371821655333,16.80166686117813,0.5266272189349113,214.2205810553084,-171.90133401734863,0.6982248520710059,-2.3691652000159493,0.46348314606741575,0.4260355029585799,0.047337278106508875,0.9
cycle_04|state4|candidate,2025,159,19,87,29.3000095529608,15.01787080121165,0.5220125786163522,207.21235987481495,-171.199901734478,0.7169811320754716,-11.338000107102172,0.47986683576410905,0.4339622641509434,0.0440251572327044,0.9078947368421053
cycle_04|state2|matched_control,2025,10,8,8,11.679431893898434,114.18082838094979,0.6,325.6512978251541,-183.0541073149914,0.4,95.3738725445972,0.2708333333333333,0.3,0.1,0.75
cycle_07|loop_only,2025,1453,20,240,16.153271314183595,4.576057209541027,0.5051617343427391,263.8624634163172,-238.84412927809052,0.6992429456297315,-6.64753158548613,0.4980227230523775,0.465244322092223,0.029593943565037854,0.9401947148817803
cycle_07|state5|candidate,2025,1001,20,224,30.380613295912273,6.411905902892208,0.5104895104895105,293.6724160627604,-254.19117145815483,0.6853146853146853,-9.42501860356727,0.49084827668836617,0.45754245754245754,0.03196803196803197,0.9346938775510204
cycle_07|state6|matched_control,2025,452,20,192,-15.354625419688979,-4.2187492996859,0.49336283185840707,197.845289524526,-204.85654250321352,0.7300884955752213,7.196368616859123,0.49328333365970195,0.4823008849557522,0.024336283185840708,0.9519650655021834
