policy_type,model,deleted_symbol,base_rows,selected_rows,selected_mean_net_bps,selector_mean_net_per_opportunity_bps
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,SMCI,1569,0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,SOFI,1549,0,,0.0
calibrated_point_mean_nonqualifying,context_plus_loop_mixture,WULF,1559,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,AAL,1547,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,AAOI,1567,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,APLD,1568,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,ASTS,1553,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,CIFR,1568,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,HIMS,1570,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,IONQ,1582,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,IREN,1570,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,MARA,1553,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,MP,1533,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,MRNA,1547,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,MSTR,1545,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,NVTS,1573,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,QBTS,1600,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,RGTI,1590,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,RIOT,1554,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,RIVN,1558,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,SMCI,1569,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,SOFI,1549,0,,0.0
calibrated_point_mean_nonqualifying,prediction_only,WULF,1559,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,AAL,1547,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,AAOI,1567,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,APLD,1568,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,ASTS,1553,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,CIFR,1568,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,HIMS,1570,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,IONQ,1582,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,IREN,1570,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,MARA,1553,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,MP,1533,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,MRNA,1547,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,MSTR,1545,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,NVTS,1573,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,QBTS,1600,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,RGTI,1590,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,RIOT,1554,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,RIVN,1558,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,SMCI,1569,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,SOFI,1549,0,,0.0
calibrated_point_mean_nonqualifying,sequential_confirmation,WULF,1559,0,,0.0
conservative_uncertainty_aware,context_only,AAL,1547,0,,0.0
conservative_uncertainty_aware,context_only,AAOI,1567,0,,0.0
conservative_uncertainty_aware,context_only,APLD,1568,0,,0.0
conservative_uncertainty_aware,context_only,ASTS,1553,0,,0.0
conservative_uncertainty_aware,context_only,CIFR,1568,0,,0.0
conservative_uncertainty_aware,context_only,HIMS,1570,0,,0.0
conservative_uncertainty_aware,context_only,IONQ,1582,0,,0.0
conservative_uncertainty_aware,context_only,IREN,1570,0,,0.0
conservative_uncertainty_aware,context_only,MARA,1553,0,,0.0
conservative_uncertainty_aware,context_only,MP,1533,0,,0.0
conservative_uncertainty_aware,context_only,MRNA,1547,0,,0.0
conservative_uncertainty_aware,context_only,MSTR,1545,0,,0.0
conservative_uncertainty_aware,context_only,NVTS,1573,0,,0.0
conservative_uncertainty_aware,context_only,QBTS,1600,0,,0.0
conservative_uncertainty_aware,context_only,RGTI,1590,0,,0.0
conservative_uncertainty_aware,context_only,RIOT,1554,0,,0.0
conservative_uncertainty_aware,context_only,RIVN,1558,0,,0.0
conservative_uncertainty_aware,context_only,SMCI,1569,0,,0.0
conservative_uncertainty_aware,context_only,SOFI,1549,0,,0.0
conservative_uncertainty_aware,context_only,WULF,1559,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,AAL,1547,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,AAOI,1567,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,APLD,1568,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,ASTS,1553,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,CIFR,1568,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,HIMS,1570,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,IONQ,1582,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,IREN,1570,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,MARA,1553,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,MP,1533,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,MRNA,1547,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,MSTR,1545,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,NVTS,1573,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,QBTS,1600,0,,0.0
